transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	1	8
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	3	8,4,9
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	5	8,4,9,7,12
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	10	8,4,9,7,12,6,3,5,11,13
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	1	8
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	3	8,7,12
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	5	8,7,12,10,1
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	10	8,7,12,10,1,9,6,24,15,25
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	1	8
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	3	8,7,12
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	5	8,7,12,9,4
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	10	8,7,12,9,4,6,2,3,18,13
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	1	5
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	3	5,7,4
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	5	5,7,4,28,23
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	10	5,7,4,28,23,12,20,24,21,26
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	1	9
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	3	9,8,11
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	5	9,8,11,12,10
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	10	9,8,11,12,10,7,6,5,4,13
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	1	10
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	3	10,11,12
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	5	10,11,12,9,8
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	10	10,11,12,9,8,13,14,7,6,16
