id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-86.95855975151062	-88.85992693901062	-2.070441898845491	-2.167315291195381	42	41	-73.55510830879211	-73.45293688774109	-1.9356607449682135	-1.9329720233616077	38	38	-308.88839864730835	-310.6851530075073	-2.160058731799359	-2.187923612728925	143	142	True	0.0968733923498899	False
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-34.35085046291351	-34.51696491241455	-1.4935152375179788	-1.5689529505642978	23	22	-24.645595908164978	-25.254321217536926	-2.053799659013748	-2.104526768128077	12	12	-128.6515692472458	-129.41945159435272	-2.180535071987217	-2.231369855075047	59	58	True	0.07543771304631908	False
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-106.13988304138184	-109.85538101196289	-1.8621032112523128	-1.9973705638538708	57	55	-23.965376019477844	-24.029616594314575	-1.4097280011457556	-1.4135068584890926	17	17	-279.4943199157715	-283.2487360239029	-1.914344656957339	-1.9670051112771034	146	144	True	0.13526735260155798	False
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-31.124594688415527	-33.82869625091553	-1.7291441493564181	-1.989923308877384	18	17	-61.48248767852783	-61.587533712387085	-2.6731516381968623	-2.677718857060308	23	23	-120.3115930557251	-123.11048674583435	-2.455338633790308	-2.564801807204882	49	48	True	0.26077915952096586	False
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-15.137856483459473	-13.951577186584473	-1.681984053717719	-1.743947148323059	9	8	-7.354845762252808	-8.381413698196411	-0.8172050846947564	-0.9312681886884902	9	9	-54.124934911727905	-53.96522355079651	-2.0817282658356886	-2.15860894203186	26	25	True	0.06196309460534	False
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-16.477099418640137	-19.795519828796387	-0.9153944121466743	-1.1644423428703756	18	17	-15.129269361495972	-15.274214744567871	-1.260772446791331	-1.2728512287139893	12	12	-74.52047324180603	-77.9693431854248	-1.7742969819477625	-1.9016912972054831	42	41	True	0.24904793072370135	False
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-17.003172874450684	-14.922606468200684	-1.5457429885864258	-1.4922606468200683	11	10	-21.916932582855225	-22.013792991638184	-1.3698082864284515	-1.3758620619773865	16	16	-91.8800892829895	-89.88173484802246	-1.9141685267289479	-1.9123773371919672	48	47	True	-0.053482341766357466	False
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-56.514755845069885	-59.180710434913635	-2.0931391053729587	-2.2761811705736013	27	26	-27.07886266708374	-26.968442916870117	-1.9342044762202673	-1.9263173512050085	14	14	-169.32105314731598	-171.8765879869461	-2.1433044702191895	-2.2035459998326425	79	78	True	0.1830420652006426	False
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-27.475034713745117	-25.564968466758728	-1.3083349863688152	-1.2782484233379363	21	20	-12.713778018951416	-12.987483382225037	-1.155798001722856	-1.1806803074750034	11	11	-81.67898607254028	-80.04857766628265	-1.815088579389784	-1.8192858560518785	45	44	True	-0.030086563030878866	False
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-8.810029745101929	-11.883699178695679	-0.629287838935852	-0.9141307060535138	14	13	-5.1079407930374146	-5.190739035606384	-0.6384925991296768	-0.648842379450798	8	8	-121.30137729644775	-124.45784497261047	-1.639207801303348	-1.704901985926171	74	73	True	0.2848428671176617	False
186	just	Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-27.58413076400757	-29.575677394866943	-1.3792065382003784	-1.556614599729839	20	19	-29.444841504096985	-29.056404948234558	-1.226868396004041	-1.2106835395097733	24	24	-172.40691030025482	-174.00030052661896	-1.915632336669498	-1.9550595564788646	90	89	True	0.17740806152946065	False
244	just	I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	-53.813833236694336	-55.99728453159332	-1.855649421954977	-1.9999030189854758	29	28	-41.917102098464966	-42.19166040420532	-1.6766840839385986	-1.687666416168213	25	25	-157.80224084854126	-160.25166487693787	-1.9481758129449538	-2.0031458109617235	81	80	True	0.14425359703049878	False
272	just	Where's the nearest tailor's?	There is one just around the corner.	There is one around the corner.	The jacket is tight in the shoulders and long in the sleeve. What about the price there?	-9.611993789672852	-10.204919815063477	-0.8009994824727377	-0.9277199831875887	12	11	-57.51941919326782	-57.18348550796509	-2.500844312750775	-2.486238500346308	23	23	-109.77456831932068	-110.03449034690857	-2.386403659115667	-2.445210896597968	46	45	True	0.12672050071485108	False
302	just	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.	Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.	Wow! So many choices you have! I wish I could, but I can't. I'm on a diet to lose weight.	Come on, just a bite. It doesn't really hurt to have just a bite.	-47.087486028671265	-42.99741339683533	-1.471483938395977	-1.3870133353817848	32	31	-32.48841857910156	-33.03689956665039	-1.476746299050071	-1.5016772530295632	22	22	-171.35519790649414	-167.81995391845703	-1.7665484320257128	-1.7481245199839275	97	96	True	-0.08447060301419218	False
325	just	This book I'm reading about Yoga is really interesting.__eou__I didn't know you did Yoga.	I don't really practice it regularly yet, I'm just learning about it.	I don't really practice it regularly yet, I'm learning about it.	What have you learned?	-27.86939835548401	-31.84498429298401	-1.3934699177742005	-1.6760518048938953	20	19	-11.038939118385315	-11.303112745285034	-1.2265487909317017	-1.2559014161427815	9	9	-99.5794734954834	-103.82181060314178	-1.7782048838479179	-1.887669283693487	56	55	True	0.2825818871196948	False
351	just	Don't tell me that's your lunch?	No, this is just my appetizer ... this is my lunch!	No, this is my appetizer ... this is my lunch!	A candy bar for an appetizer and a piece of pie for lunch! That's all junk!	-34.59675478935242	-32.37989687919617	-1.922041932741801	-1.904699816423304	18	17	-56.56178331375122	-55.645970821380615	-2.356740971406301	-2.3185821175575256	24	24	-133.19079208374023	-130.04884433746338	-2.421650765158913	-2.408311932175248	55	54	True	-0.017342116318497025	False
355	just	( A stranger stops to help ) Everything OK?__eou__No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	I think that's steam. Your engine's overheated.	Do you know a lot about cars?	-30.67768144607544	-32.77982807159424	-1.804569496827967	-2.04873925447464	17	16	-17.478667616844177	-17.526322603225708	-1.4565556347370148	-1.4605268836021423	12	12	-173.8399269580841	-175.99598038196564	-2.556469514089472	-2.626805677342771	68	67	True	0.2441697576466728	False
366	just	How's your new car?__eou__Perfect! Couldn't be better.__eou__You made a good choice, then?	It's just what I want.	It's what I want.	No regrets?	-11.9765385389328	-15.0252445936203	-1.0887762308120728	-1.50252445936203	11	10	-11.385897994041443	-9.921563506126404	-1.6265568562916346	-1.4173662151609148	7	7	-85.71121096611023	-87.29558253288269	-1.6806119797276515	-1.7459116506576537	51	50	True	0.4137482285499572	False
375	just	Dad, can I have a pet? I did what you said and passed all of my exams.__eou__Then I guess you get to have a pet. Do you know what you want?	I want a dog. My friend Mindy's dog just had puppies and she said I can have one.	I want a dog. My friend Mindy's dog had puppies and she said I can have one.	You know who will be responsible for feeding and cleaning and all of that stuff?	-31.478677988052368	-31.85772156715393	-1.2107183841558604	-1.2743088626861572	26	25	-40.43431341648102	-40.51642048358917	-2.021715670824051	-2.0258210241794585	20	20	-168.31385409832	-168.77938401699066	-1.8496027922892309	-1.875326489077674	91	90	True	0.06359047853029676	False
