id	word	context	w_word	wo_word	followup	with-without_diff	subset
1157	just	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	h
5467	just	I want to leave the motorbike outdoors.	Fine, just don't do it at night.	Fine, don't do it at night.	Why not?	0.2215410698	h
2485	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	0.2148120636	h
2798	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	h
1627	just	Excuse me, do you have the latest issue of Newsworld?	Yes, this week's issue just came in. Here it is.	Yes, this week's issue came in. Here it is.	How about Music Madness?	0.1792817397	h
4508	just	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	h
638	just	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?	0.1475478851	h
8659	just	wow! You're going to Tibet?	Yes, my brothe and I are going. We just finished making our itinerary.	Yes, my brothe and I are going. We finished making our itinerary.	that's really cool! I've always dreamed of going somewhere like Tibet, seeing something unique.	0.1248743342	h
6078	just	Steven, why are you so depressed?	I'm feeling very sad. I just read the newspaper.	I'm feeling very sad. I read the newspaper.	What's the news?	0.1190309152	h
9954	just	I made a reservation three days ago.My name is George Smith.	Just a moment, please.Yes, I can let you have Room 560 with a view of the sea.	A moment, please.Yes, I can let you have Room 560 with a view of the sea.	That's very kind of you.	0.1184268641	h
5138	just	Do you mind if I ask your friend out?	Of course, but we aren't going out, we're just friends.	Of course, but we aren't going out, we're friends.	Okay, that's good.	0.1151122086	h
498	just	I'm hungry. Do we have anything to eat?	Just a few cookies.	A few cookies.	That's fine with me.	0.1138695549	h
7769	just	What's up? You look depressed.	I just had a quarrel with him.	I had a quarrel with him.	Would you rather I taught him a lesson for you?	0.06309096508	h
12718	just	Hello Mr Waterstone, what can I do for you today?	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've just noticed the date on it.	Hello, Becky. Well, you see, I have this thing here, called a Fixed Deposit Certificate, and I've noticed the date on it.	Oh, I see. You have two choices here you can either redeem or renew.	0.06188520231	h
8242	just	Hello.this is Susan.	Hello, I’m Mark. I’m just wondering if you are free this weekend	Hello, I’m Mark. I’m wondering if you are free this weekend	Yes, I think So.	0.03103196315	h
8890	just	Wow! What’s the hold up?	It’s probably just people trying to get an early start out of the city for the weekend. Nobody sticks around in the summer.	It’s probably people trying to get an early start out of the city for the weekend. Nobody sticks around in the summer.	Really? Then, I guess I won’t have a hard time finding a room or getting a cab?	0.02979903111	h
10613	just	Oh, I think I broke my leg.__eou__Here, sir. Sit down in this wheel chair.__eou__Thanks.	The doctor will be with you in a moment. I just need to ask you a few questions.	The doctor will be with you in a moment. I need to ask you a few questions.	All right.	0.02979191874	h
6323	just	Hello, Chandler! How are you?__eou__Fine. And you?	Just so so. I am too tired. My company has been holding too many training sessions lately.	So so. I am too tired. My company has been holding too many training sessions lately.	That's good. Not Evey company provides employees with training opportunity. It seems that your company wants to further develop their employees and encouragelifelong learning.	0.02977460947	h
4012	just	Are you ok, Chuck? You look pale.	I'm fine, Katherine. I just stayed up late last night working on my Chinese.	I'm fine, Katherine. I stayed up late last night working on my Chinese.	Oh, poor you. You know what? I found a new way to learn Chinese and it works very well.	0.02958361381	h
