particle	train_fold	layer_index	position_label	position_order	corruption_mode	patch_scope	onset_tokens	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
not	0	9	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4576581379480875	0.039853715201905275	0.23810013647208314	0.24136555553158195	283	14	restoration	0.23810013647208314
not	0	10	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4591331306122095	0.038378722537783114	0.2294288329967627	0.23506660059798615	283	14	restoration	0.2294288329967627
not	0	12	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.459687575853198	0.03782427729679445	0.2256646572188287	0.23047194209654112	283	14	restoration	0.2256646572188287
not	0	8	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4621584532933376	0.03535339985665523	0.21345158038999928	0.22350637593122566	283	14	restoration	0.21345158038999928
not	0	7	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4607545030158695	0.0367573501341234	0.20985113220044724	0.2233200401619205	283	14	restoration	0.20985113220044724
not	0	11	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.462310076010904	0.03520177713908914	0.20807709304438762	0.21442828474235662	283	14	restoration	0.20807709304438762
not	0	6	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.468423638169933	0.029088214980060055	0.16677604123805628	0.18272885145467985	283	14	restoration	0.16677604123805628
not	0	5	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4736133980196575	0.023898455130335092	0.13752086099145894	0.15551216252007674	283	14	restoration	0.13752086099145894
not	0	13	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4773268426350747	0.02018501051491812	0.1167698046210915	0.12461447205645419	283	14	restoration	0.1167698046210915
not	0	4	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.477400256776511	0.020111596373482223	0.11293666127671362	0.1317210825537452	283	14	restoration	0.11293666127671362
not	0	14	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.484686217284516	0.01282563586547671	0.07743618631085158	0.09019675044394355	283	14	restoration	0.07743618631085158
not	0	3	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4876954847708044	0.009816368379188518	0.05359296640322868	0.06553143411165079	283	14	restoration	0.05359296640322868
not	0	15	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.4914158941899234	0.006095958960069676	0.03750802265246389	0.047886163326169	283	14	restoration	0.03750802265246389
not	0	16	utterance_final	0	prompt_without	utterance_final	1	-2.312281548504978	-2.497511853149993	-2.493330489512258	0.004181363637734676	0.026451714912164588	0.036873707072003124	283	14	restoration	0.026451714912164588
