source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	candidate_weight_unnormalized	candidate_weight
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	1	1	"Haha, don't worry! I completely understand. Every fitness journey is different, and finding a routine that actually *feels* good (rather than just tolerable) is key. Maybe there's a style of movement or workout that gets you energized without the ""sweating like a pig"" factor!"	"haha, don't worry! i completely understand. every fitness journey is different, and finding a routine that actually *feels* good (rather than just tolerable) is key. maybe there's a style of movement or workout that gets you energized without the ""sweating like a pig"" factor!"	"Haha, don't worry! I completely understand. Every fitness journey is different, and finding a routine that actually *feels* good (rather than just tolerable) is key. Maybe there's a style of movement or workout that gets you energized without the ""sweating like a pig"" factor!"	-57.90152621269226	-75.30482518672943	-0.7931715919546884	-1.0315729477634168	73	73	-57.90152621269226	-75.30482518672943	-0.7931715919546884	-1.0315729477634168	17.40329897403717	0.2384013558087283	True	True	3.4914515643242086e-15	3.4593872594991444e-15
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	2	2	Haha, I see! You've got a very strong personality! 😂	haha, i see! you've got a very strong personality! 😂	"Haha, I see! You've got a very strong personality! 😂\n\nBut honestly, even if you don't love the ""sweating like a pig"" part, don't forget that a good instructor knows how to keep you moving so the workout feels like part of a game, not a chore."	-29.765026926994324	-32.34950113296509	-1.190601077079773	-1.2939800453186034	25	25	-29.765026926994324	-32.34950113296509	-1.190601077079773	-1.2939800453186034	2.584474205970764	0.1033789682388304	True	True	0.005788051697217921	0.00573489619712186
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	3	3	"Ah, I see where this is going! You're channeling your inner ""don't care"" self, aren't you? 😅 Just because some people treat fitness like a health kick doesn't mean you have to jump on that bandwagon. If sweating, smelling, and feeling crummy isn't your vibe,"	"ah, i see where this is going! you're channeling your inner ""don't care"" self, aren't you? 😅 just because some people treat fitness like a health kick doesn't mean you have to jump on that bandwagon. if sweating, smelling, and feeling crummy isn't your vibe,"	"Ah, I see where this is going! You're channeling your inner ""don't care"" self, aren't you? 😅 Just because some people treat fitness like a health kick doesn't mean you have to jump on that bandwagon. If sweating, smelling, and feeling crummy isn't your vibe,"	-86.44879913330078	-109.60995197296144	-1.1842301251137093	-1.5015061914104304	73	73	-86.44879913330078	-109.60995197296144	-1.1842301251137093	-1.5015061914104304	23.161152839660645	0.3172760662967211	True	True	1.3966349917530445e-27	1.383808770543933e-27
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	4	4	"Haha, fair point! Some of us were born with a metabolism that runs on sunshine and zero effort, while others look at a receding hairline and think, ""Good thing I'm skipping the cardio."" 🏃‍♂️💨"	"haha, fair point! some of us were born with a metabolism that runs on sunshine and zero effort, while others look at a receding hairline and think, ""good thing i'm skipping the cardio."" 🏃‍♂️💨"	"Haha, fair point! Some of us were born with a metabolism that runs on sunshine and zero effort, while others look at a receding hairline and think, ""Good thing I'm skipping the cardio."" 🏃‍♂️💨\n\nMaybe we can pivot to something less... *pig"	-67.08743822574615	-79.6307303905487	-1.0820554552539705	-1.2843666192023986	62	62	-67.08743822574615	-79.6307303905487	-1.0820554552539705	-1.2843666192023986	12.543292164802551	0.2023111639484283	True	True	3.577792283768066e-19	3.5449350551128814e-19
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	5	5	"Haha, I get it! Sometimes ""sweating like a pig"" just sounds like a workout in sweatpants, right? 😂"	"haha, i get it! sometimes ""sweating like a pig"" just sounds like a workout in sweatpants, right? 😂"	"Haha, I get it! Sometimes ""sweating like a pig"" just sounds like a workout in sweatpants, right? 😂\n\nNo worries at all—you don't *have* to love it if you don't enjoy it. Fitness is supposed to make you feel good, not gross! Maybe the"	-35.19851577281952	-43.256369948387146	-0.9262767308636716	-1.1383255249575566	38	38	-35.19851577281952	-43.256369948387146	-0.9262767308636716	-1.1383255249575566	8.057854175567627	0.212048794093885	True	True	2.528122874910926e-05	2.5049054534451204e-05
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	6	6	Haha, fair point! Not everyone is a fitness enthusiast, and that's totally okay. Sweating in crowded, smelly group classes isn't for everyone! Maybe try a low-impact workout at home or just a brisk walk to get moving without the chaos. What kind of activity do you enjoy? �	haha, fair point! not everyone is a fitness enthusiast, and that's totally okay. sweating in crowded, smelly group classes isn't for everyone! maybe try a low-impact workout at home or just a brisk walk to get moving without the chaos. what kind of activity do you enjoy? �	Haha, fair point! Not everyone is a fitness enthusiast, and that's totally okay. Sweating in crowded, smelly group classes isn't for everyone! Maybe try a low-impact workout at home or just a brisk walk to get moving without the chaos. What kind of activity do you enjoy? �	-72.58777487277985	-95.95633566379549	-1.0081635398997202	-1.3327268842193816	72	72	-72.58777487277985	-95.95633566379549	-1.0081635398997202	-1.3327268842193816	23.368560791015625	0.3245633443196614	True	True	1.4616697821739317e-21	1.448246303547419e-21
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	7	7	That is a very vivid description! It sounds like you have a pretty strong aversion to that kind of intense, communal fitness atmosphere.	that is a very vivid description! it sounds like you have a pretty strong aversion to that kind of intense, communal fitness atmosphere.	"That is a very vivid description! It sounds like you have a pretty strong aversion to that kind of intense, communal fitness atmosphere.\n\nSince you don't enjoy the ""sweating like a pig"" vibe, what kind of workout *do* you prefer? Maybe something lower intensity, more outdoors, or done"	-39.40055632591248	-52.042792439460754	-1.0944598979420133	-1.4456331233183544	36	36	-39.40055632591248	-52.042792439460754	-1.0944598979420133	-1.4456331233183544	12.64223611354828	0.3511732253763411	True	True	3.783338093984405e-07	3.7485932024495074e-07
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	8	8	"Haha, I see your point! Sometimes the ""health kick"" can feel a lot like a sauna with questionable hygiene and an army of out-of-shape gym rats. There's definitely nothing wrong with loving the comfort of staying dry and smelling fresh."	"haha, i see your point! sometimes the ""health kick"" can feel a lot like a sauna with questionable hygiene and an army of out-of-shape gym rats. there's definitely nothing wrong with loving the comfort of staying dry and smelling fresh."	"Haha, I see your point! Sometimes the ""health kick"" can feel a lot like a sauna with questionable hygiene and an army of out-of-shape gym rats. There's definitely nothing wrong with loving the comfort of staying dry and smelling fresh.\n\nJust remember, there are plenty of ways to be active without"	-70.86629748344421	-88.55897259712219	-1.1811049580574036	-1.4759828766187033	60	60	-70.86629748344421	-88.55897259712219	-1.1811049580574036	-1.4759828766187033	17.69267511367798	0.2948779185612997	True	True	8.174804956489403e-21	8.099730325442343e-21
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	9	9	"Haha, fair point! That ""sweating like a pig"" vibe is definitely not everyone's cup of tea. It sounds like your instructor's method just isn't your style."	"haha, fair point! that ""sweating like a pig"" vibe is definitely not everyone's cup of tea. it sounds like your instructor's method just isn't your style."	"Haha, fair point! That ""sweating like a pig"" vibe is definitely not everyone's cup of tea. It sounds like your instructor's method just isn't your style.\n\nDo you prefer low-impact workouts, or do you have a specific type of exercise that actually gets you moving without the intense"	-46.82858920097351	-58.01830506324768	-0.9963529617228406	-1.2344320226222911	47	47	-46.82858920097351	-58.01830506324768	-0.9963529617228406	-1.2344320226222911	11.18971586227417	0.2380790608994505	True	True	2.2486479342947988e-10	2.2279971157223134e-10
not	meaning_control	0	5	not	h	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	P	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	nucleus	chat	0.9	1.0	20260416	1524864276	50	50	500	10	10	"Ah, I see! So the ""best instructor"" was actually just someone sweating it out while you stayed fresh and comfy? 😂"	"ah, i see! so the ""best instructor"" was actually just someone sweating it out while you stayed fresh and comfy? 😂"	"Ah, I see! So the ""best instructor"" was actually just someone sweating it out while you stayed fresh and comfy? 😂\n\nDon't apologize for being real! Not everyone is a fan of the ""sweat and strain"" routine, and that's totally okay. Maybe your body just prefers a different"	-49.12945783138275	-63.17432367801666	-1.364707161982854	-1.7548423243893518	36	36	-49.12945783138275	-63.17432367801666	-1.364707161982854	-1.7548423243893518	14.044865846633911	0.3901351624064977	True	True	2.2525109687690308e-11	2.231824673400534e-11
