id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-64.51018917560577	-73.31655895709991	-6.451018917560577	-9.16456986963749	10	8	-40.383395075798035	-41.8735591173172	-2.8845282196998596	-2.9909685083798	14	14	-223.2278617620468	-233.57972013950348	-4.749528973660571	-5.190660447544522	47	45	True	False	2.713550952076912	True
161	only	Do you mind if I get a lift in your car, please?	I don’t see any problem; only the car is a bit old.	I don’t see any problem; the car is a bit old.	Oh you’re so kind!	-110.32187271118164	-108.91330337524414	-5.516093635559082	-5.732279125012849	20	19	-34.12758111953735	-31.906663417816162	-3.102507374503396	-2.9006057652560147	11	11	-228.0183811187744	-224.38889408111572	-4.470948649387734	-4.487777881622314	51	50	True	False	0.2161854894537667	False
315	only	Excuse me, could you tell me how much is the lipstick?	It costs only 25 yuan.	It costs 25 yuan.	Oh, it's too expensive. Can't you make it any cheaper?	-90.3818359375	-81.8115234375	-7.531819661458333	-7.437411221590909	12	11	-47.861740946769714	-47.197389125823975	-2.3930870473384855	-2.359869456291199	20	20	-218.1791375875473	-208.84852600097656	-4.1957526459143715	-4.09506913727405	52	51	True	False	-0.09440843986742387	False
491	only	Excuse me. Can you tell me where the Wal-Mart supermarket is?__eou__Turn right at the second crossing and then go straight for two blocks.__eou__Is it far from here?	No, it’s only ten-minute's walk.	No, it’s ten-minute's walk.	Thanks a lot.	-87.64647650718689	-89.51838994026184	-5.843098433812459	-6.394170710018703	15	14	-20.314048409461975	-20.196759939193726	-2.2571164899402194	-2.244084437688192	9	9	-329.33429658412933	-331.06179571151733	-4.3911239544550575	-4.47380805015564	75	74	True	False	0.5510722762062441	False
501	only	Would you like to mail it by air or sea?__eou__Hmm ... How long will it take to mail things to the USA by air?	About 10 days. You can send it express mail if you need it faster. It will only take three or four days.	About 10 days. You can send it express mail if you need it faster. It will take three or four days.	I want to send it by express mail. The faster, the better.	-113.75291550159454	-112.32228767871857	-3.669448887148211	-3.7440762559572858	31	30	-39.01554226875305	-39.42455434799194	-1.9507771134376526	-1.9712277173995971	20	20	-343.8235557079315	-342.84209537506104	-3.8631860191902416	-3.89593290198933	89	88	True	False	0.07462736880907483	False
649	only	Well, what about this two-bedroom apartment? The listing says it's right in the heart of the city, just steps from the metro.__eou__Wow, that would be very convenient. How much is the rent?	It says it's $ 1600. But if you share it with another person, that's only $ 800 per month.	It says it's $ 1600. But if you share it with another person, that's $ 800 per month.	That definitely sounds like a steal. I think that is a very trendy neighborhood as well.	-116.76238512992859	-116.53749227523804	-3.6488245353102684	-3.7592739443625174	32	31	-73.6423807144165	-73.74826073646545	-3.2018426397572393	-3.206446118976759	23	23	-367.24290454387665	-367.0692459344864	-3.400397264295154	-3.4305537003223026	108	107	True	False	0.11044940905224898	False
659	only	Mmmm ... This apartment seems a little expensive. Do you have any cheap studios?	Actually, the one-bedroom is the only vacant apartment right now.	Actually, the one-bedroom is the vacant apartment right now.	Do you think any studios will open up soon?	-88.40566027164459	-95.9804801940918	-4.911425570646922	-5.645910599652459	18	17	-27.855645418167114	-30.81819725036621	-1.8570430278778076	-2.0545464833577474	15	15	-251.02017056941986	-261.55754232406616	-4.482503045882497	-4.755591678619385	56	55	True	False	0.7344850290055369	False
660	only	What kind of lease is it?__eou__It's a one-year lease.	Can I have a month-to-month lease? I only want to rent the apartment for five months.	Can I have a month-to-month lease? I want to rent the apartment for five months.	No, all the leases are for one year. We don't have month-to-month leases.	-102.1328353881836	-99.96663761138916	-4.085313415527343	-4.165276567141215	25	24	-44.1151362657547	-43.37989282608032	-1.8381306777397792	-1.8074955344200134	24	24	-266.73026418685913	-263.81667029857635	-3.6044630295521505	-3.613926990391457	74	73	True	False	0.07996315161387191	False
666	only	What's the problem, sir?	I bought this toy gun from your store two weeks ago. My son played with it only twice and it broke.	I bought this toy gun from your store two weeks ago. My son played with it twice and it broke.	Do you keep the receipt?	-128.72775101661682	-126.08047318458557	-4.5974196791648865	-4.669647154984651	28	27	-31.00162100791931	-30.633487105369568	-2.818329182538119	-2.7848624641245063	11	11	-220.839910030365	-217.824498295784	-4.246921346737788	-4.27106859403498	52	51	True	False	0.07222747581976474	False
687	only	Excuse me. Could you tell me the way to the Star Hotel?__eou__Yes. Go down the main road. You can't miss it.__eou__How long will it take me to get there?	It's only about a five-minute walk.	It's about a five-minute walk.	Thank you very much.	-54.05655324459076	-52.556474804878235	-3.861182374613626	-4.042805754221403	14	13	-12.349775314331055	-11.189520239830017	-1.2349775314331055	-1.1189520239830018	10	10	-270.7808531522751	-268.09306156635284	-3.427605736104748	-3.4370905329019594	79	78	True	False	0.1816233796077773	False
