id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_followup_with	log_prob_followup_without	log_prob_full_with	log_prob_full_without	include_context
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-94.85505604743958	-109.3880124092102	-31.36916148662567	-28.34039068222046	-260.6074014902115	-272.0825468301773	True
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-159.85788798332214	-167.6654441356659	-101.15237486362457	-104.54871892929077	-551.5096591711044	-562.6928379535675	True
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-91.86623394489288	-99.15346539020538	-62.58108711242676	-66.86716055870056	-230.24474954605103	-241.84149193763733	True
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-113.36818253993988	-120.72572648525238	-92.54959416389465	-87.00751519203186	-276.557381272316	-278.3434280157089	True
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-112.25991821289062	-116.54380798339844	-154.7317168712616	-152.88920140266418	-511.8500084877014	-514.2674379348755	True
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-47.177589416503906	-52.082252502441406	-29.522770643234253	-20.35021996498108	-273.1585237979889	-268.8906362056732	True
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-76.4746904373169	-84.87316989898682	-21.54479491710663	-23.05190873146057	-182.14456021785736	-192.05082488059998	True
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-88.92152619361877	-100.71779084205627	-19.980295181274414	-22.203125715255737	-221.39134883880615	-235.40958952903748	True
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-80.69126319885254	-81.83746337890625	-98.35413217544556	-96.91627180576324	-278.88329899311066	-278.56334710121155	True
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-104.3671110868454	-117.11690092086792	-54.32832896709442	-52.92655396461487	-237.28985118865967	-248.66961932182312	True
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-96.67568254470825	-101.83624649047852	-29.55199956893921	-32.99280595779419	-281.00868451595306	-289.57219207286835	True
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-102.09860229492188	-99.76318359375	-52.596405386924744	-54.57116138935089	-343.01524019241333	-342.46662735939026	True
235	not	Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-86.7011581659317	-100.66844463348389	-25.09389102458954	-26.10925328731537	-220.08899402618408	-235.0716427564621	True
