run_label	run_label_pretty	run_dir	particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	localized	random_mean	localized_minus_random_mean
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	necessity	1	0.0007080313319477	0.0003366406055915	0.00037139072635620005
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	necessity	3	0.0046167894064528	0.0017493066910263	0.0028674827154265
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	necessity	5	0.0069637915398828	0.0021914932322736	0.0047722983076092
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	necessity	10	0.0130136747005369	0.0039324467500531	0.0090812279504838
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	sufficiency	1	0.0007683883671188	0.0008961532348285	-0.00012776486770969993
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	sufficiency	3	0.0064060564307082	0.0023017532301404	0.0041043032005678
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	sufficiency	5	0.0099957950916276	0.0045169299327251	0.0054788651589025
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	generated	sufficiency	10	0.0174209717279742	0.0078129284853501	0.009608043242624098
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	necessity	1	-0.0007141059481905	0.0001149586516352	-0.0008290645998257
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	necessity	3	0.0006378782773172	0.0013310304855295	-0.0006931522082123
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	necessity	5	9.732888134315497e-05	0.0022040492307294	-0.002106720349386245
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	necessity	10	0.0003323884439692	0.0038497546263371	-0.0035173661823679004
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	sufficiency	1	-7.981209770580616e-05	-0.0001250420675748	4.522996986899383e-05
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	sufficiency	3	0.0021912254369856	-0.0002455760165978	0.0024368014535833997
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	sufficiency	5	0.0015446284588534	0.0024154864437802	-0.0008708579849268001
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	attn	prompt_boundary	prompt_without	gold	sufficiency	10	0.0025633799283557	0.0037499344985636	-0.0011865545702079002
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	necessity	1	0.0005410053795114	0.0014818138139449	-0.0009408084344335
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	necessity	3	0.002993077806362	0.0034272498657381	-0.0004341720593761
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	necessity	5	0.0050778929530108	0.0041058778365915	0.0009720151164193001
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	necessity	10	0.0113142517599066	0.0066145455090328	0.004699706250873801
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	sufficiency	1	0.000799518064785	0.0018054705581325	-0.0010059524933475
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	sufficiency	3	0.00479958513425	0.0045636258451875	0.0002359592890625005
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	sufficiency	5	0.0078920340868691	0.0064970347700488	0.0013949993168202992
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	generated	sufficiency	10	0.0136268552479083	0.0069485073744848	0.0066783478734235
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	necessity	1	9.32661921061217e-05	0.0008650630523417	-0.0007717968602355782
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	necessity	3	0.0005161744886648	0.0001751724055384	0.00034100208312640005
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	necessity	5	-0.000329014150582	0.0026178546168194	-0.0029468687674014
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	necessity	10	-0.0017649473766748	0.0035914483470193	-0.0053563957236941
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	sufficiency	1	-0.000275804813415	-0.0001839427879049	-9.186202551010001e-05
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	sufficiency	3	0.0003321671597821	-0.0002359445767659	0.0005681117365479999
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	sufficiency	5	0.0005174373433456	0.0020633627335113	-0.0015459253901656997
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	mlp	prompt_boundary	prompt_without	gold	sufficiency	10	-0.0021335429039479	0.0011644933257799	-0.0032980362297278
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	resid	prompt_boundary	prompt_without	generated	necessity	1	0.0188430737268132	0.0122127478742751	0.0066303258525380986
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just	just	resid	prompt_boundary	prompt_without	generated	necessity	3	0.019311390311732	0.0120924720605457	0.007218918251186299
