	id	word	word sense	context	w_word	wo_word	followup
0	5	just		Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.
1	7	just		Can you manage chopsticks?__eou__Why not? See.__eou__Good mastery. How do you like our Chinese food?__eou__Oh, great! It's delicious. You see, I am already putting on weight. There is one thing I don't like however, MSG.__eou__What's wrong with MSG? It helps to bring out the taste of the food.__eou__According to some studies it may cause cancer.__eou__Oh, don't let that worry you. If that were true, China wouldn't have such a large population.	I just happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I don't know exactly. It's a tradition. Maybe it's for sanitary reasons.
2	13	just		Could I have my bill, please?__eou__Certainly, sir.__eou__I'm afraid there's been a mistake.__eou__I'm sorry, sir. What seems to be the trouble?__eou__I believe you have charged me twice for the same thing. Look, the figure of 6.5 dollar appears here, then again here.	I'll just go and check it for you, sir.	I'll go and check it for you, sir.	
3	16	just		I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.
4	25	just		OK, I'm sorry it took so long.__eou__I understand.__eou__The phone has been ringing off the hook today.	Some days are just like that.	Some days are like that.	
5	30	just		Looks like dinner's ready.	Just about.	About.	
6	35	just		I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?
7	36	just		Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?
8	37	just		Did anyone call?	Just Mr. White.	Mr. White.	What did he want?
9	38	just		Could I have the check, please?	Okay. I'll just be a minute.	Okay. I'll be a minute.	
10	40	just		Hello, may I help you?__eou__Well, I'm looking for some winter clothes. And I notice you have pre-season sale on all your winter apparel.__eou__Yes, everything is 25 % off.__eou__Do you have any skirt that will go with this sweater?__eou__Sure, we have both skirts and slacks that will go well with the sweater. I especially like this flowery skirt. It's very much in style this year.__eou__I don't think that shade of green will go with my complexion. Do you have any of those skirts in black or tan?__eou__Look on the rack to your right.	Oh, yes. Just show me where the fitting rooms are now. I can't wait to try this on.	Oh, yes. Show me where the fitting rooms are now. I can't wait to try this on.	
11	56	just		This skirt is too tight. I would like to return it please. Do I need to go to the customer's service desk?__eou__I can help you with that. Do you still have your receipt?__eou__No, I receive this as a birthday present, but the price tag is still on the skirt though. Will that be OK?__eou__Oh, yes, that will help me a lot.__eou__Do you have any more skirts in this style? I would like to find a size larger.__eou__I'm sorry. I think we're out of this skirt in this color. Do you want me to call another one of our store to see if it's available there?	No, that's all right. I'll just look for something else.	No, that's all right. I'll look for something else.	Well, your refund total is 50 dollars.
12	66	just		Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.
13	77	just		May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?
14	95	just		Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.
15	99	just		Jim, could you do me a favor?	Sure, just ask. What can I do for you?	Sure, ask. What can I do for you?	My car has a problem starting. Could you please take a look at it for me?
16	106	just		It's time to go to bed.__eou__But mum, we're watching this movie.__eou__I don't care, it's school in the morning.	Just 10 more minutes.	10 more minutes.	
17	124	just		Get up, you lazybones!	Just a minute.	A minute.	
18	126	just		How much is this?__eou__You mean the large one or the small one?__eou__The large one.__eou__They're on special this week. They've been reduced to five dollars.__eou__Is this the only kind you have?__eou__No. We have some that are different in style but not in color. They're over there. Do you see the sign?__eou__Oh, yes. I think I'll look at those over there before I decide.	Very well. Just take your time.	Very well. Take your time.	
19	130	just		I am a student in Cambridge University. I read your ad, I want to know something more about your room, please?__eou__It's a big bedroom with a drawing room, facing a beautiful wood.__eou__Is there a bathroom?__eou__No, but there is one downstairs, which my daughter used some years ago.__eou__It sounds good. Could I go and see it myself?__eou__Certainly, you're welcome anytime.__eou__See you later!	( after a while ) Good afternoon, Mrs. Smith. I called you just now.	( after a while ) Good afternoon, Mrs. Smith. I called you now.	Welcome! Come in, please!
20	132	just			You just ran a red light.	You ran a red light.	Did I?
21	138	just			Ah, Bob. Just the person I wanted to see.	Ah, Bob. The person I wanted to see.	So what is it?
22	147	just		How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?
23	150	just		Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.
24	156	just		Where can I get a good novel?	There's a bookstore just across the street.	There's a bookstore across the street.	
25	176	just		Jenny, you're too lazy. You should do some exercise. See, you're getting fat.__eou__Dad, it's raining outside.__eou__That is your excuse.__eou__All right, all right, I will go swimming with Peter this afternoon.	Not just today. Go exercise everyday!	Not today. Go exercise everyday!	
26	178	just		Hi, who has the remote control?__eou__I do. Why, do you want me to change the channel?__eou__Yes, please. I can't stand watching the channel any more.__eou__I think they have pretty good programmes. But I'll change it if you really want.__eou__Put it on Channel 5, OK?	Oh, I hate Channel 5. I'd rather just listen to the radio.	Oh, I hate Channel 5. I'd rather listen to the radio.	Don't make such a fuss. I'm sure you will like today's programme.
27	186	just		Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.
28	197	just		Dad, how do you say this word?__eou__Sword, say it' sword'.__eou__What does this word mean?__eou__Look it up in the dictionary.	Dad, can you just tell me what it means? I'm too lazy.	Dad, can you tell me what it means? I'm too lazy.	No, honey, go and read it. You'll learn.
29	199	just		Mom, my nose is bleeding.__eou__What happened, Peter? Did you have a fight?__eou__No, mom. I didn't.	Did somebody hit you? Or did you just fall?	Did somebody hit you? Or did you fall?	Mom! I was just picking my nose, and now it's bleeding.
30	207	just		Mom, what are we going to make tonight?__eou__Curry and rice. What do you think?__eou__That sounds nice. I can peel the potatoes first.__eou__Really! Oh, honey, you are so sweet. I'll chop up this carrot.__eou__Mom, the water is boiling!	Honey, just turn down the stove.	Honey, turn down the stove.	
31	231	just		Mom, can I watch TV?__eou__No more today, honey.__eou__Alright, Mom. Should I turn off the TV right now?__eou__Yes, honey. Go to your room, and take out your book. It's your reading time now.__eou__Mom, where is the remote? I can't find it.	Just go to read. I will find it, honey.	Go to read. I will find it, honey.	
32	232	just		OK, Tom. It's your turn. Are you ready?	I really would rather just listen. Isn't there anyone else who wants to sing?	I really would rather listen. Isn't there anyone else who wants to sing?	Come on! In the two hours we've been here, you haven't sung even one song!
33	237	just		These vegetables taste very sweet.__eou__Sure, I planted them. They're organic.__eou__Really? Dad, how do you know how to plant organic vegetable?__eou__Well, it's a secret.	Dad, come on! Just tell me.	Dad, come on! Tell me.	Well, honey, I can teach you how to plant them if you want to learn.
34	244	just		I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.
35	246	just		can I see these silk ties?__eou__No problem.__eou__I’ll take this one.__eou__Good. Anything else? The tie pins? The cuff links?__eou__No, thank you. I want to have a look at that scarf.	Ok. We have several kinds of scarves here. Let me get them for you. Just wait a minute.	Ok. We have several kinds of scarves here. Let me get them for you. Wait a minute.	Oh. I like this one. I have been looking for this color and design. Please wrap it for me, and I’ll take it.
36	251	just		Where's the nearest bank?	It's just around the corner	It's around the corner	
37	265	just		Hi, sir. Come and have a look here. We have all kinds of sweaters.__eou__I’m looking for a sweater for my wife. Tomorrow is her birthday. And I know she needs a woolen sweater.__eou__How do you like this grey one? It’s pure wool, one hundred percent of Xinjiang wool.__eou__It feels good. Are there cowl-neck pullovers with the same color? My wife prefers a turtleneck to a V-shaped collar.__eou__Yes, we do. What size do you want?__eou__Size one. By the way, what if I bring home this sweater and my wife doesn’t like it?__eou__Well, you can always bring it back to us for a full refund.__eou__All right. Could I have it gift-wrapped, please?	Yes, just a moment, please.	Yes, a moment, please.	
38	267	just		Is that the latest issue of Reader you're reading?__eou__Yes, it is. It has some really good articles in it.__eou__I know. I have been a subscriber for the past two years.__eou__I didn't know that. How much does it cost to subscribe?__eou__I'm not exactly sure, but it's not that expensive at all.__eou__I used to subscribe to it, but I cancelled my subscription last year.__eou__Why did you do that?	I was the only person in my family reading it. Everyone in my family just likes to read Fashion.	I was the only person in my family reading it. Everyone in my family likes to read Fashion.	It's the same in my family. The coffee table in my living room is covered with copies of Fashion.
