id	Context	WWord	WoWord	WPrompt	WPreaddEnc	WBaseline	WoPrompt	WPreaddDisc	WoBaseline
5	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.
Speaker 1:"	" I’m sorry, I didn’t mean to offend you. I just thought you’d like it.
Speaker 2: It’s okay. I’m just not into this health kick. I’m sorry, I didn’t mean to offend you. I just thought you’d like it.
Speaker 1: I’m sorry"	" I’m sorry, I didn’t mean to offend you. I just thought you’d like it.
Speaker 2: It’s okay. I’m just not into this health kick. I’m sorry, I didn’t mean to offend you. I just thought you’d like it.
Speaker 1: I’m sorry"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?
Speaker 2: I swear, I’m going to kill you for this.
Speaker 1: What’s wrong? Didn’t you think it was fun?!
Speaker 2: Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.
Speaker 1:"	" I’m not either. I just like the instructor. He’s so cute.
Speaker 2: I’m not into cute. I’m into hot. And he’s not hot. He’s cute. And I’m not into cute. I’m into hot. And he’s not hot. He’s cute. And"	" I’m sorry, I didn’t mean to offend you. I just thought you’d like it.
Speaker 2: It’s okay. I’m just not into this whole health thing. I’m more of a couch potato.
Speaker 1: I’m sorry, I didn’t mean to offend you. I just"
16	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: I'm looking for a white purse as a gift. Could you show what you have in stock?
Speaker 2: You are in luck. We just receive a shipment of several different styles of white purses.
Speaker 1:"	" Great! I'm looking for something simple and elegant. Do you have any suggestions?
Speaker 2: Yes, we have a few options that might fit your description. Would you like to see them?
Speaker 1: Yes, please. I'm interested in the one with the gold hardware and the classic shape.
"	" Great! I'm looking for a small, simple purse. Do you have any that are plain and white?
Speaker 2: Yes, we have a few. Would you like to see them?
Speaker 1: Yes, please. I'm looking for something that is simple and elegant.
Speaker 2: Here"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: I'm looking for a white purse as a gift. Could you show what you have in stock?
Speaker 2: You are in luck. We receive a shipment of several different styles of white purses.
Speaker 1:"	" I'm looking for a white purse as a gift. Could you show what you have in stock?
Speaker 2: You are in luck. We receive a shipment of several different styles of white purses.

Response:
Speaker 1: I'm looking for a white purse as a gift. Could you show what you"	" Great! I'm looking for a small, simple purse. Do you have any that are white and simple?
Speaker 2: Yes, we have a few. Would you like to see them?
Speaker 1: Yes, please. I'm looking for a small, simple purse. Do you have any that are"
25	OK, I'm sorry it took so long.__eou__I understand.__eou__The phone has been ringing off the hook today.	Some days are just like that.	Some days are like that.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: OK, I'm sorry it took so long.
Speaker 2: I understand.
Speaker 1: The phone has been ringing off the hook today.
Speaker 2: Some days are just like that.
Speaker 1:"	" I'm glad you understand.
Speaker 2: I'm sure you are.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker "	" I'm glad you understand.
Speaker 2: I'm sure you are.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker "	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: OK, I'm sorry it took so long.
Speaker 2: I understand.
Speaker 1: The phone has been ringing off the hook today.
Speaker 2: Some days are like that.
Speaker 1:"	" I'm just glad you're here.
Speaker 2: I'm glad to be here.
Speaker 1: I'm sorry I'm late.
Speaker 2: It's OK.
Speaker 1: I'm sorry I'm late.
Speaker 2: It's OK.
Speaker 1: I'm sorry"	" I'm glad you understand.
Speaker 2: I do.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker 1: I'm sorry I couldn't get to you sooner.
Speaker 2: It's OK.
Speaker 1: I"
30	Looks like dinner's ready.	Just about.	about.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Looks like dinner's ready.
Speaker 2: Just about.
Speaker 1:"	" Great. I'm starving.
Speaker 2: Me too. I can't wait to dig in.
Speaker 1: I know, right? I'm so excited.
Speaker 2: Me too. I'm going to make sure we have enough food for everyone.
Speaker 1: That's a good idea"	" I'm starving.
Speaker 2: Me too.
Speaker 1: I'm going to go wash up.
Speaker 2: I'll be right there.
Speaker 1: I'm going to go wash up.
Speaker 2: I'll be right there.
Speaker 1: I'm going to go"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Looks like dinner's ready.
Speaker 2: about.
Speaker 1:"	" about.
Speaker 2: about.
Speaker 1: about.
Speaker 2: about.
Speaker 1: about.
Speaker 2: about.
Speaker 1: about.
Speaker 2: about.
Speaker 1: about.
Speaker 2: about.
Speaker 1: about.
Speaker "	" I'm hungry.
Speaker 2: I'm hungry.
Speaker 1: I'm hungry.
Speaker 2: I'm hungry.
Speaker 1: I'm hungry.
Speaker 2: I'm hungry.
Speaker 1: I'm hungry.
Speaker 2: I'm hungry.
Speaker 1:"
35	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: Not to high, maybe an inch or an inch in the half would be the best.
Speaker 2: In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.
Speaker 1:"	" They look very nice. I'll try them on.
Speaker 2: Of course. I'll be right back with them.
Speaker 1: Thank you.
Speaker 2: You're welcome. I'll be right back.

Response:
://://>://>://>"	" They look very nice. I'll try them on.
Speaker 2: Of course. I'll be right back with them.
Speaker 1: Thank you.
Speaker 2: You're welcome. I'll be right back.

Response:
"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: I'm looking for some black pumps to go with my evening gown. Could you show me what you have?
Speaker 2: Sure, we have several different styles you may choose. How high of a heel do you want?
Speaker 1: Not to high, maybe an inch or an inch in the half would be the best.
Speaker 2: In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.
Speaker 1:"	" They look very nice. I'll try them on.
Speaker 2: Please do. I'll be right back.
Speaker 1: I'll try them on.
Speaker 2: Please do. I'll be right back.
Speaker 1: I'll try them on.
Speaker 2: Please do."	" They look very nice. I'll try them on.
Speaker 2: Of course. I'll be right back with them.
Speaker 1: Thank you.
Speaker 2: You're welcome."
36	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Are you OK?
Speaker 2: I'm fine. I'm just so touched by the sad story.
Speaker 1:"	" I'm sorry to hear that. Is there anything I can do to help?
Speaker 2: No, I'm fine. Thank you for asking.
Speaker 1: Of course. I'm here if you need anything.
Speaker 2: Thank you. I appreciate it.
Speaker 1: You're welcome"	" I'm sorry to hear that. Is there anything I can do to help?
Speaker 2: No, I'm fine. Thank you for asking.
Speaker 1: You're welcome. I'm here if you need anything.
Speaker 2: Thank you. I appreciate it.
Speaker 1: You're"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Are you OK?
Speaker 2: I'm fine. I'm so touched by the sad story.
Speaker 1:"	 I'm glad to hear that.://>://>://>://>://>://>://>://>://>://>://> //> //> //> //> //> //> //	" I'm sorry to hear that. Is there anything I can do to help?
Speaker 2: No, I'm fine. Thank you for your concern.
Speaker 1: I'm glad to hear that. Is there anything else you need?
Speaker 2: No, I'm good. Thank you for checking"
37	Did anyone call?	Just Mr. White.	Mr. White.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Did anyone call?
Speaker 2: Just Mr. White.
Speaker 1:"	" What did he want?
Speaker 2: He wanted to know if you were coming to the meeting.
Speaker 1: I'm not sure. I'll have to check my schedule.
Speaker 2: Okay, let me know.
Speaker 1: Will do.
Speaker 2: Thanks.
Speaker 1"	" I'll call him back later.
Speaker 2: I'm sure he'll understand.
Speaker 1: I'm sure he will.
Speaker 2: I'm sure he will.
Speaker 1: I'm sure he will.
Speaker 2: I'm sure he will.
Speaker 1: I'm"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Did anyone call?
Speaker 2: Mr. White.
Speaker 1:"	" Hello, Mr. White. This is the police. We have a report of a break-in at your home. Can you confirm that you live there?
Speaker 2: Yes, I do.
Speaker 1: Can you tell me what happened?
Speaker 2: I came home and found the front door open"	" I'll call him back.
Speaker 2: I'll call him back.
Speaker 1: I'll call him back.
Speaker 2: I'll call him back.
Speaker 1: I'll call him back.
Speaker 2: I'll call him back.
Speaker 1: I'll call him"
38	Could I have the check, please?	Okay. I'll just be a minute.	Okay. I'll be a minute.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Could I have the check, please?
Speaker 2: Okay. I'll just be a minute.
Speaker 1:"	" Thank you.
Speaker 2: Here you go. Have a great day!
Speaker 1: You too. Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2"	" Thank you.
Speaker 2: Here you go. Have a great day!
Speaker 1: You too. Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2: Bye!
Speaker 1: Bye!
Speaker 2"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Could I have the check, please?
Speaker 2: Okay. I'll be a minute.
Speaker 1:"	" I'm sorry, I didn't catch that. Could you repeat it?
Speaker 2: I said I'll be a minute.
Speaker 1: I'm sorry, I didn't catch that. Could you repeat it?
Speaker 2: I said I'll be a minute.
Speaker 1: I'm"	" I'm sorry, I didn't catch that. Could you repeat it?
Speaker 2: I said I'll be a minute.
Speaker 1: I'm sorry, I didn't catch that. Could you repeat it?
Speaker 2: I said I'll be a minute.
Speaker 1: I'm"
66	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Ah, Oh! Are you hurt?
Speaker 2: I don't think so. I'm just shaken up a little.
Speaker 1:"	" Well, I'm glad you're okay. Let's get you to the hospital to make sure you're alright.
Speaker 2: Okay, thanks. I'll follow you there.
Speaker 1: Great. I'll drive slowly so you can rest.
Speaker 2: Thanks. I appreciate it.
Speaker "	" I'm glad you're okay. Do you need any help?
Speaker 2: No, I'm fine. I just need to catch my breath.
Speaker 1: Okay, take your time. I'll be here if you need anything.
Speaker 2: Thanks. I appreciate it.
Speaker 1:"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: Ah, Oh! Are you hurt?
Speaker 2: I don't think so. I'm shaken up a little.
Speaker 1:"	" I'm sorry. I didn't see you.
Speaker 2: I'm okay. I'm just a little shaken up.
Speaker 1: I'm sorry. I didn't see you.
Speaker 2: I'm okay. I'm just a little shaken up.
Speaker 1: I'm sorry."	" I'm glad you're okay. I was worried when I heard the crash.
Speaker 2: I'm fine. I just need to get my car out of the ditch.
Speaker 1: I'll help you. Let's get your car out of the ditch.
Speaker 2: Thanks. I appreciate your"
77	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: May I please speak to Tom?
Speaker 2: Tom has gone to lunch.
Speaker 2: I'll just try him again.
Speaker 1:"	" I'll try him again later.
Speaker 2: I'll just try him again.
Speaker 1: I'll try him again later.
Speaker 2: I'll just try him again.
Speaker 1: I'll try him again later.
Speaker 2: I'll just try him again.
Speaker "	" I'll try him again later.
Speaker 2: I'll let you know if I hear from him.
Speaker 1: I'll try him again later.
Speaker 2: I'll let you know if I hear from him.
Speaker 1: I'll try him again later.
Speaker 2: I"	"System: You are participating in a two-person conversation. Generate a natural, context-aware response as Speaker 1. Keep your response to 1-2 sentences and respond directly to what Speaker 2 just said.

Conversation:
Speaker 1: May I please speak to Tom?
Speaker 2: Tom has gone to lunch.
Speaker 2: I'll try him again.
Speaker 1:"	" I'll call back later.
Speaker 2: I'll try him again.
Speaker 1: I'll call back later.
Speaker 2: I'll try him again.
Speaker 1: I'll call back later.
Speaker 2: I'll try him again.
Speaker 1: I'll call back"	" I'll try him again.
Speaker 2: I'll try him again.
Speaker 1: I'll try him again.
Speaker 2: I'll try him again.
Speaker 1: I'll try him again.
Speaker 2: I'll try him again.
Speaker 1: I'll try him"
