particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
not	generated	0.5	localized	2	0,1	15.0	50.0	-32.66172493076324	0.07986822218190845	-32.71820029226938	-32.6052495692571	-33.460492706537245	0.027972851330776996	-33.48027249940236	-33.44071291367213	0.7987677757740022	0.051895370851132945	0.7620722071329753	0.8354633444150289	-2.3149879901275208	0.10212060437357459	-2.3871981619789437	-2.2427778182760973	-2.375234633436315	0.09895705618114399	-2.44520783890826	-2.30526142796437	0.060246643308794326	0.0031635481924308113	0.05800967692931606	0.0624836096882726	-0.6333472228050232	0.36094766404175616	-0.8885757637023928	-0.3781186819076537	-0.6175826491514842	0.3415160729674491	-0.8590709802309673	-0.37609431807200117	-0.015764573653539022	0.019431591074306837	-0.029504783471425378	-0.002024363835652668	-0.03905092475698642	0.01558668157401054	-0.050072372994164685	-0.02802947651980816	-0.03729673650166507	0.01255651079753546	-0.04617553043464449	-0.02841794256868564	-0.0017541882553213494	0.0030301707764750713	-0.0038968425595201786	0.0003884660488774797	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.6666666666666667	0.1885618083164127	0.5333333333333333	0.8	0.6333333333333333	0.04714045207910316	0.6	0.6666666666666666	0.43333333333333335	0.02357022603955158	0.4166666666666667	0.45	0.6333333333333333	0.0015533911555109413	0.003000821311025331	-0.0014474301555143915
not	generated	0.5	none	2	0,1	15.0	50.0	-32.02837770795823	0.4408158862236656	-32.340081610361736	-31.716673805554713	-32.84291005738576	0.36948892429823277	-33.10417818133036	-32.581641933441155	0.814532349427541	0.07132696192543957	0.764096570968628	0.864968127886454	-2.2759370653705346	0.11770728594758538	-2.359168685459136	-2.192705445281933	-2.33793789693465	0.11151356697867927	-2.416789896339574	-2.2590858975297254	0.06200083156411568	0.006193718968905899	0.05762121088043857	0.06638045224779279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	0.5	random_mean	2	0,1	15.0	50.0	-32.66842556077242	0.5426547184977398	-33.05214039206505	-32.28471072947979	-33.48550649956862	0.46809085413339047	-33.816496716737745	-33.1545162823995	0.8170809387962024	0.07456386436434659	0.7643563246726989	0.8698055529197057	-2.3165413812830318	0.13044299060586215	-2.40877850449869	-2.2243042580673733	-2.3782354547473403	0.12373147367416701	-2.4657268188285486	-2.290744090666132	0.06169407346430872	0.006711516931694875	0.05694831432985894	0.06643983259875849	-0.6400478528141975	0.10183883227407185	-0.7120587817033132	-0.5680369239250819	-0.6425964421828587	0.09860192983516523	-0.7123185354073842	-0.5728743489583332	0.002548589368661245	0.0032369024389066964	0.00025975370407104576	0.004837425033251444	-0.040604315912497364	0.012735704658276888	-0.049609819039554054	-0.031598812785440675	-0.040297557812690406	0.012217906695487902	-0.048936922488974424	-0.03165819313640639	-0.0003067580998069576	0.0005177979627889841	-0.0006728965505796279	5.938035096571271e-05	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.43333333333333335	0.14142135623730953	0.3333333333333333	0.5333333333333333												
not	generated	1.0	localized	2	0,1	15.0	50.0	-33.33574878851573	0.05900122599740446	-33.37746895551681	-33.29402862151464	-34.131082978963846	0.10974938233517424	-34.20868751144408	-34.05347844648361	0.7953341904481253	0.050748156337768836	0.7594498249689738	0.8312185559272767	-2.362146979817714	0.09281695737446317	-2.4277784797862996	-2.2965154798491283	-2.421751090269284	0.08980425025700708	-2.4852522846053873	-2.3582498959331804	0.059604110451569915	0.003012707117455843	0.05747380481908791	0.06173441608405192	-1.3073710805575054	0.49981711222107844	-1.6607951499621076	-0.9539470111529033	-1.2881729215780893	0.47923830663340705	-1.6270455780029294	-0.9493002651532492	-0.019198158979415892	0.020578805587670963	-0.033749571959177646	-0.004646745999654137	-0.08620991444717985	0.024890328573121942	-0.10381003456719565	-0.06860979432716403	-0.08381319333463406	0.021709316721671878	-0.09916399840345476	-0.06846238826581337	-0.002396721112545766	0.0031810118514500356	-0.004646036163740861	-0.0001474060613506716	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.5333333333333333	0.0	0.5333333333333333	0.5333333333333333	0.5666666666666667	0.04714045207910316	0.5333333333333333	0.6	0.4083333333333333	0.01178511301977579	0.4	0.4166666666666667	0.5666666666666667	-0.0054193920998756315	-0.0026772432092062107	-0.00274214889066942
not	generated	1.0	none	2	0,1	15.0	50.0	-32.02837770795823	0.4408158862236656	-32.340081610361736	-31.716673805554713	-32.84291005738576	0.36948892429823277	-33.10417818133036	-32.581641933441155	0.814532349427541	0.07132696192543957	0.764096570968628	0.864968127886454	-2.2759370653705346	0.11770728594758538	-2.359168685459136	-2.192705445281933	-2.33793789693465	0.11151356697867927	-2.416789896339574	-2.2590858975297254	0.06200083156411568	0.006193718968905899	0.05762121088043857	0.06638045224779279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	1.0	random_mean	2	0,1	15.0	50.0	-33.30773391133547	0.31154537703263996	-33.52802976008257	-33.08743806258837	-34.13176117038727	0.22682772955403152	-34.292152596116075	-33.97136974465847	0.8240272590517997	0.08471764747861003	0.7641228360335032	0.8839316820700963	-2.356727587717838	0.11765323334059068	-2.4399209868414933	-2.2735341885941835	-2.419073847060078	0.11105772322918891	-2.497603516258576	-2.3405441778615796	0.06234625934223934	0.006595510111401903	0.057682529417082615	0.06700998926739607	-1.279356203377247	0.12927050919103567	-1.3707642570336662	-1.1879481497208277	-1.2888511130015055	0.14266119474420597	-1.3897278112173082	-1.1879744147857028	0.009494909624258677	0.013390685553170214	2.626506487528324e-05	0.01896355418364207	-0.08079052234730422	5.4052606994302013e-05	-0.08082874331225069	-0.08075230138235773	-0.08113595012542785	0.00045584374949032125	-0.08145828033185396	-0.08081361991900174	0.000345427778123654	0.00040179114249601236	6.131853664403322e-05	0.0006295370196032747	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.43333333333333335	0.04714045207910316	0.4	0.4666666666666667												
not	generated	5.0	localized	2	0,1	15.0	50.0	-41.13521932236353	2.077849667931819	-42.60448091284434	-39.66595773188273	-42.04108930031458	2.3416403154090406	-43.696879046440124	-40.38529955418905	0.90586997795105	0.26379064747722347	0.7193418223063152	1.0923981335957846	-2.856936080201316	0.008479936753052532	-2.862932300983432	-2.8509398594191993	-2.920254299193572	0.022263464079260883	-2.9359969456167208	-2.904511652770424	0.0633182189922561	0.013783527326207622	0.05357179335122462	0.0730646446332876	-9.106841614405313	2.5186655541554863	-10.887807107289632	-7.325876121520996	-9.198179242928823	2.71112923970727	-11.115237112998964	-7.281121372858684	0.09133762852350871	0.19246368555178361	-0.044754748662312833	0.22743000570933025	-0.5809990148307818	0.1261872227006377	-0.6702268557014998	-0.4917711739600638	-0.582316402258922	0.13377703105793928	-0.6769110480869943	-0.4877217564308498	0.0013173874281404247	0.007589808357301731	-0.00404941752921396	0.006684192385494809	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.03571428571428571	0.050507627227610534	0.0	0.07142857142857142	1.0	0.0	1.0	1.0	0.4666666666666667	0.18856180831641267	0.3333333333333333	0.6	0.5	0.14142135623730948	0.4	0.6	0.575	0.05892556509887899	0.5333333333333333	0.6166666666666667	0.5	0.1038258673005036	0.1016377563691513	0.002188110931352298
not	generated	5.0	none	2	0,1	15.0	50.0	-32.02837770795823	0.4408158862236656	-32.340081610361736	-31.716673805554713	-32.84291005738576	0.36948892429823277	-33.10417818133036	-32.581641933441155	0.814532349427541	0.07132696192543957	0.764096570968628	0.864968127886454	-2.2759370653705346	0.11770728594758538	-2.359168685459136	-2.192705445281933	-2.33793789693465	0.11151356697867927	-2.416789896339574	-2.2590858975297254	0.06200083156411568	0.006193718968905899	0.05762121088043857	0.06638045224779279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	5.0	random_mean	2	0,1	15.0	50.0	-43.088286573529246	1.1565734159068122	-43.906107478857045	-42.27046566820145	-43.9338140873909	1.3154582249214273	-44.863983518600456	-43.003644656181336	0.8455275138616563	0.15888480901462002	0.7331789879798889	0.9578760397434235	-2.960761947501819	0.033198729169782906	-2.984236994024548	-2.93728690097909	-3.0218920555627236	0.021624855294388047	-3.037183137383563	-3.0066009737418837	0.0611301080609038	0.011573873875395114	0.05294614335901409	0.06931407276279351	-11.059908865571021	1.5973893021304841	-12.189433673302334	-9.93038405783971	-11.090904030005136	1.68494714921966	-12.2823415851593	-9.899466474850973	0.030995164434115083	0.08755784708918016	-0.03091758298873902	0.09290791185696919	-0.6848248821312853	0.08450855677780215	-0.7445814556971576	-0.6250683085654131	-0.6839541586280733	0.08988871168429131	-0.7475150762121582	-0.6203932410439885	-0.0008707235032118725	0.005380154906489222	-0.004675067521424477	0.0029336205150007322	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.9333333333333333	0.0	0.9333333333333333	0.9333333333333333	0.03333333333333333	0.04714045207910317	0.0	0.06666666666666667	1.0	0.0	1.0	1.0	0.6	0.09428090415820632	0.5333333333333333	0.6666666666666666												
not	gold	0.5	localized	2	0,1	15.0	1.0	-28.256513170401256	4.98697396447123	-31.78283627827962	-24.730190062522887	-29.053453862667084	5.262826166934351	-32.77483393351237	-25.3320737918218	0.7969406922658284	0.2758522024631233	0.6018837292989095	0.9919976552327474	-2.1342836938976504	0.03515832419573353	-2.1591443833516086	-2.109423004443692	-2.2091242334010794	0.05012915224152188	-2.2445708968861924	-2.1736775699159665	0.07484053950342885	0.014970828045788285	0.0642545654722742	0.0854265135345835	-0.6035959998766581	0.020557248991944208	-0.6181321700414022	-0.5890598297119141	-0.532977306842804	0.08294861125925183	-0.5916308323542278	-0.4743237813313802	-0.07061869303385417	0.062391362267307585	-0.11473604838053385	-0.02650133768717448	-0.04152731975840997	0.014468673336578732	-0.05175821678947778	-0.031296422727342156	-0.03775940277691901	0.01851205077874238	-0.05084939941623746	-0.024669406137600564	-0.003767916981490956	0.004043377442163654	-0.006627016589741593	-0.0009088173732403189	0.7666666666666666	0.04714045207910324	0.7333333333333333	0.8	0.7666666666666666	0.04714045207910324	0.7333333333333333	0.8	0.08712121212121213	0.005356869554443547	0.08333333333333333	0.09090909090909091	0.6666666666666666	0.09428090415820632	0.6	0.7333333333333333	0.6	0.18856180831641264	0.4666666666666667	0.7333333333333333	0.5333333333333333	0.09428090415820632	0.4666666666666667	0.6	0.45833333333333337	0.058925565098878946	0.4166666666666667	0.5	0.5333333333333333	-0.02132055289909943	-0.01744469186334127	-0.003875861035758154
