particle	train_fold	layer_index	position_label	position_order	patch_scope	onset_tokens	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
not	0	15	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4586827369374973	0.03886262531698591	0.216172200518944	0.2291114321944415	283	14	restoration	0.216172200518944
not	0	17	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4598646240037505	0.03768073825073287	0.20780905039925218	0.22443655478726024	283	14	restoration	0.20780905039925218
not	0	16	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4599415545572816	0.037603807697201896	0.2075697085820973	0.22297178895529418	283	14	restoration	0.2075697085820973
not	0	18	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.460046368831363	0.03749899342312051	0.2058591088361464	0.2243190310573126	283	14	restoration	0.2058591088361464
not	0	14	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4602800976098727	0.037265264644610406	0.2043737146281524	0.21586445505649737	283	14	restoration	0.2043737146281524
not	0	19	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4605579635161696	0.03698739873831401	0.2041797210993331	0.22359823637564302	283	14	restoration	0.2041797210993331
not	0	20	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4611466270719835	0.036398735182499656	0.20116424467859537	0.2214534275410758	283	14	restoration	0.20116424467859537
not	0	21	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4613290357753237	0.036216326479159795	0.19974355196819943	0.2215317450650871	283	14	restoration	0.19974355196819943
not	0	30	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4617910450547873	0.03575431719969611	0.19952482868907626	0.2271789033641716	283	14	restoration	0.19952482868907626
not	0	31	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4628028189661966	0.034742543288286805	0.19344960714255705	0.2276612323727378	283	14	restoration	0.19344960714255705
not	0	29	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4629286893269327	0.03461667292755107	0.19223809872195674	0.219987293440319	283	14	restoration	0.19223809872195674
not	0	22	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.462776057865656	0.03476930438882715	0.19050475784210902	0.21374878515703458	283	14	restoration	0.19050475784210902
not	0	28	predict_0	0	hybrid	3	-2.31218880445927	-2.497545362254484	-2.4632676476069215	0.0342777146475622	0.19029074028508894	0.21776426079910505	283	14	restoration	0.19029074028508894
