particle	train_fold	layer_index	position_label	position_order	corruption_mode	patch_scope	onset_tokens	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
not	0	9	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.468745947420015	0.052591873093174465	0.2137771299485753	0.2184966260791922	238	27	restoration	0.2137771299485753
not	0	10	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.472168254605424	0.04916956590776524	0.20142570575928773	0.20706655787764008	238	27	restoration	0.20142570575928773
not	0	12	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.473230578923475	0.048107241589714314	0.19894721350605346	0.20358068470581078	238	27	restoration	0.19894721350605346
not	0	8	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.4726187776125954	0.048719042900594305	0.19179536935661096	0.1970957608200182	238	27	restoration	0.19179536935661096
not	0	7	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.4737598435838315	0.04757797692935831	0.18422567354830985	0.18814112536055155	238	27	restoration	0.18422567354830985
not	0	11	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.476790078184939	0.04454774232825085	0.1831053757286672	0.18883226187816507	238	27	restoration	0.1831053757286672
not	0	6	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.481682999956513	0.03965482055667664	0.15014239159882362	0.15607435955305796	238	27	restoration	0.15014239159882362
not	0	13	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.495310684769072	0.026027135744117476	0.10984867970899738	0.11575810608824362	238	27	restoration	0.10984867970899738
not	0	5	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.4956097063683442	0.025728114144845642	0.10462259121871448	0.11203340417845305	238	27	restoration	0.10462259121871448
not	0	4	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.5039661549741328	0.017371665539056832	0.07104569785216677	0.07853922871427202	238	27	restoration	0.07104569785216677
not	0	14	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.5087810915795825	0.0125567289336069	0.058803685901430085	0.06960450770404733	238	27	restoration	0.058803685901430085
not	0	3	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.512541969665961	0.008795850847228677	0.036204242340272044	0.0411140321332163	238	27	restoration	0.036204242340272044
not	0	15	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.5135600618654714	0.007777758647717873	0.03578399249028053	0.04135326154219951	238	27	restoration	0.03578399249028053
not	0	16	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.5149290885767734	0.006408731936415864	0.029943533332305712	0.03507043834749336	238	27	restoration	0.029943533332305712
not	0	17	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.5185291540923025	0.0028086664208873523	0.013399949468193872	0.018177715434821138	238	27	restoration	0.013399949468193872
not	0	18	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.519039307035727	0.002298513477462475	0.010206862786931852	0.015403817575536783	238	27	restoration	0.010206862786931852
not	0	2	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.519246130341986	0.002091690171203728	0.00983308982083346	0.015202440549749337	238	27	restoration	0.00983308982083346
not	0	20	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.520008596874916	0.0013292236382736642	0.006032654580185775	0.01260910216329952	238	27	restoration	0.006032654580185775
not	0	22	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.52004876166028	0.001289058852909938	0.006009789527060244	0.012441151952427542	238	27	restoration	0.006009789527060244
not	0	19	utterance_final	0	prompt_without	utterance_final	1	-2.265644843958315	-2.5213378205131898	-2.520022159905997	0.001315660607192888	0.005972188738014737	0.012690034260088719	238	27	restoration	0.005972188738014737
