run_label	run_label_pretty	run_dir	particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	localized	random_mean	localized_minus_random_mean
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	necessity	1	0.0063143879709702	0.0016253465659754	0.0046890414049948
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	necessity	3	0.0165890052983736	0.0022134510715019	0.0143755542268717
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	necessity	5	0.0205553735647966	0.0031648118108695	0.0173905617539271
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	necessity	10	0.0249689307358963	0.005589693159644	0.0193792375762523
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	sufficiency	1	0.0132495105570868	0.0011246780558695	0.012124832501217299
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	sufficiency	3	0.027400110701217	0.0034287036124837	0.0239714070887333
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	sufficiency	5	0.0322783932418973	0.0039838626053025	0.028294530636594803
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	generated	sufficiency	10	0.0382529167901495	0.0071280393218805	0.031124877468269
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	gold	necessity	1	-0.0002633194315408	0.0007551277118209	-0.0010184471433617001
full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1656_Meta-Llama-3-8B_not_prompt_boundary_full/not	not	attn	prompt_boundary	prompt_without	gold	necessity	3	0.0036467250589243	0.0006489687780157	0.0029977562809086
