transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
exclusive_just_to_only	exclusive_just	only	0	attn	1	6
exclusive_just_to_only	exclusive_just	only	0	attn	3	6,3,5
exclusive_just_to_only	exclusive_just	only	0	attn	5	6,3,5,4,7
exclusive_just_to_only	exclusive_just	only	0	attn	10	6,3,5,4,7,12,10,13,2,8
exclusive_just_to_only	exclusive_just	only	1	attn	1	3
exclusive_just_to_only	exclusive_just	only	1	attn	3	3,4,7
exclusive_just_to_only	exclusive_just	only	1	attn	5	3,4,7,5,8
exclusive_just_to_only	exclusive_just	only	1	attn	10	3,4,7,5,8,2,11,6,9,10
exclusive_just_to_only	exclusive_just	only	0	mlp	1	6
exclusive_just_to_only	exclusive_just	only	0	mlp	3	6,7,8
exclusive_just_to_only	exclusive_just	only	0	mlp	5	6,7,8,4,3
exclusive_just_to_only	exclusive_just	only	0	mlp	10	6,7,8,4,3,12,13,11,15,17
exclusive_just_to_only	exclusive_just	only	1	mlp	1	7
exclusive_just_to_only	exclusive_just	only	1	mlp	3	7,8,6
exclusive_just_to_only	exclusive_just	only	1	mlp	5	7,8,6,3,4
exclusive_just_to_only	exclusive_just	only	1	mlp	10	7,8,6,3,4,13,11,10,9,1
exclusive_just_to_only	exclusive_just	only	0	resid	1	7
exclusive_just_to_only	exclusive_just	only	0	resid	3	7,6,8
exclusive_just_to_only	exclusive_just	only	0	resid	5	7,6,8,10,9
exclusive_just_to_only	exclusive_just	only	0	resid	10	7,6,8,10,9,11,5,12,4,13
exclusive_just_to_only	exclusive_just	only	1	resid	1	8
exclusive_just_to_only	exclusive_just	only	1	resid	3	8,7,9
exclusive_just_to_only	exclusive_just	only	1	resid	5	8,7,9,6,10
exclusive_just_to_only	exclusive_just	only	1	resid	10	8,7,9,6,10,11,5,12,4,13
