particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
just	0	attn	6	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9457569033917028	0.0222857570226528	0.0887555730526702	0.0932482437568487	13	13	restoration	0.0887555730526702
just	0	attn	3	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9481041469875274	0.0199385134268282	0.0848540559923078	0.0866425069856573	13	13	restoration	0.0848540559923078
just	0	attn	5	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.944052096775008	0.0239905636393476	0.0809740824249406	0.0831717846991874	13	13	restoration	0.0809740824249406
just	0	attn	4	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9538345055967266	0.014208154817629	0.0723852476374933	0.0770121528844162	13	13	restoration	0.0723852476374933
just	0	attn	7	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9489742915959704	0.0190683688183851	0.070926518485665	0.0722667038853763	13	13	restoration	0.070926518485665
just	0	attn	12	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9532777786772876	0.014764881737068	0.0538662365878121	0.0578161577056445	13	13	restoration	0.0538662365878121
just	0	attn	10	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9553023852838034	0.0127402751305522	0.0505866608804286	0.0513648262354537	13	13	restoration	0.0505866608804286
just	0	attn	13	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9545183366725942	0.0135243237417613	0.0289091792701237	0.0340417951876392	13	13	restoration	0.0289091792701237
just	0	attn	2	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9612288023809478	0.0068138580334078	0.0251140925588488	0.0272863894774311	13	13	restoration	0.0251140925588488
just	0	attn	8	utterance_final	0	prompt_without	-0.6570526886795918	-0.9680426604143556	-0.9633309738340776	0.0047116865802781	0.0232622900377625	0.0354245532694851	13	13	restoration	0.0232622900377625
