pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	just	discourse_particle	6	638	just	h	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?	0.1475478851	P	Yes, something just opened up.	nucleus	chat	0.9	1.0	20260416	643568008	50	50	200	36	36	What kind of opportunity has just opened up?	what kind of opportunity has just opened up?	What kind of opportunity has just opened up?	-8.643405675888062	-14.584197998046877	-0.6173861197062901	-1.0417284284319197	14	14	-8.643405675888062	-14.584197998046877	-0.6173861197062901	-1.0417284284319197	5.9407923221588135	0.4243423087256296	True	True	What kind of apartment is it?	just	0.4243423087256296	5.9407923221588135	0	"Speaker 1: Hello, do you have any vacancies?
Speaker 2: Yes, something just opened up.
Speaker 1: "	"Speaker 1: Hello, do you have any vacancies?
Speaker 2: Yes, something opened up.
Speaker 1: "	Speaker 1
1	2	just	discourse_particle	1	5467	just	h	I want to leave the motorbike outdoors.	Fine, just don't do it at night.	Fine, don't do it at night.	Why not?	0.2215410698	P	Fine, just don't do it at night.	nucleus	chat	0.9	1.0	20260416	300184065	50	50	200	6	6	Why not?	why not?	Why not?	-3.993167161941528	-6.8183640241622925	-0.499145895242691	-0.8522955030202866	8	8	-3.993167161941528	-6.8183640241622925	-0.499145895242691	-0.8522955030202866	2.825196862220764	0.3531496077775955	True	True	Why not?	just	0.3531496077775955	2.825196862220764	0	"Speaker 1: I want to leave the motorbike outdoors.
Speaker 2: Fine, just don't do it at night.
Speaker 1: "	"Speaker 1: I want to leave the motorbike outdoors.
Speaker 2: Fine, don't do it at night.
Speaker 1: "	Speaker 1
2	3	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	1	1	You're welcome! Feel free to browse around. If you have any questions or need assistance, just let me know.	you're welcome! feel free to browse around. if you have any questions or need assistance, just let me know.	You're welcome! Feel free to browse around. If you have any questions or need assistance, just let me know.	-9.501405477523804	-18.05961596965789	-0.3276346716387519	-0.6227453782640654	29	29	-9.501405477523804	-18.05961596965789	-0.3276346716387519	-0.6227453782640654	8.558210492134094	0.2951107066253135	True	True	Need a gift for your girlfriend or wife?	just	0.2951107066253135	8.558210492134094	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
3	4	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	29	28	You're welcome! Feel free to browse around. I'm here if you have any questions or need any recommendations.	you're welcome! feel free to browse around. i'm here if you have any questions or need any recommendations.	You're welcome! Feel free to browse around. I'm here if you have any questions or need any recommendations.	-9.547235488891602	-17.70793890953064	-0.3409726960318429	-0.6324263896260943	28	28	-9.547235488891602	-17.70793890953064	-0.3409726960318429	-0.6324263896260943	8.160703420639038	0.2914536935942514	True	True	Need a gift for your girlfriend or wife?	just	0.2914536935942514	8.160703420639038	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
4	5	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	9	8	No worries at all! Feel free to browse around, I'm here if you need any assistance or have any questions.	no worries at all! feel free to browse around, i'm here if you need any assistance or have any questions.	No worries at all! Feel free to browse around, I'm here if you need any assistance or have any questions.	-11.35393238067627	-19.74954605102539	-0.391514909678492	-0.6810188293457031	29	29	-11.35393238067627	-19.74954605102539	-0.391514909678492	-0.6810188293457031	8.395613670349121	0.289503919667211	True	True	Need a gift for your girlfriend or wife?	just	0.289503919667211	8.395613670349121	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
5	6	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	10	10	Aw, but cookies are a special treat, Mom! Can't we just have a little snack? Pleeease?	aw, but cookies are a special treat, mom! can't we just have a little snack? pleeease?	Aw, but cookies are a special treat, Mom! Can't we just have a little snack? Pleeease?	-17.058419227600098	-25.40668737888336	-0.5882213526758654	-0.8760926682373573	29	29	-17.058419227600098	-25.40668737888336	-0.5882213526758654	-0.8760926682373573	8.348268151283264	0.2878713155614919	True	True	I know, but I'm hungry.	just	0.2878713155614919	8.348268151283264	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
6	7	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	chat	0.9	1.0	20260416	1931887884	50	50	200	26	26	Oh no, I'm so sorry to hear that! That must be incredibly frightening and upsetting. Are you safe? Is the police on their way?	oh no, i'm so sorry to hear that! that must be incredibly frightening and upsetting. are you safe? is the police on their way?	Oh no, I'm so sorry to hear that! That must be incredibly frightening and upsetting. Are you safe? Is the police on their way?\n\nCan you tell me what happened? Did you see the person who robbed you?	-14.776908278465273	-24.02154576778412	-0.422197379384722	-0.6863298790795462	35	35	-14.776908278465273	-24.02154576778412	-0.422197379384722	-0.6863298790795462	9.244637489318848	0.2641324996948242	True	True	What do you mean?	just	0.2641324996948242	9.244637489318848	1	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
7	8	just	discourse_particle	3	2798	just	h	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	0.2090342589	P	Um ... Uh ... I'm just looking, thanks.	nucleus	chat	0.9	1.0	20260416	637051153	50	50	200	36	35	You're welcome! Feel free to browse and see if anything catches your eye. If you have any questions or need any help, just let me know.	you're welcome! feel free to browse and see if anything catches your eye. if you have any questions or need any help, just let me know.	You're welcome! Feel free to browse and see if anything catches your eye. If you have any questions or need any help, just let me know.	-12.928017258644104	-22.291791915893555	-0.3591115905178917	-0.6192164421081543	36	36	-12.928017258644104	-22.291791915893555	-0.3591115905178917	-0.6192164421081543	9.36377465724945	0.2601048515902625	True	True	Need a gift for your girlfriend or wife?	just	0.2601048515902625	9.36377465724945	0	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm just looking, thanks.
Speaker 1: "	"Speaker 1: Hello, sir. Is there anything I can help you find?
Speaker 2: Um ... Uh ... I'm looking, thanks.
Speaker 1: "	Speaker 1
8	9	just	discourse_particle	5	4508	just	h	Mom, have we got any cookies?	Cookies? You just ate an hour ago.	Cookies? You ate an hour ago.	I know, but I'm hungry.	0.169335782	P	Cookies? You just ate an hour ago.	nucleus	chat	0.9	1.0	20260416	764121417	50	50	200	13	13	But... I had a small snack, and that was a loooong time ago! I'm still hungry, can't we have just one or two? Pleeease?	but... i had a small snack, and that was a loooong time ago! i'm still hungry, can't we have just one or two? pleeease?	But... I had a small snack, and that was a loooong time ago! I'm still hungry, can't we have just one or two? Pleeease?	-29.664347887039185	-39.99498581886292	-0.7235206801716875	-0.9754874589966565	41	41	-29.664347887039185	-39.99498581886292	-0.7235206801716875	-0.9754874589966565	10.33063793182373	0.251966778824969	True	True	I know, but I'm hungry.	just	0.251966778824969	10.33063793182373	0	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You just ate an hour ago.
Speaker 1: "	"Speaker 1: Mom, have we got any cookies?
Speaker 2: Cookies? You ate an hour ago.
Speaker 1: "	Speaker 1
9	10	just	discourse_particle	28	12662	just	h	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	P	Someone just robbed me.	nucleus	chat	0.9	1.0	20260416	1931887884	50	50	200	40	40	Oh no, I'm so sorry to hear that! That can be a really traumatic and scary experience. Are you safe now? Are the police on their way or have you already called them?	oh no, i'm so sorry to hear that! that can be a really traumatic and scary experience. are you safe now? are the police on their way or have you already called them?	Oh no, I'm so sorry to hear that! That can be a really traumatic and scary experience. Are you safe now? Are the police on their way or have you already called them?\n\nIn the meantime, I'm here to listen and support you if you need to talk about what happened. You're not alone	-17.992756247520447	-28.893909096717834	-0.4089262783527374	-0.6566797521981326	44	44	-17.992756247520447	-28.893909096717834	-0.4089262783527374	-0.6566797521981326	10.901152849197388	0.2477534738453951	True	True	What do you mean?	just	0.2477534738453951	10.901152849197388	1	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone just robbed me.
Speaker 1: "	"Speaker 1: Is everything all right?
Speaker 2: Not at all.
Speaker 1: What's the problem?
Speaker 2: Someone robbed me.
Speaker 1: "	Speaker 1
