source_row_index	id	particle	fold_id
0	1157	just	0
1	5467	just	0
3	2798	just	0
5	4508	just	0
6	638	just	0
8	6078	just	0
11	498	just	0
17	6323	just	0
19	9268	just	0
21	5758	just	0
24	5388	just	0
25	1001	just	0
27	6768	just	0
33	8011	just	0
34	3966	just	0
35	2438	just	0
36	3236	just	0
2	2485	just	1
4	1627	just	1
9	9954	just	1
10	5138	just	1
12	7769	just	1
13	12718	just	1
15	8890	just	1
16	10613	just	1
18	4012	just	1
20	788	just	1
22	7873	just	1
23	2141	just	1
28	12662	just	1
29	1461	just	1
30	10555	just	1
32	6675	just	1
38	2717	just	1
