left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers	hypergeom_q_value_bh
exclusive_just	only	pooled	attn	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	4	7		1.0
exclusive_just	only	pooled	attn	3	all	all	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	4,6,5	7,12,4	4	0.3510752688172043
exclusive_just	only	pooled	attn	5	all	all	5	1.0	1.0	5	5	32	0.78125	0.15625	0.0847457627118644	6.4	4.965835054822819e-06	4,6,5,7,12	7,12,4,6,5	4,5,6,7,12	2.9795010328936913e-05
exclusive_just	only	pooled	attn	10	all	all	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	4,6,5,7,12,9,1,10,11,3	7,12,4,6,5,3,9,10,13,8	3,4,5,6,7,9,10,12	0.0006582316782055624
exclusive_just	only	pooled	mlp	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	9		1.0
exclusive_just	only	pooled	mlp	3	all	all	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	6,4,7	9,6,15	6	0.3510752688172043
exclusive_just	only	pooled	mlp	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	6,4,7,3,9	9,6,15,5,7	6,7,9	0.036210869219767995
exclusive_just	only	pooled	mlp	10	all	all	6	0.6	0.42857142857142855	10	10	32	3.125	0.3125	0.18518518518518517	1.92	0.026840890968907606	6,4,7,3,9,1,5,10,12,11	9,6,15,5,7,4,3,19,16,26	3,4,5,6,7,9	0.046012955946698755
exclusive_just	only	pooled	resid	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	8	12		1.0
exclusive_just	only	pooled	resid	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	8,7,6	12,7,8	7,8	0.036210869219767995
exclusive_just	only	pooled	resid	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	8,7,6,9,10	12,7,8,10,11	7,8,10	0.036210869219767995
exclusive_just	only	pooled	resid	10	all	all	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	8,7,6,9,10,11,12,5,4,13	12,7,8,10,11,9,6,13,5,14	5,6,7,8,9,10,11,12,13	2.9795010328936913e-05
