id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-8.638204455375671	-16.592433094978333	-1.079775556921959	-2.3703475849969045	8	7	-12.782152891159058	-16.123098373413086	-0.9832425300891584	-1.2402383364163911	13	13	-149.24045741558075	-160.56431305408478	-1.8891197141212752	-2.058516834026728	79	78	True	1.2905720280749455	True
1467	not	May I help you, sir?__eou__Yes, please. I'm looking for a cotton polo shirt.__eou__Any particular colour?	Not really.	Really.	How about this one?	-6.619723081588745	-17.212618589401245	-0.8274653851985931	-2.4589455127716064	8	7	-3.388511180877685	-4.131359577178955	-0.3765012423197428	-0.4590399530198839	9	9	-83.87795948982239	-95.19612526893616	-1.4715431489442523	-1.69993080837386	57	56	True	1.6314801275730133	True
1746	not	Are we here yet?	Not quite yet.	Quite yet.	How far away is it?	-7.685788154602051	-17.17187213897705	-0.8539764616224501	-2.146484017372132	9	8	-8.766812801361084	-8.988288879394531	-0.8766812801361084	-0.8988288879394531	10	10	-58.50985193252564	-68.20325183868408	-2.0175811011215736	-2.4358304228101457	29	28	True	1.2925075557496817	True
2543	not	Are you being served, madam?	Not yet.	Yet.	Sit here please.How would you like your hair done?	-8.845077514648438	-16.936386108398438	-1.105634689331055	-2.4194837297712053	8	7	-41.48050594329834	-42.39337491989136	-2.5925316214561462	-2.64958593249321	16	16	-97.96804809570312	-106.9728226661682	-2.7213346693250866	-3.0563663618905204	36	35	True	1.3138490404401504	True
3246	not	Can we talk?__eou__What about?	I’m not too clear on some things about my lease.	I’m too clear on some things about my lease.	Is there a problem?	-39.22689485549927	-54.59286165237427	-2.179271936416626	-3.211344803080839	18	17	-8.610903978347778	-8.225981712341309	-0.9567671087053088	-0.9139979680379232	9	9	-91.36232686042786	-106.3318967819214	-2.0764165195551785	-2.4728348088818928	44	43	True	1.0320728666642132	True
3444	not	Why'd you run into me?__eou__I didn't mean to. It was an accident.__eou__You have completely damaged my car.	I did not. It looks perfectly fine.	I did. It looks perfectly fine.	You don't see what happened to my bumper?	-18.421576261520386	-31.570653200149536	-1.3158268758228846	-2.4285117846268878	14	13	-18.47477149963379	-18.924188256263733	-1.2316514333089192	-1.261612550417582	15	15	-123.43858087062836	-137.0145845413208	-1.738571561558146	-1.9573512077331543	71	70	True	1.1126849088040032	True
3506	not	I have to move.	You have not fulfilled your lease agreement yet.	You have fulfilled your lease agreement yet.	I can’t stay here anymore.	-33.6517219543457	-46.29747295379639	-2.403694425310408	-3.5613440733689528	14	13	-9.646792650222778	-10.100918292999268	-0.8038993875185648	-0.8417431910832723	12	12	-87.43505120277405	-100.52821683883668	-2.428751422299279	-2.872234766823905	36	35	True	1.1576496480585448	True
3583	not	Do you even know where this bus is supposed to go?__eou__It should take us all the way up to Altadena.__eou__Don't you know?	I'm not positive if it does or not.	I'm positive if it does or.	Is this the right bus, or not?	-21.046562671661377	-36.98760271072388	-1.315410166978836	-2.641971622194563	16	14	-17.99592089653015	-18.914271354675293	-1.3843016074253962	-1.454943950359638	13	13	-145.89912712574005	-162.7653615474701	-1.9716098260235144	-2.26063002149264	74	72	True	1.3265614552157268	True
3630	not	So, where is this bus supposed to take us?__eou__It should take us back up to Altadena.__eou__Well, don't you know for sure?	I'm not really sure if it does or not.	I'm really sure if it does or.	Are you sure we got on the right bus?	-16.64384627342224	-33.950273513793945	-0.9790497807895436	-2.263351567586263	17	15	-11.670952796936035	-13.729002475738524	-0.8336394854954311	-0.9806430339813232	14	14	-139.31313908100128	-158.64670145511627	-1.80926154650651	-2.115289352734884	77	75	True	1.2843017867967195	True
3697	not	Mr. Rogers?__eou__Mr. : Yes?	I'm not feeling too well.	I'm feeling too well.	Mr. : Would you like to go to the nurse's?	-14.393447875976562	-26.65907287597656	-1.1071882981520431	-2.2215894063313804	13	12	-18.666860103607178	-27.83826160430908	-1.0370477835337322	-1.5465700891282823	18	18	-103.2572054862976	-124.67323589324953	-2.065144109725952	-2.5443517529234594	50	49	True	1.1144011081793372	True
