id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-95.07161855697632	-98.6870231628418	-3.802864742279053	-4.111959298451741	25	24	-81.22286987304688	-76.21964263916016	-6.768572489420573	-6.35163688659668	12	12	-388.18089056015015	-386.80207443237305	-6.161601437462701	-6.238743136006017	63	62	True	False	0.30909455617268833	False
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-168.71193885803223	-172.02395057678223	-3.8343622467734595	-4.000556990157726	44	43	-138.72322344779968	-133.1263132095337	-3.468080586194992	-3.328157830238342	40	40	-735.5075932741165	-733.2266010046005	-4.596922457963228	-4.611488056632708	160	159	True	False	0.16619474338426654	False
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-72.6900634765625	-76.650146484375	-7.26900634765625	-8.516682942708334	10	9	-106.52349853515625	-103.52177429199219	-6.657718658447266	-6.470110893249512	16	16	-371.33978271484375	-372.2832489013672	-8.84142339797247	-9.08007924149676	42	41	True	False	1.2476765950520843	False
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-106.941162109375	-115.8955078125	-5.628482216282895	-6.438639322916667	19	18	-150.67468523979187	-143.43752598762512	-5.7951802015304565	-5.516827922600966	26	26	-441.6806437969208	-443.352664232254	-7.123881351563238	-7.268076462823837	62	61	True	False	0.8101571066337723	False
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-124.21127414703369	-122.43445491790771	-5.4004901803058125	-5.565202496268532	23	22	-219.73676776885986	-210.10768127441406	-3.9238708530153548	-3.7519228799002513	56	56	-688.3487243652344	-676.9638533592224	-5.175554318535597	-5.1285140406001695	133	132	True	False	0.16471231596271974	False
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-32.75555419921875	-38.80914306640625	-2.9777776544744317	-3.880914306640625	11	10	-62.95546913146973	-53.7717170715332	-5.246289094289144	-4.480976422627767	12	12	-413.308895111084	-410.17641258239746	-6.888481585184733	-6.95214258614233	60	59	True	False	0.9031366521661934	False
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-49.805785179138184	-56.46142578125	-3.831214244549091	-4.705118815104167	13	12	-57.07239627838135	-67.6107177734375	-4.756033023198445	-5.634226481119792	12	12	-311.446186542511	-328.6511344909668	-6.921026367611355	-7.469343965703791	45	44	True	False	0.8739045705550761	False
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-61.384429931640625	-70.42971801757812	-4.384602137974331	-5.417670616736779	14	13	-72.77573013305664	-76.44894599914551	-4.280925301944508	-4.496996823479147	17	17	-360.8843116760254	-373.59036445617676	-6.809137956151423	-7.184430085695707	53	52	True	False	1.0330684787624484	False
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-66.23564600944519	-64.15140533447266	-3.154078381402152	-3.207570266723633	21	20	-136.1254037618637	-134.58383643627167	-4.693979440064266	-4.640821946078334	29	29	-419.97014915943146	-416.3295010328293	-5.384232681531173	-5.406876636789991	78	77	True	False	0.05349188532148119	False
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-77.29312753677368	-82.95196533203125	-4.06805934404072	-4.60844251844618	19	18	-96.845458984375	-98.42144775390625	-5.380303276909722	-5.467858208550347	18	18	-366.5888328552246	-373.8275146484375	-6.788682089911567	-7.053349332989387	54	53	True	False	0.5403831744054601	False
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-76.77362203598022	-81.99894964694977	-4.040716949262117	-4.55549720260832	19	18	-65.0848388671875	-63.6729736328125	-4.067802429199219	-3.9795608520507812	16	16	-363.176860332489	-366.9665495157242	-5.340836181360133	-5.477112679339167	68	67	True	False	0.5147802533462036	False
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	-106.356201171875	-96.61871337890625	-5.597694798519737	-5.367706298828125	19	18	-102.65015411376953	-104.34927368164062	-6.038244359633502	-6.138192569508272	17	17	-513.057502746582	-505.0073547363281	-6.494398768944077	-6.474453265850361	79	78	True	False	-0.22998849969161217	False
