id,just sense,context,w_just,wo_just,Question_bad_w_just,Question_good_w_just,control,Notes,Meta-Llama-3-8B_Question_bad_w_just_just_lp,Meta-Llama-3-8B_Question_bad_w_just_wojust_lp,Q_bad_w_just_Llama3,Meta-Llama-3-8B_control_just_lp,Meta-Llama-3-8B_control_wojust_lp,Control_Llama3,wjust_Control_vs_bad_w_just_Llama3,OLMo-7B_Question_bad_w_just_just_lp,OLMo-7B_Question_bad_w_just_wojust_lp,Q_bad_w_just_OLMo,OLMo-7B_control_just_lp,OLMo-7B_control_wojust_lp,Control_OLMo,Meta-Llama-3-8B_Question_good_w_just_just_lp,Meta-Llama-3-8B_Question_good_w_just_wojust_lp,Meta-Llama-3-8B_normalized_J_given_B,Meta-Llama-3-8B_normalized_J*_given_B,Meta-Llama-3-8B_normalized_J_given_G,Meta-Llama-3-8B_normalized_J*_given_G
1,complement exclusion,,"Betsy's picky, she just eats chicken nuggets.","Betsy's picky, she eats chicken nuggets.",Does she eat other things?,Does she not like other foods?,Are chicken nuggets healthy?,,-2.501316309,-2.355927706,0.1453886032,-2.312656641,-2.336849213,-0.02419257164,0.188659668,-2.600929022,-2.60902667,-0.008097648621,-2.347160101,-2.346568584,0.0005915164948,-2.754653454,-2.923607111,0.4529744799,0.4952305214,0.3912652717,0.3573790883
2,complement exclusion,,"Despite claiming she went on an extravagant European trip, Sarah just went to Spain.","Despite claiming she went on an extravagant European trip, Sarah went to Spain.",Did she go anywhere else?,Had she been planning to go somewhere else?,Is Spain hot in the summer?,,-2.347841978,-2.48425889,-0.1364169121,-3.331217527,-3.574003458,-0.2427859306,-0.9833755493,-2.296944141,-2.620329142,-0.3233850002,-3.54866457,-3.613218546,-0.06455397606,-2.67800045,-2.716170311,0.7277774853,0.748333619,0.657735057,0.7022077379
3,complement exclusion,,"He won't want any, John just drinks distilled water.","He won't want any, John drinks distilled water.",Does he drink anything else?,Does he have some health issue that means he can't drink other things?,What is different about distilled water?,,-2.600293636,-2.529960871,0.07033276558,-2.793497324,-2.744679213,0.04881811142,-0.1932036877,-2.521188974,-2.523819208,-0.002630233765,-2.79766655,-2.864382029,-0.0667154789,-2.258444786,-2.366137266,0.548151234,0.5534742951,0.6306607633,0.5935213902
4,rank order,,Yvonne just thinks about becoming an astronaut.,Yvonne thinks about becoming an astronaut.,Will she try to become an astronaut?,Does she not have more realistic career plans too?,What do astronauts do?,focus on thinks,-2.644022226,-2.305533886,0.3384883404,-3.000802279,-2.042300224,0.9585020542,-0.3567800522,-2.363592863,-2.15101862,0.2125742435,-2.08997345,-1.81954813,0.2704253197,-3.808834791,-3.747308254,0.5882607528,0.4345689693,0.3083099138,0.1538123188
5,complement exclusion,,Ian just cares about playing tennis.,Ian cares about playing tennis.,Does he care about other things?,Does he not like other sports?,Is tennis a good way to stay active?,,-2.088494539,-2.283836126,-0.1953415871,-3.29778409,-2.927199841,0.3705842495,-1.209289551,-2.201510429,-2.24970746,-0.04819703102,-3.259147167,-2.939647913,0.3194992542,-3.186123371,-3.253779173,0.7701732191,0.6555134367,0.5278862117,0.4190731564
6,complement exclusion,,My mom just runs and skis.,My mom runs and skis.,Does she do other sports?,Can she not do other sports?,Is skiing good cardio?,,-2.819835901,-3.387671232,-0.567835331,-3.960655689,-3.929022551,0.03163313866,-1.140819788,-2.794295311,-3.146396637,-0.352101326,-3.89103651,-3.845304489,0.04573202133,-3.390902281,-3.761230707,0.7578301213,0.6321267129,0.6387062734,0.54184982
7,rank order,,The dog ate just two times today.,The dog ate two times today.,Did it eat more?,How many times does it usually eat in a day?,What kind of dog is your dog?,,-3.440518141,-3.469788074,-0.0292699337,-2.326346397,-2.248517752,0.07782864571,1.114171743,-3.596822023,-3.613822937,-0.01700091362,-2.407562017,-2.213358164,0.1942038536,-1.630342603,-1.727309108,0.2470939648,0.2277129748,0.6673011672,0.6274303443
8,complement exclusion,,"What is this, I just ordered a salad.","What is this, I ordered a salad.",Did you order anything else?,Did we bring you the wrong thing?,Are salads healthy?,,-2.560327291,-2.621762991,-0.06143569946,-3.621466637,-4.08114624,-0.4596796036,-1.061139345,-2.54209733,-2.556159735,-0.01406240463,-3.549285173,-3.719446898,-0.1701617241,-3.169333696,-3.12000823,0.7429082156,0.8114383262,0.6111462399,0.7233495958
9,complement exclusion,,Just Alice came to the party last night.,Alice came to the party last night.,Did anyone else come?,Why didn't anyone else come?,How was the party?,,-2.945076942,-2.795095921,0.1499810219,-2.499610662,-2.268284321,0.2313263416,0.44546628,-3.227427006,-3.260411024,-0.03298401833,-2.09736824,-2.004179478,0.09318876266,-2.711604595,-2.746463776,0.3904392377,0.3712608382,0.4471991143,0.3826821126
10,rank order,,Just five kids came to my niece's birthday party.,Five kids came to my niece's birthday party.,Were more expected to come?,Why did so few come?,How many nieces do you have?,,-3.265525103,-3.665191889,-0.3996667862,-2.842523098,-2.66703558,0.1754875183,0.4230020046,-4.471950054,-5.495094299,-1.023144245,-2.878294945,-2.752207041,0.126087904,-2.314686298,-2.966828108,0.3957986203,0.2693040674,0.6289784387,0.4256082023
