id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
569	just	May I help you?	I'm just browsing, thanks.	I'm browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	-67.89892578125	-77.2440185546875	-5.222994290865385	-6.437001546223958	13	12	-138.05396270751953	-128.16686248779297	-5.113109729908131	-4.746920832881221	27	27	-374.0648956298828	-373.51654052734375	-6.67973027910505	-6.791209827769887	56	55	True	False	1.214007255358573	True
638	just	Hello, do you have any vacancies?	Yes, something just opened up.	Yes, something opened up.	What kind of apartment is it?	-73.95199584960938	-78.04777145385742	-6.162666320800781	-7.095251950350675	12	11	-84.12640237808228	-80.64999806880951	-7.010533531506856	-6.720833172400792	12	12	-353.07902002334595	-353.7066959142685	-8.21114000054293	-8.421587997958774	43	42	True	False	0.9325856295498935	True
690	just	Hello, are you interested in this Honda?	Hi, I am just looking.	Hi, I am looking.	It's a good car.	-63.24169921875	-71.8172607421875	-5.2701416015625	-6.528841885653409	12	11	-76.21507000923157	-74.11924648284912	-6.351255834102631	-6.17660387357076	12	12	-347.45643639564514	-353.9265308380127	-7.896737190810117	-8.230849554372389	44	43	True	False	1.2587002840909092	True
728	just	Hello, can I help you?__eou__Yes, my engine warning light is on.__eou__How long has it been on for?	Just since today.	Since today.	You can still drive, without problems.	-59.02001953125	-61.184326171875	-6.557779947916667	-7.648040771484375	9	8	-101.658203125	-103.582763671875	-7.819861778846154	-7.967904897836538	13	13	-528.1703209877014	-532.1927056312561	-7.8831391192194245	-8.06352584289782	67	66	True	False	1.090260823567708	True
1052	just	It's time to get up!	I just went to bed!	I went to bed!	You shouldn't have stayed up so late watching TV. I told you we had to get an early start.	-50.64642333984375	-56.8017578125	-4.604220303622159	-5.68017578125	11	10	-109.71227502822876	-99.5983065366745	-3.918295536722456	-3.5570823763098036	28	28	-346.3158736228943	-342.3476265668869	-5.970963338325763	-6.00609871169977	58	57	True	False	1.0759554776278408	True
1267	just	Hi. Can I help you?	No, thanks. I’m just looking around.	No, thanks. I’m looking around.	Okay. Please let me know if you need any help.	-72.00079345703125	-80.09857177734375	-4.500049591064453	-5.33990478515625	16	15	-67.80989861488342	-64.88135862350464	-3.988817565581378	-3.816550507264979	17	17	-316.8731234073639	-322.06305265426636	-6.213198498183606	-6.441261053085327	51	50	True	False	0.8398551940917969	True
2533	just	Ahhs! I'm beat!__eou__What happened to you? You look like you got hit by a tornado!	I just got back from fighting the crowds.	I got back from fighting the crowds.	You mean at the mall? Was there a sale?	-87.439208984375	-91.26422119140625	-6.245657784598214	-7.02032470703125	14	13	-91.6545181274414	-92.40309143066406	-5.728407382965088	-5.775193214416504	16	16	-414.35698318481445	-419.0172576904297	-6.474327862262726	-6.651067582387773	64	63	True	False	0.7746669224330356	True
2640	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife ...	-84.72866821289062	-98.68167114257812	-4.984039306640625	-6.167604446411133	17	16	-105.68994140625	-103.84375	-7.549281529017857	-7.417410714285714	14	14	-380.3403401374817	-392.4471516609192	-6.915278911590576	-7.2675398455725775	55	54	True	False	1.1835651397705078	True
2659	just	Besides, yours don't have side pockets like mine.__eou__Cool! They're big! What have you got in there?	Just the necessities	The necessities	Are you planning a trip to the Outback?	-73.6279296875	-71.666015625	-9.2034912109375	-10.238002232142858	8	7	-96.97660827636719	-97.82611083984375	-6.926900591169085	-6.987579345703125	14	14	-431.43644762039185	-430.3103642463684	-7.3124821630574885	-7.419144211144283	59	58	True	False	1.0345110212053577	True
2762	just	Hi, can I help you?	No, thanks. I'm just looking.	No, thanks. I'm looking.	All right. If you need any help, just let me know. My name is Greg.	-71.400390625	-80.9168701171875	-4.760026041666666	-5.779776436941964	15	14	-94.9653776884079	-89.1324200630188	-3.956890737016996	-3.7138508359591165	24	24	-340.4048537015915	-344.06399965286255	-5.972014977220903	-6.143999993801117	57	56	True	False	1.019750395275298	True
2795	just	Ahhs! I'm beat!__eou__What happened to you? You look like you got hit by a tornado!	I just got back from fighting the crowds.	I got back from fighting the crowds.	You mean at the mall? Was there a sale?	-87.439208984375	-91.26422119140625	-6.245657784598214	-7.02032470703125	14	13	-91.6545181274414	-92.40309143066406	-5.728407382965088	-5.775193214416504	16	16	-414.35698318481445	-419.0172576904297	-6.474327862262726	-6.651067582387773	64	63	True	False	0.7746669224330356	True
2798	just	Hello, sir. Is there anything I can help you find?	Um ... Uh ... I'm just looking, thanks.	Um ... Uh ... I'm looking, thanks.	Need a gift for your girlfriend or wife?	-84.72866821289062	-98.68167114257812	-4.984039306640625	-6.167604446411133	17	16	-90.3853759765625	-88.9769287109375	-6.456098284040179	-6.355494907924107	14	14	-365.0357747077942	-377.5803303718567	-6.637014085596258	-6.992228340219568	55	54	True	False	1.1835651397705078	True
