generation_rank	just_response	wo_just_response
generation_0	Then he started to play tennis with his friends. He wanted to play basketball. He started to play basketball and now he plays basketball and tennis. He likes playing tennis and basketball. He wants to be a good player. He would like to play basketball	I think he likes to play tennis because he is good at it. He likes to play games with others. He likes to play in a team. He doesn't like to play alone. He is a good player. He wants to be the best
He is a good player. He plays tennis every day. When he is free, he often plays tennis with his friends. He has lots of friends. They all like tennis. Some of them are good at playing tennis. Some of them are not	generation_1	He doesn't care about anything else. He doesn't care about studying, he doesn't care about his family, and he doesn't care about his friends. He only cares about playing tennis every day. He gets up early in the morning and plays
"He doesn't care about anything. He's just a jerk."" ""I don't know. I think he's ok. I mean, he's a jerk, but he's an interesting jerk. He makes me laugh."" ""He makes me want"	"Is that relevant to the question?
Student B: That's a good point. But the question is asking about how many hours Alex practiced, not about Ian's tennis matches.
Student A: Oh, I see. So, the answer is 3"	generation_2
generation_3	He is good at it. He wants to be the best tennis player in his school. He practices  his tennis every day. He plays tennis with his friends on weekends. He watches tennis on TV. He reads magazines about tennis. He has lots	He is not interested in going to the cinema. He usually plays tennis on Sunday. He plays very well. Question: Does Ian like reading? Options: A: Yes, he does. B: Yes, he is. C: No, he
"B. Ian is a good tennis player.  C. Ian's tennis skills are improving.  D. Ian's opponent was tired.  === The correct answer is
C

I have been married twice. My wedding experiences were both very"	generation_4	He's not really interested in what he's doing. He's not curious about anything. He doesn't care about things. He's like a robot. He's not interested in other people. He's not interested in animals. He's not interested
generation_5	"C) Ian is very healthy. D) Ian has a good friend.
Answer: D"	"The question is about the number of tennis balls, not the number of holes in the ball.
Student B: Yes, we should focus on the tennis balls. He has 4 balls, each with 10 holes, and each hole has 3"
"He cares about his health, and he cares about winning. He wants to be the best player in the world. He wants to win the Grand Slam. ""If you have a dream, go for it. If you don't try, you'll"	generation_6	He doesn't care about anything else. He never cares about his lessons. He just wants to have a good time. Options: A His father is a teacher. B He likes playing football. C He likes playing tennis. D He likes reading.
It's all he thinks about. He spends all his time practising. He doesn't have any friends and he never wants to do anything except tennis. He doesn't want to go to the cinema or a concert with me. He says he has	He wants to know how many people he can serve before he makes 2 mistakes.  He serves 15 people before making 1 mistake.  He then serves 9 more people without making any mistakes.  After that, he serves	generation_7
He has no interest in anything else. He had to take a course on World Civilization. He just took the tests and never read any of the books. He got a C in the course. He plays tennis 4 nights a week and is on	I think he will be a world-class player in the future. He is really strong and fast. I want to learn from him. He is a good friend of mine. We often play tennis together. I hope I can become as good as him	generation_8
generation_9	He likes playing with his friends. He plays twice a week. His favourite player is Roger Federer. He has watched Roger Federer in many matches. He thinks Roger Federer is cool. He has got some pictures of him. He also has	He wants to play as many games as he can and win as many games as he can. He is confident that his tennis skills are better than everyone else and he is afraid of losing to someone who is not as good as he is. He should
"He doesn’t care about the score. He just wants to play. He’s just enjoying the experience.

This is a great example of the difference between intrinsic and extrinsic motivation. When you’re intrinsically motivated, you are motivated by the experience"	He is a very good tennis player. He likes watching tennis on TV. He doesn't like swimming at all. He also likes playing basketball. He thinks it is fun. But he doesn't like swimming at all. He likes playing tennis with his	generation_10
"I don't even think that he knows what color his eyes are.
OPTIONS:
- yes
- it is not possible to tell
- no

Answer: no

Question: yeah yeah well i don't know i guess they're just they're"	He wants to win the national tennis championship. He thinks it is his last chance to be famous before he is too old. Ian is a student at a high school. He is 18 years old now, and he is in the school tennis team	generation_11
generation_12	He plays tennis every day. He has lots of tennis balls. He has red balls, blue balls and green balls. He has ten balls in all. After school he often plays tennis with his friends. He has a new tennis racket .It is	"His parents are his biggest fans. They take him to every tennis match. It doesn't matter if it is hot or cold, or if it is raining or snowing outside.
His parents have bought the best tennis rackets and balls for him."
"He likes to play with his friends. He wants to play with his friend, Liz. But she can't play tennis. She can't even stand  . ""Don't worry,"" said Tony, ""I can help you."" A few weeks later"	generation_13	He does not care about his grades or his future. He is enjoying the freedom of youth. Ian wants to enjoy himself. He thinks about the future only when his mother asks him about it. When she sees him playing tennis, she encourages him to
"He plays every day.

Student 2: Yes, that's correct. We should just stick to the information given in the problem.

Student 1: Alright, let's move on to the next problem.

Student 2: Sure, but remember"	generation_14	"I guess he likes it a lot.

Sentence 2: Ian really enjoys playing tennis.
OPTIONS:
- yes
- it is not possible to tell
- no
Is this second sentence entailed by the first?

Answer: yes


Premise"
