generation_rank	just_response	wo_just_response
generation_0	She wants to travel into space. She also thinks about the famous astronauts Neil Armstrong, Michael Collins and Edwin Aldrin. They were the first men to land on the Moon. Yvonne thinks about what they did. She thinks about her dream.	She considers going to the International Space Station.  Question: suppose more grapes to crush, more grapes to crush happens, how will it affect less grapes to crush, more grapes to crush.  - A: more - B: less - C:
"She would love to travel in space.

Vocabulary        Comprehension        Cloze        Dictation


Copyright © 2016. All rights reserved."	generation_1	She thought it was exciting to travel into space. But her mother thinks it's too dangerous for a girl to work as an astronaut. Options: A a teacher B a babysitter C a doctor D a nurse Answer: B a babysitter Question:
"She is now a trainee with a group called 'British Space in the Classroom'. They go to schools across the country to tell pupils about life in space. She said, ""I just wanted to say to the kids, 'This is what I"	"She dreams about travelling to the moon and Mars. She also wants to work on a space station far away from the earth. Today she can realize   her dream. She is very happy. Question: ""That's it, I've got it."""	generation_2
generation_3	Her dream is to go to the moon. She does very well in science and math. She also does very well in swimming and running. She can run a mile in less than six minutes! She can hold her breath underwater for three minutes. She	"She has a very bright future. Question: After reading the passage, we can know that   _  . Yes or no, is the answer ""Yvonne is a brave girl.""?
Ans: No"
generation_4	"She is going to make her dream come true. She wants to travel in space one day. ""I'm going to be the first woman to walk on Mars!"" Yvonne said. ""One small step for a woman, another giant  step"	"She wonders if she could possibly travel to other planets. What would happen if Yvonne really got the chance to travel to the moon? What would she find there?

    • How do animals live on Earth?
    • What do they eat?"
She has a very good reason to do that. She wants to be the first woman to walk on Mars. But she does not have a chance to be a candidate for the first Mars mission. She is 23 years old, but she is too	generation_5	She loves to watch the sky and the stars. So she hopes to be an astronaut and travel to other planets in the future. She also thinks that she can make a difference and help to make the world better. Here are some of Yvonne
"She's seen the Earth from above. She admires those brave men and women who have been in space. ""They are the real heroes."" She says. ""They are very brave to go into space. It must be very dangerous."" Yv"	generation_6	"She tells the others that she found a way to get into space. She has written to the president, and he has invited her to the White House to talk about it.
Yvonne tells the president that she has designed a spaceship that can go"
"She wants to travel in space very much. She said, ""I would like to be an astronaut because it's a great job. I would work very hard. It's my dream, so I would like to be an astronaut."" When she grows"	She is inspired by Sally Ride, who was the first American woman in space. Like Sally Ride, who studied physics and studied and played tennis, Yvonne wants to do well in both. She knows that astronauts have to be smart to learn the	generation_7
She is very interested in science and technology. She often reads books about them. She hopes to go to the moon in the future. She is now 12 years old. She is very good at her lessons at school. She is hardworking and	"She wants to visit the moon very much. ""I think it's interesting. I would like to see our beautiful Earth. And I want to try a space suit, too,"" she says. ""I will study very hard and I believe I can"	generation_8
generation_9	She is studying hard and is preparing to pass the exam. When she grows up, she will go to other stars to explore. She is now very quiet and is not the most popular student in class. But she has a lot of friends, and	Yvonne thinks about going to the moon. Yvonne thinks about going to Venus. Yvonne thinks about going to Mars. Yvonne thinks about going to Jupiter. She thinks about Pluto, but she does not want to go to
"Do you have a dream job?
    If so, what would you need to do to get it?
  7. Who do you think would make a good astronaut?
  8. Why do you think Yvonne wanted to be an"	She likes space, because she thinks it is beautiful. And she likes planets and stars. She wants to be  an astronaut because she wants to travel in space. She also likes talking to different people. Yvonne thinks it's exciting that she	generation_10
"She thinks it's a really cool job. ""I'd like to be an astronaut. It's difficult, but I think I can do it. I'll try my best,"" she says. ""I love observing the stars. I hope to learn"	She would like to travel to the moon. She knows that she needs to be in good shape to become an astronaut. She decides to start training right away. She wants to run 5 miles each day. How many miles will she run in	generation_11
generation_12	She thinks that would be exciting. She thinks it would also have a good salary. She is interested in space and would like to travel in it. She would also like to do research in space. She is working on her grades now so that she	"She is not afraid of anything. When she was 3 years old, she went swimming with her parents in the sea. Suddenly, she said, ""I'm going to be an astronaut."" Her parents laughed, ""Okay, when you are an"
She wants to be an astronaut  because she likes anything about outer space. She loves watching the stars and at night she looks for UFOs. In her free time, she likes playing space games. Last year, she dreamed about becoming a soccer player	generation_13	She thinks it is a very interesting job. She wants to be a tourist astronaut. She wants to visit the moon. Of course, she must be tall. She is 150 centimeters now. But she is growing at a rate  of
generation_14	She studies very hard. Today she is in New York. She is staying with her aunt and uncle, Paul and Kate Moon. Paul is an astronaut. He is going on a space trip next year. He will go to the Moon again. He	Because this is what she has always dreamed of. She is very sorry when her parents tell her that they cannot afford to pay for a university course in astronomy. She has to look for a job, but she cannot find one in her town. So
"What does she want to be when she grows up? A) A singer. B) An astronaut. C) A teacher. D) A doctor.
B


Q: Can you imagine a classroom without one thing that has long been considered a necessary"	This is one of her dreams. She also thinks about becoming an actress. She has a talent for singing and playing the piano. Then, Yvonne thinks about becoming a doctor. She wants to take care of people. Her father is a doctor	generation_15
"She says, ""I want to be an astronaut because I want to be someone in life. When I watch the shuttle take off, I feel proud to be an American. Whatever I do, I will make my dream come true.""  Miss Sh"	generation_16	"She is always looking up at the stars and dreams about traveling into space. But she is worried about one thing: her height. She is only 129 centimeters tall. ""How can I become an astronaut if I am so short?"" she thinks"
generation_17	"Question: What is the first name of the person who is saved by the chief? Option1: Jean-Baptiste. Option2: Marie-Antoinette.
A: Jean-Baptiste."	"She is now studying space science. She wants to be an astronaut some day. ""I love stars and planets.""said Yvonne.""I will learn more about them in the future."" Yvonne's friend,Vivien loves observing animals."
"Question: Which of the following is TRUE about Yvonne? - She is a college student now. - She is from Canada. - She wants to be an actress. - She got a scholarship.
She is from Canada.
------
Read the following"	"Why, in her opinion, is it important to go into space?
What can you find on the Moon?
What is the International Space Station used for?
What is the difference between a planet and a satellite?
Why do we need to explore space?"	generation_18
