generation_rank	just_response	wo_just_response
generation_0	"My friend is the only one who plays basketball. And no one in my family likes skateboarding."" ""Oh, just wait for a while,"" said my father. ""Your uncle, my brother, is coming next Friday. He's a black belt"	The bike is mine. My mother is a teacher. Her friend is a driver. Her father is an English teacher. Her father's friend is a doctor. I have no friend. ' 'No, I am not. I am 11.
I always wanted to learn but my mom said it's a dangerous sport. I told her that I'll hurt myself. But I didn't listen to her and I learned to snowboard. I'm really happy that I did it. Now I'm	I'm a member of the skiing club at school, but I've never been tobogganing. I think skiing is good fun. I enjoy going down the mountain on a chair lift, and then skiing down. I usually go skiing with my parents	generation_1
I'm the one who's got a snowboard. I'm the one who's got the gear. I'm the one who's got the helmet, the boots, the jacket, the snow pants, the goggles and gloves. I'm the one	"My 2 sisters and 2 brothers aren't interested.
Answer: snowboarding
Explanation: 'snowboarding' is mentioned in the passage.
Part 3. Exercise
Passage: I was really bored yesterday . So , I decided to"	generation_2
generation_3	"My grandparents don't use a computer. They only read and watch TV."" ""Well, my dad likes to play badminton. Mum plays tennis. My sister and I play tennis and volleyball. We all like swimming."" ""What a happy family"	"- It's I who snowboards.  - It's me who snowboards.  - It's I who snowboards. 
Student: It's I who snowboards."
generation_4	My friends like playing baseball. They often buy new baseball caps or T-shirts with different pictures on them. They love baseball caps so much that they even buy them when they travel.  You can see caps everywhere in their homes. But it's different	"I'm not a skier. I'm a snowboarder. I don't ski. I'm a snowboarder. You're going to ski? No I'm going to snowboard. I don't ski."" And at that time it"
generation_5	"Ouch, I'm so out of shape.  I wish I could get in shape.  :-(""

Describe the sentiment embodied by this tweet.
OPT:
a). negative.
b). positive.
I think the answer is
a)."	I've been snowboarding since I was 8 years old. I'm happy that I can make a living out of my passion. I love my job. I'm proud to be a professional snowboarder. It's my job to train,
It's me who snowboards.  It's me who snowboards.  It's me who snowboards.  It's me who snowboards.  It's me who snowboards.  It's me who snowboards.  It	The rest of my family play ice hockey. I go snowboarding because it's fun, and it's a good way to keep fit. I first went when I was about 10 years old. At first I found it very difficult, but after	generation_6
I've always loved it. When I was a kid I would watch my brother and his friends and I wanted to get involved. I started on the dry land slopes, when we were kids we didn't actually have snow. I'd watch my brother	"I'm the one who does all the snowboarding"". However, there are some exceptions to this rule, where the -do form is used to emphasise a subject, rather than indicating an action. In these cases, the -do form is used"	generation_7
"I'm the one who likes to go down the mountain. I'm also the one who likes to snowboard with my friends."" ""Well, I'm the one who likes to hug my friends. I'm the one who likes making new friends."	We've had a really good run with the school and the teachers, but it's just me that snowboards, and I've got my own personal instructor. For me, it's just been really nice to be able to do it. It's	generation_8
generation_9	"We have a lot of fun."" ""I'm a fan of football. I play football with my father and my friends every week. I also watch many football matches on TV. Beckham is my idol."" ""I like running. It's good exercise"	I have a girlfriend but she doesn't. I'm not in a relationship. So I don't really ski. So that's why I'm snowboarding.' Does he ever feel guilty? 'No, not really. I was at that stage with
I'm good at it. I'm wearing a blue jacket and a red cap. Look, blue trousers and black boots, too. This is my friend, Jack. He is on the hill. He has got a red jacket and a blue cap	And that's my biggest passion. I like to play ice hockey. I like to play football. I like to play basketball. I like to play rugby. I just like to play sports. I like to be active. And I do that through	generation_10
"I guess I'm the only fool out there."" He adds, ""It's like being a surfer in the winter. I never get bored and I can always improve. It's a challenge. And it's just so cool.""
Snowboarding's"	I'm on my way to my classes. I'll be home at 6:30.  M: See you then, dear.  Question: How old is the boy?   - 12.  - 8.  -	generation_11
generation_12	I'm the girl who loves to jump off mountains. I'm the one who likes to ride with the wind in my hair. I'm the one who goes down a mountain on a piece of wood with metal edges. I'm the one who slides	I don't like people to watch me do it.'  'I love people to watch me do it.  I want people to look at me.'  'No.  I don't want people to look at me.'  'Yes
