generation_rank	just_response	wo_just_response
generation_0	"Yes, seriously. It fell from a 9th floor window in the new Whitney Museum of American Art.

The museum has been the subject of much criticism, including the cost of the building, the cost of the architect, and the cost of the"	No one was injured except for a woman, who broke her leg when she was hit by the falling piano. It happened at 10:30 in the morning. The piano was from a 10th-floor apartment six blocks away. The woman had
It was a rather large piano, in fact, and when it hit the road it landed upside down, and the people who found it playing it and taking it to the police station to be identified. Police are now looking for the person who dropped the	generation_1	"Several people were injured, and two were seriously hurt. That was just one of many incidents that made the past week one of the worst in recent memory.

If you’re having trouble remembering the last week, you’re not alone.

From the time of"
A 1920s Steinway grand that had fallen from the 12th floor of a building, the piano missed a passerby by a few feet. It was being transported by truck when it fell from the truck and plunged to the ground.	In front of me, a woman with a camera raised it to her face. Around us, people gaped and pointed. The piano seemed to be the only one in New York not accompanied by a Steinway logo. I wondered how much it could	generation_2
"The piano, which was attached to a parachute, was dropped from a helicopter after being raised from the bottom of the East River, where it had been left behind by a previous owner, who had fallen overboard in 1937.

The stunt was"	generation_3	"Well, okay, it was catapulted from a helicopter, but with a net from the television show Mythbusters in tow to catch it.

So why did this happen? To promote the season premiere of Saturday Night Live, which happens to be hosted by"
generation_4	"The instrument landed on the sidewalk, but no one was injured. A truck carrying the piano had lost control and a driver said that it was the piano that fell off.

A piano in a truck that is driving down the street is not the same as"	It was a piano. It was actually a piano. No, I’m not being sarcastic. It was an actual piano. It was also a very, very big piano, about 800 pounds. It fell from the sixth floor of a building
generation_5	"The piano, which landed on the sidewalk next to a parked car, was wrapped in a tarpaulin and was about 15 feet long. The police were called and the piano was taken away by a crane. ""It's definitely a crazy"	Well, it was the roof of a building on Fifth Avenue, but the piano was on the roof, which then fell onto the street.  I think it’s a great story that should be better known, but it doesn’t seem
It fell, and it fell and fell and fell… But it was a “fall” full of music. It was a “fall” full of beauty. It was a “fall” full of wonder. It was a “fall” full of	generation_6	"The piano, a Steinway, was one of 50 pianos that fell during the world premiere of ""Playing for Change: Peace Through Music,"" an event that was held at the World Financial Center. The event was meant to highlight the work of"
"I don't know how, but it did. The story was everywhere.

The piano appeared to be a Steinway Model B. It was a black upright, 30 inches high, 72 inches long and 15 inches deep. In the middle"	A man playing a piano at a concert in Central Park was singing the Carpenters’ “Close to You” when the piano suddenly went airborne, flew through the air and landed on the street. The man’s singing was interrupted, but fortunately,	generation_7
"It was a piano, according to witnesses, “about the size of a truck,” with “a note written on the side in red marker that said: THIS IS A TEST.”

The event occurred at 3:20 p.m. on Wednesday,"	generation_8	The 400-pound instrument crashed through the roof of a church, completely damaging the sanctuary. The bizarre, and potentially dangerous, event was caught on camera by a security camera, but it left the owner of the piano and his church completely bewildered.
generation_9	It was a grand piano, too, not one of those small uprights, and it fell right in front of the New York Philharmonic building, where the New York City Ballet was rehearsing in preparation for next week's Fall gala.	"A huge piano. It crashed into the street and smashed a hole in the sidewalk. Luckily, no one was hurt, but the piano -- which was six feet long and weighed 500 pounds -- was completely destroyed.


The piano, a Steinway D"
