transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	1	12
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	3	12,6,7
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	5	12,6,7,13,3
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	10	12,6,7,13,3,5,4,11,9,1
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	1	7
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	3	7,6,3
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	5	7,6,3,5,12
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	10	7,6,3,5,12,4,13,9,11,2
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	1	6
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	3	6,15,7
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	5	6,15,7,16,14
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	10	6,15,7,16,14,3,8,18,20,24
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	1	6
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	3	6,9,7
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	5	6,9,7,15,3
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	10	6,9,7,15,3,14,4,18,16,23
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	1	8
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	3	8,7,9
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	5	8,7,9,12,11
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	10	8,7,9,12,11,6,10,13,5,14
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	1	8
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	3	8,7,9
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	5	8,7,9,11,10
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	10	8,7,9,11,10,6,12,13,5,14
