particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	site_set_type	effect_score_mean	effect_score_ci_low	effect_score_ci_high	run_label	run_label_pretty	run_dir
not	attn	utterance_final	prompt_without	generated	necessity	1	localized	0.0018591631348451			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	1	random_mean	0.0006669233258996			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	3	localized	0.0083706054862487			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	3	random_mean	0.001200925888739			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	5	localized	0.0139255040668496			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	5	random_mean	0.0016546031255472			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	10	localized	0.0297384121899863			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	necessity	10	random_mean	0.0016210991475986			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	1	localized	0.0012839555623733			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	1	random_mean	-8.64223942146279e-05			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	3	localized	0.0031744025775997			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	3	random_mean	-0.0001930561371023			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	5	localized	0.0060306071420562			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	5	random_mean	4.578384947834051e-05			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	10	localized	0.0142046221146721			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	necessity	10	random_mean	0.0002592047280207			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	1	localized	0.0085962603328252			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	1	random_mean	0.003308668243484			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	3	localized	0.0270721251694449			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	3	random_mean	0.0035928620854399			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	5	localized	0.0445270503451546			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	5	random_mean	0.0052511869142263			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	10	localized	0.0589000414913065			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	generated	sufficiency	10	random_mean	0.0081815403080694			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	1	localized	0.0069025721838556			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	1	random_mean	0.0026560272907976			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	3	localized	0.0159768389705723			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	3	random_mean	0.0034442715148272			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	5	localized	0.0273366956274449			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	5	random_mean	0.0052516354152347			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	10	localized	0.038279404300326			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	attn	utterance_final	prompt_without	gold	sufficiency	10	random_mean	0.0057225603046047			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	1	localized	0.0015072702021445			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	1	random_mean	0.0003873768254552			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	3	localized	0.0041412020792974			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	3	random_mean	0.001400190205358			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	5	localized	0.0067237380587304			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	5	random_mean	0.0025120955989045			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	10	localized	0.0089181460901138			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	generated	necessity	10	random_mean	0.0048321171166761			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	gold	necessity	1	localized	0.000766794015538			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	mlp	utterance_final	prompt_without	gold	necessity	1	random_mean	-3.353687361852741e-05			utterance_final	Utterance Final	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
