id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
6974	only	Ahh ... What a fine day! I do feel like an outdoor exercise.__eou__How about taking a walk in the park?__eou__OK.It' s delightful to have a walk in the park with the air so fresh.	Oh, it's so quiet here.We have the park to ourselves, only you and me!	Oh, it's so quiet here.We have the park to ourselves, you and me!	Don't you see many people over there? Just on your left.	-46.396507263183594	-43.65331268310547	-1.7844810485839844	-1.7461325073242187	26	25	-37.4033203125	-37.578365325927734	-1.9685958059210527	-1.9778087013646175	19	19	-239.11218643188477	-236.54403686523438	-2.3214775381736383	-2.3190591849532782	103	102	True	-0.03834854125976572	False
6994	only	It’s very kind of you to invite me to dinner.__eou__Please sit down and make yourself at home. Please don’t stand on ceremony.__eou__This dish is really delicious.	I’m glad that you like it. This is only the first time that I made it.	I’m glad that you like it. This is the first time that I made it.	You’re great. Could you say it in Chinese?	-31.901338577270508	-20.483064651489258	-1.2760535430908204	-0.8534610271453857	25	24	-30.905192375183105	-30.570733070373535	-1.931574523448944	-1.910670816898346	16	16	-153.01768231391907	-141.25408482551575	-1.6632356773252073	-1.5522426903902828	92	91	True	-0.4225925159454347	False
7005	only	What's that book you have under your arm?__eou__It's the best seller everyone's been talking about for the last six months.__eou__How in the world did you get a copy? I've put a hold on it at the public library for weeks and I'm still waiting my turn.	I checked it out of the rental library. It only costs five cents a day.	I checked it out of the rental library. It costs five cents a day.	Is it really worth paying for?	-31.086364269256592	-31.081725597381592	-1.4130165576934814	-1.4800821713038854	22	21	-14.663447856903076	-14.096773624420166	-1.333040714263916	-1.2815248749472878	11	11	-180.743736743927	-180.1744990348816	-1.6431248794902455	-1.6529770553658862	110	109	True	0.06706561361040397	False
7017	only	Excuse me. Have you got the time?__eou__My watch says half past five.__eou__Does your watch keep good time?	Oh yeah. It loses only a few seconds in the whole month.	Oh yeah. It loses a few seconds in the whole month.	Thanks a lot.	-30.7233304977417	-31.63757610321045	-1.6170173946179842	-1.757643116845025	19	18	-6.982110977172852	-6.873283386230469	-0.8727638721466064	-0.8591604232788086	8	8	-112.34983968734741	-113.13853406906128	-1.728459072113037	-1.7677895948290825	65	64	True	0.14062572222704084	False
7040	only	What do you think of smoking?	It’s harmful not only for yourself but for others.	It’s harmful not for yourself but for others.	What in your opinion can be done to stop smoking?	-22.497007369995117	-25.114866256713867	-1.3233533747055952	-1.5696791410446167	17	16	-17.53984832763672	-17.787275314331055	-1.1693232218424479	-1.185818354288737	15	15	-92.5459041595459	-95.39214706420898	-2.103316003626043	-2.2184220247490463	44	43	True	0.24632576633902148	False
7052	only	Hello, Jill.__eou__Tom, You're back, come in please.How are you?	Fine, only a little tired.	Fine, a little tired.	You'll recover after a good night's sleep.	-14.716540336608887	-12.434069633483887	-1.226378361384074	-1.1303699666803533	12	11	-16.804382801055908	-17.255202770233154	-1.0502739250659943	-1.0784501731395721	16	16	-125.70487546920776	-123.86565637588501	-2.2053486924422416	-2.2118867209979465	57	56	True	-0.09600839470372069	False
7074	only	Do you take a bus to and from work?	Yeah, everyday. And there’s only one choice. All the other buses are going the other direction.	Yeah, everyday. And there’s one choice. All the other buses are going the other direction.	Hmm. I have the same problem. When I leave work, it’s always rush hour. So the buses are always crowded.	-52.57600975036621	-56.51265525817871	-1.9472596203839336	-2.1735636637761044	27	26	-44.55079364776611	-45.00666522979736	-1.4371223757343907	-1.4518279106386247	31	31	-149.7312994003296	-154.10904598236084	-2.0511136904154736	-2.1404034164216785	73	72	True	0.2263040433921708	False
7082	only	So Chris, I've heard that you're from a big family. How many people?__eou__Nine total. Seven children and my parents.__eou__Seven children? That's a lot. Why did your parents have so many?	Well, my mother came from a big family, and wanted to have one of her own. My father was an only child, and didn't really care about having a large family, but my mother talked him into it.	Well, my mother came from a big family, and wanted to have one of her own. My father was an child, and didn't really care about having a large family, but my mother talked him into it.	Jeez, seven children. That must have a lot of problems. We have four children in my family and my grandparents can never get our names right.	-55.917137145996094	-74.32438504695892	-1.0964144538430607	-1.4864877009391784	51	50	-86.612957239151	-85.52000713348389	-2.4746559211186	-2.443428775242397	35	35	-253.66753232479095	-270.9645276069641	-1.7256294715972174	-1.8559214219655076	147	146	True	0.3900732470961177	False
7167	only	Either we'll be millionaires, or we won't ... won't have a dime.__eou__And it's all coming down to the next three weeks.	The only person who seems confident the software will be done on time is Zina.	The person who seems confident the software will be done on time is Zina.	Yeah, she is some kind of Superwoman, isn't she?	-60.59295177459717	-71.92272472381592	-2.754225080663508	-3.4248916535150435	22	21	-28.837393522262573	-32.09642148017883	-1.5177575538032932	-1.6892853410620439	19	19	-206.5121030807495	-221.09913396835327	-2.4584774176279702	-2.6638449875705215	84	83	True	0.6706665728515357	True
7176	only	OK. Steven, you're looking at a picture. Please describe what you see!__eou__Uh, I can see a red double decker bus. It's the kind of bus you'll see very often in London. In fact I know this bus is from London because I can see the names, Chelsea, Sloan Square, Victoria, Herring Cross. These are all areas in London. Um, so obviously the bus is in London.__eou__OK. Have you ever been on a double decker bus?	Yeah, yeah, yeah. many times. Many times. When I was younger, you used to get double-decker all over England but now you only tend to see them in the big cities.	Yeah, yeah, yeah. many times. Many times. When I was younger, you used to get double-decker all over England but now you tend to see them in the big cities.	Oh, really. Mm! How much is the fare?	-80.09542274475098	-82.46092796325684	-1.7798982832166883	-1.874111999164928	45	44	-32.275386810302734	-32.45911884307861	-2.017211675643921	-2.0286949276924133	16	16	-376.6406726837158	-379.1864004135132	-2.1400038220665674	-2.166779430934361	176	175	True	0.09421371594823968	False
