id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
3	not	[NO CONTEXT]	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-22.80908203125	-22.22998046875	1.2420570279617433e-10	2.216369420937768e-10	-0.5791015625	0.5604016262939672	False
5	not	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-95.96843719482422	-93.7159652709961	2.09622207136604e-42	1.9937624693677115e-41	-2.252471923828125	0.10513900745813626	False
7	not	[NO CONTEXT]	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-52.286865234375	-52.15966796875	1.9593090870457416e-23	2.2250717674084396e-23	-0.127197265625	0.8805599512539616	False
15	not	[NO CONTEXT]	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-60.42845153808594	-65.01998901367188	5.7050170547764535e-27	5.783324458414308e-29	4.5915374755859375	98.64597941545675	False
35	not	[NO CONTEXT]	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-135.92620849609375	-137.8268280029297	9.289614758406836e-60	1.3885743547055555e-60	1.9006195068359375	6.690037682841033	False
36	not	[NO CONTEXT]	I guess I've done the same thing last time I was here with her, too. I mean falling asleep. For me, this one is not that attractive.	I guess I've done the same thing last time I was here with her, too. I mean falling asleep. For me, this one is that attractive.	Then I doubt if you like operas at all.	-49.99139404296875	-50.709320068359375	1.9454202156261298e-22	9.489036414221753e-23	0.717926025390625	2.05017678371475	False
47	not	[NO CONTEXT]	It's not easy to find. Anyway, you can come to my home after school today and try.	It's easy to find. Anyway, you can come to my home after school today and try.	Great!	-14.11376953125	-14.01806640625	7.421091284206948e-07	8.166408733316937e-07	-0.095703125	0.9087337563610701	False
48	not	[NO CONTEXT]	I borrowed it from Mike yesterday. Why not have a try?	I borrowed it from Mike yesterday. Why have a try?	That's neat!	-22.44775390625	-21.09521484375	1.7826428737853526e-10	6.893893957967896e-10	-1.3525390625	0.2585828683548274	False
71	not	[NO CONTEXT]	No, it is not.	No, it is.	Oh, I'm sorry.	-15.712158203125	-15.58740234375	1.5007086769426935e-07	1.7001105990459887e-07	-0.124755859375	0.8827123822325507	False
78	not	[NO CONTEXT]	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?	-42.1519775390625	-41.719146728515625	4.938883175588855e-19	7.613858231768715e-19	-0.432830810546875	0.6486702306829717	False
