id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-19.07421875	-18.787109375	5.202020391463553e-09	6.932056080751882e-09	-0.287109375	0.7504296461057076	True
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-79.935546875	-80.06995010375977	1.925010418228006e-35	1.6829162489743033e-35	0.13440322875976562	1.143853961479814	True
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-45.9947509765625	-46.880859375	1.0586038140121067e-20	4.36416806045762e-21	0.8861083984375	2.4256715125244352	True
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-60.64154052734375	-61.969482421875	4.610134275060201e-27	1.2217876693275964e-27	1.32794189453125	3.773269603872628	True
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-117.21629524230957	-115.46117973327637	1.2405371860793958e-51	7.175410764538009e-51	-1.7551155090332031	0.17288727109677438	True
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-14.292724609375	-14.832275390625	6.205096941017729e-07	3.617634142316554e-07	0.53955078125	1.7152361728442478	True
78	not	Hello, is John in?	No, he's not. May I take a message?	No, he's. May I take a message?	Yes, would you leave him a message to call me?	-41.966217041015625	-40.3963623046875	5.947076331107798e-19	2.8581351571516195e-18	-1.569854736328125	0.20807540595926813	True
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-23.633056640625	-26.7265625	5.4487127183581247e-11	2.4705940206808108e-12	3.093505859375	22.054261739274533	True
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-39.05902099609375	-40.339630126953125	1.088636052619986e-17	3.0249711278948854e-18	1.280609130859375	3.5988312172010093	True
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-67.055908203125	-66.3380126953125	7.55073256247484e-30	1.547986418445184e-29	-0.7178955078125	0.48777770092187794	True
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-43.54547119140625	-42.27923583984375	1.2258636003352424e-19	4.348717295605626e-19	-1.2662353515625	0.28189084665815733	True
193	not	Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	-26.7410888671875	-26.759033203125	2.434964673779069e-12	2.3916605435916236e-12	0.0179443359375	1.0181063028795942	True
