source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	1	1	100 times.	100 times.	100 times.\nSpeaker 3: Hey, hey, hey, hey, hey, stop, stop. That's enough. Let's take five.\nSpeaker 1: I'm not doing anything wrong.\nSpeaker 3: You're irritating customers. You're driving people away.\nSpeaker 1: I'm just doing	-13.513671875	-13.4609375	-4.504557291666667	-4.486979166666667	3	3	-13.513671875	-13.4609375	-4.504557291666667	-4.486979166666667	-0.052734375	-0.017578125	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	2	2	Ah, here's the album cover. [DOG BARKING] [SOUND EFFECTS OF PAINTINGS, MUSICAL NOTES] [SIGHS]	ah, here's the album cover. [dog barking] [sound effects of paintings, musical notes] [sighs]	 Ah, here's the album cover. [DOG BARKING] [SOUND EFFECTS OF PAINTINGS, MUSICAL NOTES] [SIGHS]\nSpeaker 1:  Yes. This looks promising. [DOG BARKING] [DOOR OPENS]\nSpeaker 2: Hi, uh,	-81.35623168945312	-81.7384033203125	-2.465340354225852	-2.476921312736742	33	33	-81.35623168945312	-81.7384033203125	-2.465340354225852	-2.476921312736742	0.382171630859375	0.0115809585108901	True	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	3	3	41.	41.	41.\nSpeaker 2: Hey, there's no way I'm paying 600 dollars for this diamond ring.\nSpeaker 1: I'm sorry, sir, but that's the price.\nSpeaker 2: Well, that's ridiculous. This isn't even a real diamond.\nSpeaker 1: It may not	-10.646484375	-9.986328125	-5.3232421875	-4.9931640625	2	2	-10.646484375	-9.986328125	-5.3232421875	-4.9931640625	-0.66015625	-0.330078125	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	4	4	Is there something I can help you with?	is there something i can help you with?	 Is there something I can help you with?\nSpeaker 3: Yes, I am looking for a book on how to take care of cats.\nSpeaker 4: There are books in that section over there.\nSpeaker 3: Do you have any recommendations?\nSpeaker 4: I've read a lot of books,	-8.790969848632812	-8.919340133666992	-0.976774427625868	-0.9910377926296658	9	9	-8.790969848632812	-8.919340133666992	-0.976774427625868	-0.9910377926296658	0.1283702850341797	0.0142633650037977	True	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	5	5	26%!	26%!	26%!\nSpeaker 2: 26%?\nSpeaker 1: Yes, we are currently processing 26% of our orders.\nSpeaker 2: Really?\nSpeaker 1: Yes, that's what I'm telling you.\nSpeaker 2: Do you know how long it's going to take?\nSpeaker	-18.359375	-17.56640625	-9.1796875	-8.783203125	2	2	-18.359375	-17.56640625	-9.1796875	-8.783203125	-0.79296875	-0.396484375	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	6	6	2.36	2.36	2.36\nSpeaker 2: Is there something you can help me with?\nSpeaker 1: Yes. I'm also just browsing, thank you.\nSpeaker 2: 1.32\nSpeaker 3: Is there something I can help you with?\nSpeaker 4: Yes, do you have any	-12.884765625	-12.6484375	-4.294921875	-4.216145833333333	3	3	-12.884765625	-12.6484375	-4.294921875	-4.216145833333333	-0.236328125	-0.0787760416666669	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	7	7	You're very welcome.	you're very welcome.	 You're very welcome.\nSpeaker 1:  We do have a clearance section that has some great items.  \nSpeaker 2:  I don't need anything, thanks anyway.\nSpeaker 1:  Would you like to hear about our layaway program?\nSpeaker 2:  No, I'm just here	-7.802955627441406	-7.873878479003906	-1.5605911254882812	-1.5747756958007812	5	5	-7.802955627441406	-7.873878479003906	-1.5605911254882812	-1.5747756958007812	0.0709228515625	0.0141845703125	True	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	8	8	6700 miles in standard time and 7100 miles in to standard time for Calgary and 8300 miles in standard time and 7300 miles in standard time for Vancouver.	6700 miles in standard time and 7100 miles in to standard time for calgary and 8300 miles in standard time and 7300 miles in standard time for vancouver.	6700 miles in standard time and 7100 miles in to standard time for Calgary and 8300 miles in standard time and 7300 miles in standard time for Vancouver.\nSpeaker 2: This has been really helpful. I'll be sure to use these numbers in my calculations.\nSpeaker 1: You're	-78.72173309326172	-78.82713317871094	-2.1867148081461587	-2.189642588297526	36	36	-78.72173309326172	-78.82713317871094	-2.1867148081461587	-2.189642588297526	0.1054000854492187	0.0029277801513671	True	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	9	9	12 dolls for the same price. They can't be discounted.	12 dolls for the same price. they can't be discounted.	12 dolls for the same price. They can't be discounted.\nSpeaker 2: I thought they were. I just noticed how many they had.\nSpeaker 1: Oh. Do you want to pay with cash or credit card?\nSpeaker 2: Credit card please.\nSpeaker 1: I'll just scan your	-39.27728271484375	-39.2149658203125	-3.0213294396033654	-3.016535832331731	13	13	-39.27728271484375	-39.2149658203125	-3.0213294396033654	-3.016535832331731	-0.06231689453125	-0.0047936072716345	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	10	10	Oh, wait, can I ask you a question?	oh, wait, can i ask you a question?	 Oh, wait, can I ask you a question?\nSpeaker 2:  Yes, I guess so.\nSpeaker 1:  Which color do you think matches my outfit better, blue or red?\nSpeaker 2:  Either one is fine.  They both match your outfit well.\n	-18.29974365234375	-18.97344970703125	-1.6636130593039773	-1.724859064275568	11	11	-18.29974365234375	-18.97344970703125	-1.6636130593039773	-1.724859064275568	0.6737060546875	0.0612460049715908	True	True
