particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_prompt_boundary_position	corrupted_prompt_boundary_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
not	0	2	25	resid	0	prompt_boundary	0	prompt_without	32	31	-1.97978515625	-2.501953125	-2.5	0.001953125	0.003740415186085655	0.003740415186085655
not	0	3	71	resid	0	prompt_boundary	0	prompt_without	41	40	-3.1438802083333335	-3.445556640625	-3.4449869791666665	0.0005696614583334814	0.001888319395738285	0.001888319395738285
not	0	4	6	resid	0	prompt_boundary	0	prompt_without	28	27	-1.3645655314127605	-2.0095316569010415	-2.0092569986979165	0.000274658203125	0.00042584903651655503	0.00042584903651655503
not	0	7	114	resid	0	prompt_boundary	0	prompt_without	67	66	-1.5747281588040865	-1.8126138540414662	-1.8119518573467548	0.0006619966947114531	0.0027828352354304624	0.0027828352354304624
not	0	2	25	resid	1	prompt_boundary	0	prompt_without	32	31	-1.97978515625	-2.501953125	-2.496484375	0.005468749999999911	0.010473162521039664	0.010473162521039664
not	0	3	71	resid	1	prompt_boundary	0	prompt_without	41	40	-3.1438802083333335	-3.445556640625	-3.4417317708333335	0.0038248697916665186	0.012678715942810413	0.012678715942810413
not	0	4	6	resid	1	prompt_boundary	0	prompt_without	28	27	-1.3645655314127605	-2.0095316569010415	-2.012303670247396	-0.0027720133463544627	-0.004297920831510134	0.0
not	0	7	114	resid	1	prompt_boundary	0	prompt_without	67	66	-1.5747281588040865	-1.8126138540414662	-1.8133263221153846	-0.0007124680739183376	-0.002995001751607572	0.0
not	0	2	25	resid	2	prompt_boundary	0	prompt_without	32	31	-1.97978515625	-2.501953125	-2.500390625	0.0015624999999999112	0.002992332148868354	0.002992332148868354
not	0	3	71	resid	2	prompt_boundary	0	prompt_without	41	40	-3.1438802083333335	-3.445556640625	-3.4404296875	0.005126953125	0.016994874561640148	0.016994874561640148
not	0	4	6	resid	2	prompt_boundary	0	prompt_without	28	27	-1.3645655314127605	-2.0095316569010415	-2.0147552490234375	-0.005223592122395981	-0.0080990177870836	0.0
not	0	7	114	resid	2	prompt_boundary	0	prompt_without	67	66	-1.5747281588040865	-1.8126138540414662	-1.8126842792217548	-7.042518028854694e-05	-0.00029604630164193577	0.0
not	0	2	25	resid	3	prompt_boundary	0	prompt_without	32	31	-1.97978515625	-2.501953125	-2.49462890625	0.00732421875	0.014026556947821208	0.014026556947821208
not	0	3	71	resid	3	prompt_boundary	0	prompt_without	41	40	-3.1438802083333335	-3.445556640625	-3.4474283854166665	-0.0018717447916665186	-0.006204478014566548	0.0
not	0	4	6	resid	3	prompt_boundary	0	prompt_without	28	27	-1.3645655314127605	-2.0095316569010415	-2.016571044921875	-0.007039388020833481	-0.010914353084054158	0.0
not	0	7	114	resid	3	prompt_boundary	0	prompt_without	67	66	-1.5747281588040865	-1.8126138540414662	-1.8135211651141827	-0.0009073110727164657	-0.0038140631861494833	0.0
