particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_prompt_boundary_position	corrupted_prompt_boundary_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	0	8	resid	0	prompt_boundary	0	prompt_without	32	31	-1.1037764115767046	-1.6567826704545454	-1.6557339754971592	0.0010486949573862425	0.0018963527818188753	0.0018963527818188753
just	0	2	4	resid	0	prompt_boundary	0	prompt_without	35	34	-1.8861083984375	-2.538704427083333	-2.5380859375	0.0006184895833332149	0.000947737277250383	0.000947737277250383
just	0	4	55	resid	0	prompt_boundary	0	prompt_without	42	41	-1.77109375	-1.9275390625	-1.92890625	-0.0013671875000000888	-0.008739076154807058	0.0
just	0	8	68	resid	0	prompt_boundary	0	prompt_without	32	31	-1.94195556640625	-2.0865478515625	-2.08709716796875	-0.00054931640625	-0.003799071338117349	0.0
just	0	0	8	resid	1	prompt_boundary	0	prompt_without	32	31	-1.1037764115767046	-1.6567826704545454	-1.6542802290482954	0.00250244140625	0.004525159283600061	0.004525159283600061
just	0	2	4	resid	1	prompt_boundary	0	prompt_without	35	34	-1.8861083984375	-2.538704427083333	-2.539933268229167	-0.001228841145833659	-0.0018830043271693836	0.0
just	0	4	55	resid	1	prompt_boundary	0	prompt_without	42	41	-1.77109375	-1.9275390625	-1.9248046875	0.0027343749999999556	0.017478152309612693	0.017478152309612693
just	0	8	68	resid	1	prompt_boundary	0	prompt_without	32	31	-1.94195556640625	-2.0865478515625	-2.087646484375	-0.0010986328125	-0.007598142676234698	0.0
just	0	0	8	resid	2	prompt_boundary	0	prompt_without	32	31	-1.1037764115767046	-1.6567826704545454	-1.6538252397017046	0.0029574307528408283	0.005347915516981744	0.005347915516981744
just	0	2	4	resid	2	prompt_boundary	0	prompt_without	35	34	-1.8861083984375	-2.538704427083333	-2.5399983723958335	-0.0012939453125002665	-0.001982766145827247	0.0
