transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	1	6
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	3	6,7,12
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	5	6,7,12,3,10
nonexclusive_just_to_only	nonexclusive_just	only	0	attn	10	6,7,12,3,10,5,9,4,13,2
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	1	6
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	3	6,7,3
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	5	6,7,3,5,4
nonexclusive_just_to_only	nonexclusive_just	only	1	attn	10	6,7,3,5,4,10,11,12,9,21
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	1	7
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	3	7,4,6
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	5	7,4,6,3,10
nonexclusive_just_to_only	nonexclusive_just	only	0	mlp	10	7,4,6,3,10,14,9,2,12,8
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	1	7
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	3	7,6,5
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	5	7,6,5,12,9
nonexclusive_just_to_only	nonexclusive_just	only	1	mlp	10	7,6,5,12,9,14,26,0,3,22
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	1	8
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	3	8,10,9
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	5	8,10,9,7,6
nonexclusive_just_to_only	nonexclusive_just	only	0	resid	10	8,10,9,7,6,11,12,5,13,4
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	1	7
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	3	7,6,8
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	5	7,6,8,12,11
nonexclusive_just_to_only	nonexclusive_just	only	1	resid	10	7,6,8,12,11,10,9,5,13,4
