pool_row_index	pool_rank	source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	followup	particle	selection_score_per_token	selection_score_raw	fold_id	prompt_with	prompt_without	next_speaker
0	1	expanded_data	discourse_particle	101	only_3385	only	h	Are you going to eat anything with your sandwich?__eou__I may get some fruit.__eou__Oh really, what kind of fruit do you like?	I tend to only eat grapes and apples.	I tend to eat grapes and apples.	What kind of apples do you prefer?		P	I tend to only eat grapes and apples.	nucleus	base	0.9	1.0	20260416	1859154271	50	50	200	30	30	"Did you say  ""only eat""?"	"did you say ""only eat""?"	" Did you say  ""only eat""?\nSpeaker 2: Well yes I only eat grapes and apples when I am eating lunch or breakfast.\nSpeaker 1: Do you eat other fruit or vegetables?\nSpeaker 2:  I do eat vegetables, I prefer baked potatoes, but I find if I"	-31.0198974609375	-39.7467041015625	-3.4466552734375	-4.416300455729167	9	9	-31.0198974609375	-39.7467041015625	-3.4466552734375	-4.416300455729167	8.726806640625	0.969645182291667	True	True	What kind of apples do you prefer?	only	0.969645182291667	8.726806640625	0	"Speaker 1: Are you going to eat anything with your sandwich?
Speaker 2: I may get some fruit.
Speaker 1: Oh really, what kind of fruit do you like?
Speaker 2: I tend to only eat grapes and apples.
Speaker 1: "	"Speaker 1: Are you going to eat anything with your sandwich?
Speaker 2: I may get some fruit.
Speaker 1: Oh really, what kind of fruit do you like?
Speaker 2: I tend to eat grapes and apples.
Speaker 1: "	Speaker 1
1	2	expanded_data	discourse_particle	99	only_3332	only	h	I'm so hungry! Can you buy me a burrito?__eou__I don't have any money to buy you a burrito.__eou__Please? I haven't eaten anything all day.	Look, I only have money to buy myself a burrito.	Look, I have money to buy myself a burrito.	I'm so hungry, I could eat a whole cow!		P	Look, I only have money to buy myself a burrito.	nucleus	base	0.9	1.0	20260416	1927734464	50	50	200	30	30	Let's go and beg for burritos.	let's go and beg for burritos.	" Let's go and beg for burritos.\nSpeaker 2: Where are we going to beg for burritos?\nSpeaker 1: There's a restaurant called Chipotle nearby.\nSpeaker 2: What about the song, ""Bow, Oh, Bow, Bow?"""	-21.802703857421875	-30.08935546875	-2.4225226508246527	-3.34326171875	9	9	-21.802703857421875	-30.08935546875	-2.4225226508246527	-3.34326171875	8.286651611328125	0.9207390679253472	True	True	I'm so hungry, I could eat a whole cow!	only	0.9207390679253472	8.286651611328125	0	"Speaker 1: I'm so hungry! Can you buy me a burrito?
Speaker 2: I don't have any money to buy you a burrito.
Speaker 1: Please? I haven't eaten anything all day.
Speaker 2: Look, I only have money to buy myself a burrito.
Speaker 1: "	"Speaker 1: I'm so hungry! Can you buy me a burrito?
Speaker 2: I don't have any money to buy you a burrito.
Speaker 1: Please? I haven't eaten anything all day.
Speaker 2: Look, I have money to buy myself a burrito.
Speaker 1: "	Speaker 1
2	3	expanded_data	discourse_particle	70	only_1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	base	0.9	1.0	20260416	132238744	50	50	200	33	31	We’ll have to go elsewhere.	we’ll have to go elsewhere.	 We’ll have to go elsewhere.\nSpeaker 1: Do you have any sprouts?\nSpeaker 2: No, not today. You can try another restaurant across the street.\nSpeaker 1:  We’ll have to go elsewhere.\nAt first glance, the conversations sound the same, but there are some	-15.17041015625	-19.646484375	-2.167201450892857	-2.806640625	7	7	-15.17041015625	-19.646484375	-2.167201450892857	-2.806640625	4.47607421875	0.6394391741071428	True	True	Then could I have four orders, please?	only	0.6394391741071428	4.47607421875	1	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
3	4	expanded_data	discourse_particle	70	only_1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	base	0.9	1.0	20260416	132238744	50	50	200	17	17	0:00Is that it?	0:00is that it?	0:00Is that it?\nSpeaker 2: That's it. So today we have spring rolls and more spring rolls, because we have a large order, but we will have chicken curry tomorrow. Do you want to order for tomorrow?\nSpeaker 1: Sounds great. I'll take two spring rolls and chicken	-13.756591796875	-18.140625	-1.965227399553572	-2.591517857142857	7	7	-13.756591796875	-18.140625	-1.965227399553572	-2.591517857142857	4.384033203125	0.6262904575892858	True	True	Then could I have four orders, please?	only	0.6262904575892858	4.384033203125	1	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
4	5	expanded_data	discourse_particle	107	only_3484	only	h	Did you ever get a parking ticket?	Only a few.	A few.	What's a few?		P	Only a few.	nucleus	base	0.9	1.0	20260416	777438343	50	50	200	46	46	[laughs] Only a few, huh?	[laughs] only a few, huh?	 [laughs] Only a few, huh?\nSpeaker 2: I got one this week.\nSpeaker 1: What kind of ticket was it?\nSpeaker 2: Oh, I just went to a stop sign and a guy zoomed around me. He took my place. I got a ticket for blocking the	-15.501754760742188	-21.039596557617188	-1.7224171956380208	-2.337732950846354	9	9	-15.501754760742188	-21.039596557617188	-1.7224171956380208	-2.337732950846354	5.537841796875	0.6153157552083333	True	True	What's a few?	only	0.6153157552083333	5.537841796875	1	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: Only a few.
Speaker 1: "	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: A few.
Speaker 1: "	Speaker 1
5	6	expanded_data	discourse_particle	101	only_3385	only	h	Are you going to eat anything with your sandwich?__eou__I may get some fruit.__eou__Oh really, what kind of fruit do you like?	I tend to only eat grapes and apples.	I tend to eat grapes and apples.	What kind of apples do you prefer?		P	I tend to only eat grapes and apples.	nucleus	base	0.9	1.0	20260416	1859154271	50	50	200	35	35	That’s not very many.	that’s not very many.	 That’s not very many.\nSpeaker 2: That’s true.\nSpeaker 1: I’m always on the lookout for new fruit.\nSpeaker 2: Most people have their favorites.\nSpeaker 1: But I think that I like every fruit.\nSpeaker 2: You’re one of the few.\nSpeaker	-12.0322265625	-15.44921875	-2.00537109375	-2.5748697916666665	6	6	-12.0322265625	-15.44921875	-2.00537109375	-2.5748697916666665	3.4169921875	0.5694986979166665	True	True	What kind of apples do you prefer?	only	0.5694986979166665	3.4169921875	0	"Speaker 1: Are you going to eat anything with your sandwich?
Speaker 2: I may get some fruit.
Speaker 1: Oh really, what kind of fruit do you like?
Speaker 2: I tend to only eat grapes and apples.
Speaker 1: "	"Speaker 1: Are you going to eat anything with your sandwich?
Speaker 2: I may get some fruit.
Speaker 1: Oh really, what kind of fruit do you like?
Speaker 2: I tend to eat grapes and apples.
Speaker 1: "	Speaker 1
6	7	expanded_data	discourse_particle	107	only_3484	only	h	Did you ever get a parking ticket?	Only a few.	A few.	What's a few?		P	Only a few.	nucleus	base	0.9	1.0	20260416	777438343	50	50	200	15	15	14?	14?	14?\nSpeaker 2: How many are you?\nSpeaker 1: 15\nSpeaker 2: 15.\nSpeaker 1: 14.\nSpeaker 2: 14.\nSpeaker 1: 15, 14, 15.\nSpeaker 2: 15.\nSpeaker 1: And	-7.95703125	-9.044921875	-3.978515625	-4.5224609375	2	2	-7.95703125	-9.044921875	-3.978515625	-4.5224609375	1.087890625	0.5439453125	True	True	What's a few?	only	0.5439453125	1.087890625	1	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: Only a few.
Speaker 1: "	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: A few.
Speaker 1: "	Speaker 1
7	8	expanded_data	discourse_particle	70	only_1038	only	h	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?		P	We only have spring rolls today for take-out.	nucleus	base	0.9	1.0	20260416	132238744	50	50	200	6	6	今天你卖什么?	今天你卖什么?	今天你卖什么?\nSpeaker 2: 今天我只能卖春卷。\nToday, we are talking about 14 words in the sound system of Mandarin. Which are: 居住人 fang wu ren, 居住建筑物 fang wu jian zhu wu, 居	-24.390625	-26.919921875	-4.878125	-5.383984375	5	5	-24.390625	-26.919921875	-4.878125	-5.383984375	2.529296875	0.505859375	True	True	Then could I have four orders, please?	only	0.505859375	2.529296875	1	"Speaker 1: Can I order take-out here?
Speaker 2: We only have spring rolls today for take-out.
Speaker 1: "	"Speaker 1: Can I order take-out here?
Speaker 2: We have spring rolls today for take-out.
Speaker 1: "	Speaker 1
8	9	expanded_data	discourse_particle	100	only_3340	only	h	I need a snack from the cafeteria.__eou__What are you thinking of getting?	I only want some chips.	I want some chips.	I think I may get something too.		P	I only want some chips.	nucleus	base	0.9	1.0	20260416	66920717	50	50	200	46	46	0:00 What’s wrong with getting a whole meal?	0:00 what’s wrong with getting a whole meal?	0:00 What’s wrong with getting a whole meal?\nSpeaker 1: I’m in a diet, you know.\nSpeaker 2: I can’t say it’s because I only got 500 in the vending machine.\nSpeaker 1: Oh, man, I really need something salty now.\nSpeaker 2	-23.70623779296875	-29.433746337890625	-1.9755198160807288	-2.4528121948242188	12	12	-23.70623779296875	-29.433746337890625	-1.9755198160807288	-2.4528121948242188	5.727508544921875	0.4772923787434895	True	True	I think I may get something too.	only	0.4772923787434895	5.727508544921875	1	"Speaker 1: I need a snack from the cafeteria.
Speaker 2: What are you thinking of getting?
Speaker 1: I only want some chips.
Speaker 2: "	"Speaker 1: I need a snack from the cafeteria.
Speaker 2: What are you thinking of getting?
Speaker 1: I want some chips.
Speaker 2: "	Speaker 2
9	10	expanded_data	discourse_particle	107	only_3484	only	h	Did you ever get a parking ticket?	Only a few.	A few.	What's a few?		P	Only a few.	nucleus	base	0.9	1.0	20260416	777438343	50	50	200	20	20	6?	6?	6?\nSpeaker 2: Yes, I paid 45$.\nSpeaker 1: Well, how many would you have to pay in order to park at the mall for free?\nSpeaker 2: Well, let’s think about it, I have paid 45$ and I have six tickets. That’s an	-7.541015625	-8.470703125	-3.7705078125	-4.2353515625	2	2	-7.541015625	-8.470703125	-3.7705078125	-4.2353515625	0.9296875	0.46484375	True	True	What's a few?	only	0.46484375	0.9296875	1	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: Only a few.
Speaker 1: "	"Speaker 1: Did you ever get a parking ticket?
Speaker 2: A few.
Speaker 1: "	Speaker 1
