generation_rank	just_response	wo_just_response
generation_0	She's also a bit of a brat, but she's only 6. She's a bit spoiled because her parents let her go anywhere and buy whatever she wants, even though she can't afford it herself. So I got her a $	Betsy's picky, she eats chicken nuggets. Betsy's picky, she eats chicken nuggets. Betsy's picky, she eats chicken nuggets. Betsy's picky, she eats chicken nuggets. Betsy
generation_1	It's either chicken nuggets or nothing.  It's been a long time since I've eaten at KFC, but they were ok.  I'll agree with some of the other reviewers that the chicken might have been a little dry,	"And she always wants to eat chicken nuggets.""

As for the rest of the meal, Betsy said it's a lot easier to find a place that can accommodate her needs than it used to be.

""There's a lot more awareness in the public"
generation_2	"I wonder what she'd say if she knew what was really in those nuggets.

The food industry is not innocent in this whole thing. For too long they've been able to hide behind the label ""natural"" even though it's not exactly true"	"I know that's not healthy but she loves them. I told her I'd make them if she would eat her vegetables. She wouldn't eat any of them. I gave her the nuggets anyway. 
Original Ending: I told her she should"
generation_3	"I swear I'll never take her to a restaurant again.
بواسطة Betsy's Pickiest Eater مايو 6, 2007

رسائل يومية مجانية"	"Betsy's always been picky. 

Betsy is picky about her food. 

Betsy is a picky eater. 

Betsy's always been picky. 

Betsy was always a picky"
generation_4	"I figured I'd try this on her and she loves them. They also make a great snack on the go! I've even used them to make ""fishsticks"" for her since she doesn't eat the real thing. I've bought them a"	She does not like peanut butter and jelly sandwiches and she's picky about her foods. I make what she likes. We eat a lot of chicken nuggets and grilled cheese sandwiches. We're about to switch to a new school, so it's
generation_5	I never go to a place that only serves one thing and does it really well.  So when I go to a place that only serves chicken, I expect the chicken to be good.  It's just not.  The chicken was dry	"But she also likes pancakes. And she loves to dance. And she loves Jesus. She's our daughter, and we love her.

She's going to be 3 next month.

I think that's the best part of the day, her smile"
generation_6	"She doesn't like to eat vegetables much.""

It's not that she doesn't eat vegetables, she's just picky.

""Is it OK if I send her to college with some of her favorite foods?""

It's not that she doesn't"	Which I don't blame her for. But she did have a banana for breakfast (which is all I've been able to get her to eat for breakfast ever since we stopped buying juice). So I'm going to say that counts as a fruit.
generation_7	She won't eat anything else, not even macaroni, cheese or rice. I've been to the pediatrician and there's nothing wrong with her, she just won't eat anything else. She's 18 months old and she's not	"Right?
Student 2: Yes, that's correct. And she gets 2 pieces of chicken nuggets in each meal.
Student 1: Got it. And how many meals does she eat in a day?
Student 2: She eats"
generation_8	And she's not into chicken nuggets.  I think she just doesn't like to eat.  The only place she eats is Sonic.  That's just sad.  It's not like I don't try and feed her.	
generation_9	"I don't know why she's so picky. I ask her if she wants some other foods, but she says, ""No, I'm fine."" I think she's not getting enough nutrients. I'm going to take her to a doctor"	She eats chicken and fish. She eats bread, but not all bread. She eats crackers and cereal. Betsy won't eat vegetables, fruits, or meat. Betsy likes to eat junk food. She eats chips, candy, and soda.
generation_10	You know, I mean, it's just like, what's the point?  And by the way, if you are going to do, you know, a chicken nugget option, it would be really nice if you could put a sauce	But not just any nuggets, she's very particular. She likes the ones that are shaped like dinosaurs and that have the right amount of cheese. The problem is, she's already eaten 4 dinosaur nuggets and 3 nuggets with cheese
generation_11	I told her to give it a try and she fell in love with it!  I'm really disappointed that there are not more reviews for this place yet.  We were recommended by our friends (who are Asians) to try this place out.	"She doesn't want anything else.""

Betsy, however, was not picky. She was happy to eat anything her mother put in front of her, as long as she could finish the whole bowl.

When her mom placed a bowl of chicken nug"
generation_12	"So, we went to our local ""fast food"" place and got a 10 piece chicken nugget box.  I ordered the strawberry smoothie and Betsy ordered a medium drink.  The total came to $15."	I love chicken nuggets, but I try to vary the food that I eat.  So I don't want to be eating chicken nuggets every day, but Betsy does.  So I was able to get the exact
generation_13	It's just easier that way.  If we go out to eat, she'll get the chicken fingers with no sides.  If we're at home, I make the chicken nuggets.  Sometimes I'll make chicken	"And she likes bacon. And she likes eggs.

So I said, ""You know, I'm going to show you a little something. This is my friend, and he's going to help you out. And I want you to just listen to"
generation_14	I'm so proud of her. She's such a good eater. I don't know what I would do without her. She's such a good little girl. I mean, she's so good at everything. I don't know what I would	"But how many of us are really picky? Or how many of us are really picky when it comes to kids? We take our kids to restaurants and they are too ""picky,"" so we just order them a simple meal."
generation_15	I'm a vegetarian. But she, she's very picky and like, she'll eat like one thing a day. So, now she's like, I'm eating three things a day, which is a total win. But I don't	"That's not really a good thing,"" said her mother, Betsy Brown. ""I don't like her eating chicken nuggets. I try to give her different things, but she won't eat them. She won't eat vegetables, barely eats"
generation_16	So I recommend the other places in town.  Also, they didn't have any ice cream.  I know it's the off season, but it's still 80 degrees outside, and when you have a 5 year old kid,	"I can't believe she won't eat them. She's so picky.""

The question is, is picky really the word you want to use here? Does it really get your point across? Or is there a better word for it? Let"
generation_17	I think she must have been a vegetarian in a past life.  I don't know what it is about kids and chicken nuggets.  I guess I just don't like to feed my kid processed crap, but it's all she will	"Not chicken. Chicken nuggets. She can't eat the chicken because it's white meat, and she doesn't like white meat. And she doesn't like dark meat. So that leaves us with chicken nuggets.""

From the time that Betsy"
generation_18	"And she's too picky because she'll eat the same thing for three days and won't eat anything else. And I'm like, ""Betsy, how come you won't eat the other stuff?"" ""Oh, I don't know,"	I'm the kind of guy that likes to try anything. So I got a good perspective on what was good and what was bad. And I figured out what was good and what was bad. And then I decided to share it with other people.
generation_19	And I'm like,  No, you can't just eat chicken nuggets for the rest of your life.  So we tried to get her to just eat one more food, and if she didn't like it, she was allowed to	"I eat chicken nuggets. And so if I'm cooking dinner, I'm like, ""I'll make chicken nuggets.""

I think there is a little bit of this in everything. And I think that's okay. One of the things that"
generation_20	"B: She's not picky. She eats anything. C: She likes cookies. D: She likes meatballs.
C"	"But, if we give her a choice, she's going to take the broccoli.

KING: I like that.

JONES: Yeah, she's all about the vegetables. She loves to eat vegetables.

KING: And you can see it"
