generation_rank	just_response	wo_just_response
generation_0	We will be returning for more soon!  It's inexpensive, fast and delicious!  A great way to eat healthy with lots of food choices.  I have been to other Fresh & Easy stores and they are all wonderful.  The staff	"I have never tasted such a soup. 
 Option1: He liked the soup 
 Option2: He hated the soup
Output: He liked the soup"
generation_1	"I've been to the restaurant several times and been impressed every time.  The staff could use a little work but the food is well worth it.  I recommend the shrimp and grits.  Yum!


Q: positive

A: This"	"Sentence 5: I ate it.
A: 1, 3, 5"
generation_2	"I have never really been a huge fan of curry but now I am craving it all the time.  I am a huge fan of spicy food but I don't think I would be able to handle their ""spicy"" level, but it"	"Can you pass the salt?  W: Here you are.  Question: What does the man say about the soup?   - It needs more vegetables.  - It needs more salt.  - It is too salty.
Answer: It needs"
generation_3	I only wish that the restaurant would be more consistent. I have been twice and had to send things back both times. The first time it was because of an improperly cooked steak and the second time it was because the prime rib was overly rare.	It's very healthy, but it's not too tasty. It's nutritious but not delicious. It's healthy but not tasty. It's nutritious but not tasty. It's healthy but not tasty. It's nutritious but not tasty. It's healthy
generation_4	I'm a big fan of the garlicy flavor. The chicken and veggies are in large pieces and the noodles are tasty. I like the dumplings as well. It seems like the more you eat the spicier it gets. I would recommend	I like it very much. I think I will come here again. The service was bad. The food took a long time to come to the table. We had to wait for about half an hour. We had to ask for the food several times
generation_5	"I feel that the soup is so delicious that I'm going to eat it every day. 
Student: not-paraphrase"	"[EX Q]: story: It was the first day of school. I was a freshman. I was nervous. I did not want to be late. I woke up super early and got dressed. I got to school way early.
 selected sentence"
generation_6	I had the chicken pho and it tastes just like the pho I had in Vietnam.  My friend had the Tom Yum soup which was also amazing.  The service is great, the waiters are so friendly and they keep checking	The vegetables are in good condition.
generation_7	"I will go back again and again.

positive


Worst service I have ever had in my life. The manager was extremely rude and when I asked to speak to the owner the owner was just as rude. I understand you are busy but that is"	"Sentence 2: The soup is delicious.
[EX A]: Context: I had to take my daughter to the ER last night. She was having chest pains. Sentence 1: We got there and waited for what seemed like forever. Sentence"
generation_8	It is rich and tasty, and I look forward to sampling the rest of the menu.   The staff is friendly and professional, and they were on top of the situation when the power went out. Service was prompt and friendly.   This is a	I also got to see my friend's wedding.  I ordered a steak and a beer.  The beer was good but the steak was a little too tough.  I had a great time and it was a lot of fun.  I
generation_9	I can't believe how good it is.  The place is small and cozy, and the owner is super friendly.  He's always there, serving, and making sure that everyone is taken care of.  The food is always hot and	"I love it.
Is the hypothesis true?
OPTIONS:
- yes
- it is not possible to tell
- no

Answer:
it is not possible to tell


Question:
Premise: A man wearing an orange shirt and blue hard hat is"
generation_10	It is served with a small container of sour cream and a small container of dill to put in the soup.  The bread is also very good.  It comes with a small plate of butter and a small plate of olive oil with garlic	The service was good and the prices were reasonable. Great place to take a date.  The only reason I did not give it 5 stars is because the restaurant is somewhat small, and the tables are a little close together. Overall I was very
generation_11	I had no idea it was so easy to make. It was a lot of fun and a great family activity. I have to say that it was pretty messy, and I had to replace my blender, but it was worth it. I think I	"It tastes like food that is prepared by my mother. I like it very much. I have two bowls of the soup.
On the table there are two plates of noodles and two plates of fried rice. I eat the noodles. They are very good"
generation_12	I love how there is a nice mixture of vegetables in it. It is also a pretty good size portion.  You go in to this place and everyone knows everyone. It is a pretty small restaurant. There is only about 5 tables and the	It's so good. I love this soup.  It's so good.  It's so good. I love this soup.  It's so good.  It's so good. I love this soup.  It's so good.
generation_13	I have never been disappointed by the menu here.  The restaurant is small and quaint, and it is often hard to find a table.  There is a small bar inside and the outside space is often used for special events and festivals.	"It is also healthy."" (The soup is delicious and healthy.)

    • ""This soup is delicious and healthy."" (This soup is delicious and healthy.)

    • ""The soup is healthy and delicious."" (The soup is healthy and delicious.)"
generation_14	I've had a few other types, and they're all great.  The service is good, too. 5 stars.  UPDATE:  11/14/2012.  I took my mom here today for lunch.  She	"Question: Where does this conversation take place? Yes or no, is the answer ""At a restaurant.""?
Answer: No

Question: Article: Last week, my granddaughter started kindergarten, and I wished her every success. But part of me didn"
generation_15	It is even better if you add more seasoning, but it is already flavorful with just a little salt, pepper, and a dash of soy. The noodles are firm and chewy, and they go really well with the miso. The vegetables are	
generation_16	"But the best part is the bread. It is so soft and chewy, you can't stop eating it. I highly recommend this place.""

A: positive

Q: I used to go here when it was The Joint, but now it's"	"I want to eat it."". The question that is asked is: what is the main idea or topic of the paragraph? If the answer is that 'the soup is delicious', then the answer is (A). the main idea is the topic of the"
generation_17	"The atmosphere is also great for a nice date. I would recommend going there on a Wednesday to take advantage of the 50% off coupon.
OPTIONS:
- negative
- positive

positive


I've been to the location on Sahara and Jones a"	"Sentence2: He liked the soup so much he ate the whole bowl. Sentence3: Jason was hungry so he made himself a can of soup. Sentence4: He opened the can and heated it in the microwave.
Example Output: 3,"
generation_18	The food is excellent and the service is fast. I have never had a problem with the people working there.  I recommend this place to anyone who is looking for a new place to eat.  There is plenty of parking so you don't have	
generation_19	I love the bread, and the salad is pretty good as well.  I like how I can get small portions of soup and salad and it's still plenty of food.  There are several different kinds of soups and salads to choose from	"I'm going to eat more. "" This is like saying ""I'm going to drink more water. "" Soup is a good choice for a meal. But it's not a healthy choice for a drink before bed. The same is the case with"
generation_20	I've been to the restaurant a few times and the service is great.  I've tried the vegetarian soup and the beef soup.  Both are excellent.  The beef is tender and flavorful.  My favorite is the beef.  The	I really like their take on the noodle soup.  I have not had the sushi, but the reviews I've read here are not promising.  I suspect that they are actually better at making Japanese food than they are at making sushi.
generation_21	"Good for you and good for your body. I recommend it to everyone.

Output: 5


Input: Consider Input: The only reason I didn't give it 5 stars is because the service was not great. I asked for a doggie"	"Sentence 2: I am craving soup. Sentence 3: I decide to make tomato soup. Sentence 4: I buy tomatoes and carrots at the grocery store. Sentence 5: I make a pot of tomato soup.
A: 135"
generation_22	The only thing I didn't like was the rice.  It was a bit too mushy for me.  But I am a picky eater.  I loved the house dressing on the salad.  I have been there a few times	"When I received it, I put it in the refrigerator, and then I ate it later. It was still delicious.

The soup is delicious. If you feel hungry, you can eat it.

The soup is delicious. I hope you like it."
generation_23	I love the sweet corn and the bits of pork.  I get it every time I go there.  Overall, I love this place and think it is great for a quick meal when you want something hot and tasty.  It is also	I like it. It's delicious. I like it. It's delicious. I like it. It's delicious. I like it. It's delicious. I like it. It's delicious. I like it. It's delicious. I like
