id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-121.31625270843506	-120.19344997406006	-3.1106731463701296	-3.1629855256331596	39	38	-101.70677483081818	-101.83798909187317	-2.3652738332748413	-2.3683253277179808	43	43	-422.42657446861267	-421.39250552654266	-2.8161771631240846	-2.8281376209835076	150	149	True	False	0.05231237926303001	False
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-49.03005862236023	-47.73407864570618	-2.4515029311180117	-2.5123199287213778	20	19	-54.48470175266266	-55.17690050601959	-3.20498245603898	-3.2457000297658585	17	17	-190.5464287996292	-191.7506741285324	-2.9314835199942957	-2.996104283258319	65	64	True	False	0.06081699760336612	False
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-120.08921122550964	-130.9683701992035	-2.2238742819538824	-2.5186225038308363	54	52	-43.94816267490387	-43.062177419662476	-1.9976437579501758	-1.9573717008937488	22	22	-379.4669740200043	-389.3847063779831	-2.4640712598701575	-2.561741489328836	154	152	True	False	0.29474822187695393	False
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-41.29397988319397	-40.609172224998474	-2.752931992212931	-2.9006551589284624	15	14	-74.54783654212952	-73.10402619838715	-2.6624227336474826	-2.6108580785138265	28	28	-143.90033960342407	-141.69310772418976	-2.6163698109713467	-2.6239464393368475	55	54	True	False	0.1477231667155312	False
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-19.955702424049377	-9.637508988380432	-3.3259504040082297	-1.9275017976760864	6	5	-11.200779557228088	-12.028366923332214	-0.8000556826591492	-0.859169065952301	14	14	-68.5885226726532	-66.43473494052887	-2.1433913335204124	-2.1430559658235118	32	31	True	False	-1.3984486063321433	False
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-27.351178288459778	-28.46543002128601	-1.8234118858973185	-2.0332450015204295	15	14	-28.78874433040619	-28.78037166595459	-1.6934555488474228	-1.6929630391737993	17	17	-107.14289247989655	-108.64232623577118	-2.232143593331178	-2.311538856080238	48	47	True	False	0.20983311562311102	False
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-18.5692617893219	-15.461851358413696	-2.3211577236652374	-2.2088359083448137	8	7	-24.312896370887756	-26.287083506584167	-1.157756970042274	-1.2517658812659127	21	21	-117.07085680961609	-115.94691038131714	-2.1285610329021107	-2.1471650070614285	55	54	True	False	-0.11232181532042373	False
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-69.65578985214233	-72.99648380279541	-2.9023245771725974	-3.1737601653389307	24	23	-50.43859589099884	-50.108954429626465	-2.6546629416315177	-2.637313391032972	19	19	-225.46472990512848	-228.45612931251526	-2.5915486195991777	-2.656466619912968	87	86	True	False	0.2714355881663333	False
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-38.198567152023315	-36.9711434841156	-2.122142619556851	-2.1747731461244473	18	17	-33.00702095031738	-32.79910480976105	-2.0629388093948364	-2.0499440506100655	16	16	-125.78895854949951	-126.47434628009796	-2.4664501676372454	-2.5294869256019594	51	50	True	False	0.05263052656759637	False
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-11.571898579597473	-13.16418194770813	-1.0519907799634067	-1.316418194770813	11	10	-26.141262412071228	-25.857153296470642	-2.0108663393900943	-1.9890117920362032	13	13	-195.83128535747528	-197.1575789451599	-2.388186406798479	-2.434044184508147	82	81	True	False	0.26442741480740617	False
186	just	Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-29.893499612808228	-32.97137999534607	-1.7584411536946016	-2.0607112497091293	17	16	-53.86884808540344	-53.93376696109772	-1.857546485703567	-1.8597850676240593	29	29	-232.39965224266052	-235.53820967674255	-2.3714250228842912	-2.428228965739614	98	97	True	False	0.3022700960145277	False
244	just	I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	-62.147923827171326	-63.214614272117615	-2.3903047625835123	-2.528584570884705	26	25	-73.69724869728088	-74.61553490161896	-2.4565749565760293	-2.487184496720632	30	30	-222.04802083969116	-224.06003367900848	-2.5232729640873997	-2.575402685965615	88	87	True	False	0.13827980830119246	False
272	just	Where's the nearest tailor's?	There is one just around the corner.	There is one around the corner.	The jacket is tight in the shoulders and long in the sleeve. What about the price there?	-12.17262053489685	-10.660371541976929	-1.3525133927663167	-1.332546442747116	9	8	-68.32038938999176	-68.09339594841003	-2.44001390678542	-2.431906998157501	28	28	-142.70509445667267	-142.35876500606537	-2.7443287395513973	-2.791348333452262	52	51	True	False	-0.01996695001920057	False
302	just	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.	Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.	Wow! So many choices you have! I wish I could, but I can't. I'm on a diet to lose weight.	Come on, just a bite. It doesn't really hurt to have just a bite.	-56.39557218551636	-53.51654255390167	-1.94467490294884	-1.911305091210774	29	28	-57.24013543128967	-56.84590137004852	-2.1200050159736916	-2.1054037544462414	27	27	-212.6614601612091	-209.611097574234	-2.0849162760902855	-2.075357401725089	102	101	True	False	-0.03336981173806586	False
325	just	This book I'm reading about Yoga is really interesting.__eou__I didn't know you did Yoga.	I don't really practice it regularly yet, I'm just learning about it.	I don't really practice it regularly yet, I'm learning about it.	What have you learned?	-27.73717987537384	-30.827139019966125	-1.6315988161984611	-1.9266961887478828	17	16	-33.52648162841797	-32.942739367485046	-2.3947486877441406	-2.3530528119632175	14	14	-150.09994733333588	-152.56073999404907	-2.382538846560887	-2.4606570966782106	63	62	True	False	0.2950973725494217	False
351	just	Don't tell me that's your lunch?	No, this is just my appetizer ... this is my lunch!	No, this is my appetizer ... this is my lunch!	A candy bar for an appetizer and a piece of pie for lunch! That's all junk!	-44.361196517944336	-40.886637926101685	-2.957413101196289	-2.9204741375786916	15	14	-69.71690762042999	-70.82558274269104	-2.4040312972562066	-2.442261473885898	29	29	-159.73489570617676	-158.1216653585434	-2.618604847642242	-2.6353610893090567	61	60	True	False	-0.03693896361759741	False
355	just	( A stranger stops to help ) Everything OK?__eou__No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	I think that's steam. Your engine's overheated.	Do you know a lot about cars?	-38.86136209964752	-38.9389945268631	-2.7758115785462514	-2.9953072712971616	14	13	-25.72516894340515	-24.89025568962097	-1.513245231965009	-1.4641326876247631	17	17	-230.74210226535797	-229.99971425533295	-3.076561363538106	-3.1081042466936886	75	74	True	False	0.2194956927509102	False
366	just	How's your new car?__eou__Perfect! Couldn't be better.__eou__You made a good choice, then?	It's just what I want.	It's what I want.	No regrets?	-13.696018099784851	-12.18072235584259	-1.7120022624731064	-1.7401031936917986	8	7	-23.616769671440125	-22.35621213912964	-1.9680641392866771	-1.8630176782608032	12	12	-136.21399474143982	-133.43930208683014	-2.308711775278641	-2.3006776221867264	59	58	True	False	0.02810093121869217	False
375	just	Dad, can I have a pet? I did what you said and passed all of my exams.__eou__Then I guess you get to have a pet. Do you know what you want?	I want a dog. My friend Mindy's dog just had puppies and she said I can have one.	I want a dog. My friend Mindy's dog had puppies and she said I can have one.	You know who will be responsible for feeding and cleaning and all of that stuff?	-41.94026017189026	-43.353652119636536	-1.8234895726908809	-1.9706205508925698	23	22	-62.257190346717834	-62.548879742622375	-2.4902876138687136	-2.501955189704895	25	25	-231.92570638656616	-233.56813871860504	-2.3426839028946076	-2.38334835427148	99	98	True	False	0.14713097820168897	False
394	just	Nathan said he didn't have any fun at his new school this week. Do you know why?	I think he hasn't made any new friends yet. He's just a little lonely.	I think he hasn't made any new friends yet. He's a little lonely.	He really misses his friends from our old neighborhood.	-35.137250781059265	-30.838857173919678	-1.8493289884768034	-1.7132698429955378	19	18	-40.46896541118622	-40.327303528785706	-2.129945547957169	-2.122489659409774	19	19	-164.95088684558868	-160.3181221485138	-2.4619535350087864	-2.4290624567956636	67	66	True	False	-0.13605914548126563	False
407	just	What do you think about half day kindergarten for Stacey?__eou__We could try it for the first few weeks and see if she likes it.	I just think it will be a little difficult for her to be away from home for so long right off the bat.	I think it will be a little difficult for her to be away from home for so long right off the bat.	You have a good point. She hasn't really ever been away from home for longer than a few hours.	-53.45121157169342	-47.733808398246765	-2.138048462867737	-1.9889086832602818	25	24	-57.19375252723694	-56.05582535266876	-1.844959758943127	-1.8082524307312504	31	31	-223.8841052055359	-216.99660682678223	-2.3080835588199577	-2.2603813211123147	97	96	True	False	-0.14913977960745517	False
454	just	Cathy, I'd like to introduce the new microwave stove of mine to you, because it is easy to use.__eou__OK, it so happened I want to buy one.	This microwave stove has many functions. Let me show you. For example, if you want to cook meat, you just need to put meat in it, and press the button with a picture of meat, that’s OK. After several minutes, you can eat the delicious meat.	This microwave stove has many functions. Let me show you. For example, if you want to cook meat, you need to put meat in it, and press the button with a picture of meat, that’s OK. After several minutes, you can eat the delicious meat.	I think it’s good, and it suits me, because I'm not good at cooking. Is it expensive?	-137.08148443698883	-139.84686732292175	-2.4049383234559443	-2.497265487909317	57	56	-61.848504066467285	-62.414377093315125	-1.9327657520771027	-1.9504492841660976	32	32	-354.450030207634	-357.80570018291473	-2.5872264978659416	-2.630924266050844	137	136	True	False	0.09232716445337275	False
462	just	I'm looking for some fresh produce that's on sale.	Well, we just got in some mangoes.	Well, we got in some mangoes.	Mangoes. What are they?	-28.666012167930603	-32.87853479385376	-2.6060011061755093	-3.287853479385376	11	10	-33.496370911598206	-32.561596155166626	-1.9703747595057768	-1.9153880091274487	17	17	-121.77294182777405	-125.04517829418182	-2.536936288078626	-2.6605357083868473	48	47	True	False	0.6818523732098667	True
465	just	Let’s go to Wangfujing by bus.__eou__Better take the subway. It’s faster, and more convenient.__eou__En, where do we pay the fares?	Just go to the ticket office in the subway.	Go to the ticket office in the subway.	Do I have to pay an additional fare to change trains?	-20.13527023792267	-14.518024206161499	-1.8304791125384243	-1.45180242061615	11	10	-40.6718989610672	-41.198171973228455	-1.9367570933841525	-1.9618177130108787	21	21	-206.34929645061493	-204.28310322761536	-2.4861361018146377	-2.4912573564343337	83	82	True	False	-0.3786766919222744	False
