id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
148	only	I come home for lunch.__eou__How long have you got?	Only 1 hour.	1 Hour.	Okay, I'll make you some food.	-4.527331709861755	-9.980912566184998	-0.7545552849769592	-2.4952281415462494	6	4	-30.150291204452515	-29.116820693016052	-1.6750161780251398	-1.6176011496120029	18	18	-107.3330420255661	-110.13450002670288	-2.1904702454197165	-2.3432872346106994	49	47	True	False	1.7406728565692902	True
797	only	Good evening, may I help you?__eou__I would like to book a table for six tonight.	Sorry, sir. We have only double tables left.	Sorry, sir. We have double tables left.	What a pity. Can you recommend a nice restaurant near here?	-31.65937376022339	-38.51996207237244	-2.6382811466852822	-3.5018147338520396	12	11	-33.065025806427	-35.02577996253967	-1.5029557184739546	-1.592080907388167	22	22	-144.6132377386093	-153.43555617332458	-2.191109662706202	-2.3605470180511476	66	65	True	False	0.8635335871667573	True
987	only	Where do these flower vases come from?__eou__They are made a town nearby. The flower vases are made of porcelain and covered with tiny bamboo sticks.__eou__Are they breakable?	No. They are not only ornamental, but also useful.	No. They are not ornamental, but also useful.	No wonder it's so expensive.	-25.80304503440857	-32.161080837249756	-1.8430746453148978	-2.473929295173058	14	13	-33.05164873600006	-34.6911004781723	-2.065728046000004	-2.168193779885769	16	16	-227.94968557357788	-235.94354844093323	-2.7136867330187844	-2.842693354710039	84	83	True	False	0.6308546498581602	True
1562	only	Did you watch the finale last night? My favorite singer won!	Oh, I love him too. He not only sings well but shows perseverance when he encounters difficulties in the contest.	Oh, I love him too. He not sings well but shows perseverance when he encounters difficulties in the contest.	Yeah, he got booted after his initial performance in the audition, but he did not give up. He then tried at another two auditions.	-72.70686876773834	-90.47003388404846	-3.029452865322431	-3.9334797340890635	24	23	-105.71077859401703	-102.77905178070068	-2.710532784461975	-2.635360302069248	39	39	-248.88966464996338	-264.6559853553772	-2.96297219821385	-3.1886263295828576	84	83	True	False	0.9040268687666324	True
1624	only	Hi, I want to check out.__eou__Okay. Come with me.__eou__Can I pay by a credit card?	Sorry, you can only pay cash.	Sorry, you can pay cash.	OK. Here is the money.	-13.98700225353241	-18.62761902809143	-1.554111361503601	-2.328452378511429	9	8	-25.842897057533264	-24.48010504245758	-1.615181066095829	-1.5300065651535988	16	16	-148.33487391471863	-151.6527522802353	-2.2820749833033633	-2.3695742543786764	65	64	True	False	0.7743410170078278	True
3380	only	Are we going to have dinner tonight?__eou__What are you planning on making?__eou__I'm not cooking dinner.	The only way you're eating tonight is if you cook.	The way you're eating tonight is if you cook.	I'm not sure what to cook for dinner.	-23.9708012342453	-37.59416651725769	-1.8439077872496386	-3.1328472097714744	13	12	-25.533705353736877	-29.150619506835938	-1.3438792291440462	-1.5342431319387335	19	19	-144.69640636444092	-161.9370824098587	-2.0379775544287453	-2.3133868915694102	71	70	True	False	1.2889394225218358	True
3926	only	Have we handed out all the water?__eou__Yes. So what else to do now?	Nothing. The teacher said the only thing left was to get back all the disposable cups later.	Nothing. The teacher said the thing left was to get back all the disposable cups later.	I see. How do you like the game?	-70.28885781764984	-83.20448923110962	-3.514442890882492	-4.3791836437426115	20	19	-34.98305654525757	-35.64360308647156	-1.8412135023819773	-1.8759791098142926	19	19	-208.54891121387482	-222.09847676753998	-3.0224479886068814	-3.266154070110882	69	68	True	False	0.8647407528601194	True
4123	only	you look better today. How did your test go?__eou__much better than it did yesterday.__eou__did you pass?	I not only passed my test, but I aced it! I'm so happy!	I not passed my test, but I aced it! I'm so happy!	you should be. You worked really hard last night preparing for it.	-34.928755402565	-50.55250632762909	-1.8383555475034212	-2.8084725737571716	19	18	-60.356921672821045	-59.409491181373596	-2.624213985774828	-2.5830213557118955	23	23	-212.17874455451965	-226.83369898796082	-2.5875456652990203	-2.800416036888405	82	81	True	False	0.9701170262537504	True
5551	only	Did you watch the final last night? My favorite singer won!	Oh, I love him too. He not only sings well but also shows perseverance when he encounters difficulties in the contest.	Oh, I love him too. He not sings well but also shows perseverance when he encounters difficulties in the contest.	Yeah, he got booted after his initial performance in the audition, but he did not give up. He then tried at another two auditions.	-69.41815936565399	-94.35784351825714	-2.7767263746261595	-3.931576813260714	25	24	-103.99349474906921	-103.38048887252808	-2.6664998653607492	-2.6507817659622583	39	39	-247.00650870800018	-270.7591588497162	-2.905958925976473	-3.2233233196394786	85	84	True	False	1.1548504386345546	True
5749	only	Do you have brothers and sisters?	No, I am the only child in my family.	No, I am the child in my family.	Oh, I have an elder sister. She is married .. Her husband is a businessman.	-13.310367345809937	-23.297807455062866	-1.1091972788174946	-2.117982495914806	12	11	-64.07144248485565	-64.81057929992676	-2.373016388327987	-2.4003918259232133	27	27	-112.24553489685059	-123.54512071609497	-2.078621016608344	-2.3310400135112257	54	53	True	False	1.0087852170973115	True
