particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	1	0	resid	0	utterance_final	0	prompt_without	28	27	-1.1962890625	-2.1643880208333335	-2.1678059895833335	-0.00341796875	-0.003530598520511096	0.0
just	0	9	263	resid	0	utterance_final	0	prompt_without	26	25	-0.2668799912488019	-0.31386376751793754	-0.313950847696375	-8.708017843744864e-05	-0.0018534095245692915	0.0
just	0	10	2	resid	0	utterance_final	0	prompt_without	53	52	-0.5761192925274372	-0.8638829924166203	-0.8625611774623394	0.0013218149542808533	0.004593404083940679	0.004593404083940679
just	0	12	196	resid	0	utterance_final	0	prompt_without	43	42	-0.7315837164719899	-0.7938430309295654	-0.7936971882979075	0.0001458426316579553	0.0023425030122574647	0.0023425030122574647
just	0	1	0	resid	1	utterance_final	0	prompt_without	28	27	-1.1962890625	-2.1643880208333335	-2.1759440104166665	-0.011555989583333037	-0.011936785474108636	0.0
just	0	9	263	resid	1	utterance_final	0	prompt_without	26	25	-0.2668799912488019	-0.31386376751793754	-0.31401683224572075	-0.00015306472778320312	-0.0032578208892024224	0.0
just	0	10	2	resid	1	utterance_final	0	prompt_without	53	52	-0.5761192925274372	-0.8638829924166203	-0.8613233640789986	0.002559628337621689	0.008894896537010729	0.008894896537010729
just	0	12	196	resid	1	utterance_final	0	prompt_without	43	42	-0.7315837164719899	-0.7938430309295654	-0.7930673122406006	0.000775718688964866	0.012459480091022417	0.012459480091022417
just	0	1	0	resid	2	utterance_final	0	prompt_without	28	27	-1.1962890625	-2.1643880208333335	-2.1634114583333335	0.0009765625	0.0010087424344317416	0.0010087424344317416
just	0	9	263	resid	2	utterance_final	0	prompt_without	26	25	-0.2668799912488019	-0.31386376751793754	-0.3121170158739443	0.0017467516439932385	0.037177761829687295	0.037177761829687295
just	0	10	2	resid	2	utterance_final	0	prompt_without	53	52	-0.5761192925274372	-0.8638829924166203	-0.8626460954546928	0.001236896961927414	0.004298307821326106	0.004298307821326106
just	0	12	196	resid	2	utterance_final	0	prompt_without	43	42	-0.7315837164719899	-0.7938430309295654	-0.7937460660934448	9.696483612064988e-05	0.0015574350113784709	0.0015574350113784709
just	0	1	0	resid	3	utterance_final	0	prompt_without	28	27	-1.1962890625	-2.1643880208333335	-2.158203125	0.006184895833333481	0.006388702084734517	0.006388702084734517
just	0	9	263	resid	3	utterance_final	0	prompt_without	26	25	-0.2668799912488019	-0.31386376751793754	-0.30563722716437447	0.008226540353563072	0.1750932131644602	0.1750932131644602
just	0	10	2	resid	3	utterance_final	0	prompt_without	53	52	-0.5761192925274372	-0.8638829924166203	-0.8608613386750221	0.0030216537415981293	0.010500468762257919	0.010500468762257919
just	0	12	196	resid	3	utterance_final	0	prompt_without	43	42	-0.7315837164719899	-0.7938430309295654	-0.7926961680253347	0.0011468629042307166	0.018420744176555422	0.018420744176555422
just	0	1	0	resid	4	utterance_final	0	prompt_without	28	27	-1.1962890625	-2.1643880208333335	-2.1619466145833335	0.00244140625	0.002521856086079354	0.002521856086079354
just	0	9	263	resid	4	utterance_final	0	prompt_without	26	25	-0.2668799912488019	-0.31386376751793754	-0.3054918183220757	0.008371949195861816	0.17818808662601007	0.17818808662601007
