transfer_label	site_source	evaluation_target	train_fold	component	top_k	selected_layers
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	1	7
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	3	7,12,5
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	5	7,12,5,4,6
only_to_nonexclusive_just	only	nonexclusive_just	0	attn	10	7,12,5,4,6,3,9,10,13,15
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	1	12
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	3	12,7,4
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	5	12,7,4,8,3
only_to_nonexclusive_just	only	nonexclusive_just	1	attn	10	12,7,4,8,3,6,10,11,9,2
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	1	5
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	3	5,15,9
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	5	5,15,9,4,2
only_to_nonexclusive_just	only	nonexclusive_just	0	mlp	10	5,15,9,4,2,16,6,19,26,3
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	1	6
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	3	6,9,7
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	5	6,9,7,8,3
only_to_nonexclusive_just	only	nonexclusive_just	1	mlp	10	6,9,7,8,3,23,29,17,19,14
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	1	7
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	3	7,12,11
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	5	7,12,11,8,10
only_to_nonexclusive_just	only	nonexclusive_just	0	resid	10	7,12,11,8,10,9,6,13,5,4
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	1	12
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	3	12,10,8
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	5	12,10,8,9,7
only_to_nonexclusive_just	only	nonexclusive_just	1	resid	10	12,10,8,9,7,11,13,6,14,4
