id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-45.071736454963684	-62.46294033527374	-1.6693235724060624	-2.402420782125913	27	26	-35.89721858501434	-33.65297591686249	-2.393147905667623	-2.2435317277908324	15	15	-349.44890916347504	-366.40517246723175	-3.7983577082986417	-4.026430466672877	92	91	True	True
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-128.06079995632172	-134.75696694850922	-2.7246978714111005	-2.929499281489331	47	46	-102.85631990432739	-103.53757011890411	-2.392007439635521	-2.407850467881491	43	43	-629.2585767507553	-634.8203901052475	-3.4958809819486407	-3.546482626286299	180	179	True	True
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-37.501001715660095	-36.572473883628845	-2.678642979690007	-2.8132672218176036	14	13	-51.12659180164337	-50.04768931865692	-2.5563295900821688	-2.5023844659328462	20	20	-343.9634122848511	-348.0820965766907	-4.844555102603536	-4.97260137966701	71	70	True	True
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-65.09106206893921	-77.10825455188751	-2.8300461769104004	-3.5049206614494324	23	22	-85.97956311702728	-82.17544305324554	-2.865985437234243	-2.739181435108185	30	30	-395.860866189003	-400.8979642391205	-4.3984540687667	-4.504471508304724	90	89	True	True
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-79.93858802318573	-83.47922074794769	-2.960688445303175	-3.21073925953645	27	26	-184.97307670116425	-182.55226933956146	-2.98343672098652	-2.944391440960669	62	62	-604.0316370725632	-600.9503645896912	-3.638744801641947	-3.642123421755704	166	165	True	True
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-21.262498259544373	-26.798264861106873	-1.417499883969625	-1.914161775793348	15	14	-31.981351494789124	-31.595857858657837	-2.132090099652608	-2.1063905239105223	15	15	-355.6086175441742	-348.4147824048996	-4.284441175231015	-4.248960761035361	83	82	True	True
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-20.056036472320557	-24.30328607559204	-1.179766851312974	-1.5189553797245026	17	16	-18.999017000198364	-24.581990957260132	-1.1874385625123978	-1.5363744348287582	16	16	-296.9420849084854	-308.943798661232	-4.124195623728964	-4.351321107904676	72	71	True	True
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-36.42017936706543	-43.68377184867859	-2.0233432981703015	-2.569633638157564	18	17	-24.41826343536377	-26.20856773853302	-1.1627744493030368	-1.248027035168239	21	21	-346.9118666648865	-360.72337341308594	-4.282862551418352	-4.509042167663575	81	80	True	True
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-41.057759523391724	-43.77639722824097	-1.710739980141322	-1.9033216186191724	24	23	-117.19794929027557	-115.91378164291382	-3.6624359153211117	-3.622305676341057	32	32	-438.5797497034073	-436.93411886692047	-4.299801467680464	-4.326080384820995	102	101	True	True
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-54.87692749500275	-65.76022791862488	-2.2865386456251144	-2.859140344288038	24	23	-56.8333101272583	-57.41932463645935	-2.5833322785117407	-2.609969301657243	22	22	-361.4024746417999	-374.2572840452194	-4.30241041240238	-4.50912390415927	84	83	True	True
