id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
5	just	[NO CONTEXT]	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-95.96843719482422	-95.3439826965332	2.09622207136604e-42	3.9141226676326475e-42	-0.6244544982910156	0.5355534941969214	False
7	just	[NO CONTEXT]	I just happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I don't know exactly. It's a tradition. Maybe it's for sanitary reasons.	-42.764404296875	-42.481201171875	2.6770420438831266e-19	3.5534380336373856e-19	-0.283203125	0.7533667446967807	False
16	just	[NO CONTEXT]	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-33.8505859375	-34.87890625	1.990111082262029e-15	7.116779017645741e-16	1.0283203125	2.796364868612101	False
35	just	[NO CONTEXT]	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-41.7767333984375	-42.5313720703125	7.18778723495665e-19	3.3795572053350536e-19	0.754638671875	2.1268428963444768	False
36	just	[NO CONTEXT]	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-73.691650390625	-73.368896484375	9.911123162323514e-33	1.3686522430569806e-32	-0.32275390625	0.7241520417331379	False
37	just	[NO CONTEXT]	Just Mr. White.	Mr. White.	What did he want?	-19.412109375	-21.626953125	3.710462240357005e-09	4.050732807768329e-10	2.21484375	9.159977753262899	False
56	just	[NO CONTEXT]	No, that's all right. I'll just look for something else.	No, that's all right. I'll look for something else.	Well, your refund total is 50 dollars.	-47.29998779296875	-47.37615966796875	2.8699630637242134e-21	2.6594711437995875e-21	0.076171875	1.0791480367874553	False
66	just	[NO CONTEXT]	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-30.120361328125	-29.80224609375	8.296468761006219e-14	1.140378374932368e-13	-0.318115234375	0.7275189483927433	False
77	just	[NO CONTEXT]	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-35.49716567993164	-35.31086730957031	3.8351011423788106e-16	4.620459589230398e-16	-0.18629837036132812	0.8300259029032219	False
95	just	[NO CONTEXT]	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-33.84698486328125	-33.74981689453125	1.9972905390928207e-15	2.2011049854388478e-15	-0.09716796875	0.9074035778873168	False
99	just	[NO CONTEXT]	Sure, just ask. What can I do for you?	Sure, ask. What can I do for you?	My car has a problem starting. Could you please take a look at it for me?	-52.160255432128906	-52.14820861816406	2.2237650031053172e-23	2.25071629908054e-23	-0.01204681396484375	0.9880254583901876	False
130	just	[NO CONTEXT]	( after a while ) Good afternoon, Mrs. Smith. I called you just now.	( after a while ) Good afternoon, Mrs. Smith. I called you now.	Welcome! Come in, please!	-24.796142578125	-25.625732421875	1.702833187618947e-11	7.428238075397829e-12	0.82958984375	2.292378314123635	False
132	just	[NO CONTEXT]	You just ran a red light.	You ran a red light.	Did I?	-16.3671875	-14.947265625	7.795083729994956e-08	3.22466808624792e-07	-1.419921875	0.24173290154227836	False
138	just	[NO CONTEXT]	Ah, Bob. Just the person I wanted to see.	Ah, Bob. the person I wanted to see.	So what is it?	-19.6884765625	-19.470703125	2.814513083302521e-09	3.499299172253666e-09	-0.2177734375	0.8043076469766032	False
147	just	[NO CONTEXT]	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-32.171875	-32.083984375	1.0664296591657927e-14	1.1644011574459732e-14	-0.087890625	0.9158610435469906	False
150	just	[NO CONTEXT]	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-18.73900604248047	-18.58594512939453	7.273661387914542e-09	8.476695629671812e-09	-0.1530609130859375	0.8580774520738752	False
178	just	[NO CONTEXT]	Oh, I hate Channel 5. I'd rather just listen to the radio.	Oh, I hate Channel 5. I'd rather listen to the radio.	Don't make such a fuss. I'm sure you will like today's programme.	-47.116241455078125	-45.3218994140625	3.448866056692447e-21	2.0746707073130463e-20	-1.794342041015625	0.1662367933636636	False
186	just	[NO CONTEXT]	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	-55.6497802734375	-55.23785400390625	6.785900823684913e-25	1.0244831361045493e-24	-0.41192626953125	0.662373111331762	False
197	just	[NO CONTEXT]	Dad, can you just tell me what it means? I'm too lazy.	Dad, can you tell me what it means? I'm too lazy.	No, honey, go and read it. You'll learn.	-42.538818359375	-43.19287109375	3.354485506884077e-19	1.7441122259124378e-19	0.654052734375	1.9233197595006637	False
199	just	[NO CONTEXT]	Did somebody hit you? Or did you just fall?	Did somebody hit you? Or did you fall?	Mom! I was just picking my nose, and now it's bleeding.	-48.92333984375	-49.45361328125	5.660613067256179e-22	3.330954050529185e-22	0.5302734375	1.6993969239404196	False
232	just	[NO CONTEXT]	I really would rather just listen. Isn't there anyone else who wants to sing?	I really would rather listen. Isn't there anyone else who wants to sing?	Come on! In the two hours we've been here, you haven't sung even one song!	-53.468292236328125	-53.21846008300781	6.011955052281142e-24	7.718207506883383e-24	-0.2498321533203125	0.7789315131679808	False
237	just	[NO CONTEXT]	Dad, come on! Just tell me.	Dad, come on! tell me.	Well, honey, I can teach you how to plant them if you want to learn.	-52.5316162109375	-53.28019714355469	1.5339420542145245e-23	7.256118821525223e-24	0.7485809326171875	2.113997981488529	False
