id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-93.10094690322876	-94.21764612197876	-2.2166892119816373	-2.2979913688287503	42	41	-71.67475032806396	-71.57536315917969	-1.8861776402122097	-1.8835621883994655	38	38	-315.1084032058716	-316.1208324432373	-2.203555267173927	-2.2262030453749104	143	142	True
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-37.23379325866699	-39.348082065582275	-1.6188605764637822	-1.7885491847991943	23	22	-27.11768913269043	-27.520267486572266	-2.2598074277242026	-2.293355623881022	12	12	-135.51933193206787	-138.0254545211792	-2.2969378293570824	-2.3797492158824	59	58	True
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-105.45099687576294	-107.95709943771362	-1.8500174890484726	-1.962856353412975	57	55	-22.175737380981445	-22.556447982788086	-1.304455140057732	-1.3268498813404757	17	17	-279.6153292655945	-282.4694323539734	-1.9151734881205102	-1.9615932802359264	146	144	True
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-37.46506118774414	-38.24826431274414	-2.081392288208008	-2.249897900749655	18	17	-67.48763179779053	-66.87417316436768	-2.934244860773501	-2.9075727462768555	23	23	-135.07981395721436	-135.2681131362915	-2.7567308970860074	-2.8180856903394065	49	48	True
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-19.832229614257812	-16.091629028320312	-2.203581068250868	-2.011453628540039	9	8	-8.296479225158691	-11.978090286254883	-0.9218310250176324	-1.330898920694987	9	9	-64.52191066741943	-64.45755004882812	-2.4816119487469015	-2.578302001953125	26	25	True
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-21.48664093017578	-23.43073272705078	-1.1937022738986545	-1.3782783957088696	18	17	-15.598393440246582	-15.825057029724121	-1.2998661200205486	-1.31875475247701	12	12	-85.15097904205322	-87.31831645965576	-2.027404262906029	-2.12971503560136	42	41	True
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-17.936811447143555	-12.409201622009277	-1.630619222467596	-1.2409201622009278	11	10	-20.601503372192383	-20.142288208007812	-1.287593960762024	-1.2588930130004883	16	16	-92.20884418487549	-86.22277355194092	-1.921017587184906	-1.8345270968498069	48	47	True
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-57.32913684844971	-62.61249923706055	-2.1233013647573964	-2.4081730475792518	27	26	-25.057812690734863	-25.070446491241455	-1.7898437636239188	-1.7907461779458183	14	14	-174.40432262420654	-179.66036462783813	-2.207649653470969	-2.3033380080492067	79	78	True
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-30.220951080322266	-29.963016510009766	-1.4390929085867745	-1.4981508255004883	21	20	-13.57070541381836	-13.748457908630371	-1.2337004921653054	-1.2498598098754883	11	11	-88.70071411132812	-88.60612773895264	-1.9711269802517362	-2.0137756304307417	45	44	True
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-11.153185844421387	-13.222949028015137	-0.7966561317443848	-1.0171499252319336	14	13	-5.415229797363281	-5.509349822998047	-0.6769037246704102	-0.6886687278747559	8	8	-135.74130249023438	-137.90344619750977	-1.8343419255437077	-1.8890883040754762	74	73	True
