model_dir	model_label	model_order	condition	condition_label	generated_from	n_items	mean_delta	median_item_delta	item_delta_q1	item_delta_q3	ci_low	ci_high	mean_delta_from_items	mean_delta_from_condition_summary	abs_diff
llama3	Llama 3 8B	0	just	just	P	40	0.022517007675845996	0.0149410829258644	0.008040232736500074	0.02275722959776955	0.01321073766067186	0.0371028427230131	0.022517007675845996	0.022517007675846	3.469446951953614e-18
llama3	Llama 3 8B	0	just	just	P_prime	40	0.01157656548236004	0.0049655033597879004	0.0013244187997862	0.011840051120746025	0.004462311340326635	0.023657073615081455	0.01157656548236004	0.01157656548236	3.9898639947466563e-17
llama3_instruct	Llama 3 8B Inst.	1	just	just	P	40	0.02016746954869733	0.00990214641279025	0.0041801199734629	0.0214883561160076	0.012325777577820272	0.03032571686089372	0.02016746954869733	0.0201674695486973	3.122502256758253e-17
llama3_instruct	Llama 3 8B Inst.	1	just	just	P_prime	40	0.02049625842690616	0.00970348652989375	0.00342986612763205	0.0194637419411224	0.010714097258712814	0.033355761058147	0.02049625842690616	0.0204962584269062	4.163336342344337e-17
gemma2	Gemma 2 9B	2	just	just	P	40	0.011939729146037196	0.00804420255938845	0.004270097718415425	0.015874562872703626	0.008690558226555307	0.015851901912175264	0.011939729146037196	0.0119397291460372	3.469446951953614e-18
gemma2	Gemma 2 9B	2	just	just	P_prime	40	0.007629842711903806	0.0065484852265734	0.001472002132460225	0.011455738986179975	0.0046748343432900605	0.01066352879564461	0.0076298427119038045	0.0076298427119038	4.336808689942018e-18
gemma2_it	Gemma 2 9B IT	3	just	just	P	40	-0.0005763948060990287	0.001339726385121452	-0.037028443985747006	0.04924399878756565	-0.027326635623449815	0.023968100199993306	-0.0005763948060990273	-0.000576394806099	2.7321894746634712e-17
gemma2_it	Gemma 2 9B IT	3	just	just	P_prime	40	0.044066129324440304	0.01535366728260355	-0.0047561009757868	0.07054092980722348	0.018038727145651547	0.07407679879250345	0.04406612932444031	0.0440661293244403	1.3877787807814457e-17
olmo2	OLMo 2 7B	4	just	just	P	40	0.013835011450641815	0.01157698656511235	-0.0002611811786401	0.028033580403925597	0.007759574258685845	0.019930366398197313	0.013835011450641818	0.0138350114506418	1.9081958235744878e-17
olmo2	OLMo 2 7B	4	just	just	P_prime	40	0.013929173923068031	0.0105251373959908	0.00224393023425385	0.022684877360314402	0.007157804970206021	0.02130501639768131	0.013929173923068033	0.013929173923068	3.2959746043559335e-17
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P	40	0.015308488434924961	0.0078350295690726	0.0006761485189709501	0.043204643952933025	-0.007473245567495602	0.03365859583573894	0.015308488434924957	0.0153084884349249	5.724587470723463e-17
olmo2_instruct	OLMo 2 7B Inst.	5	just	just	P_prime	40	0.027515544525577567	0.013857620942330048	-0.003450028056475325	0.03849569929409817	0.011858478574251922	0.04948835026011946	0.027515544525577567	0.0275155445255775	6.591949208711867e-17
qwen3_5	Qwen3.5 9B	6	just	just	P	40	0.014058660630701473	0.0091405595793015	0.001431396053426575	0.016379611891572176	0.008109241417367612	0.021340923813973116	0.014058660630701469	0.0140586606307015	3.122502256758253e-17
qwen3_5	Qwen3.5 9B	6	just	just	P_prime	40	0.015619087955245626	0.011450192150961751	0.00530410402974325	0.018014702770328225	0.009578280476816432	0.023347071764541635	0.015619087955245626	0.0156190879552456	2.6020852139652106e-17
