source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_win_rate_per_token	p_weighted_win_rate	p_weighted_win_rate_per_token	p_mean_advantage	p_mean_advantage_per_token	p_weighted_advantage	p_weighted_advantage_per_token	p_top1_win	p_top1_win_per_token	p_top1_advantage	p_top1_advantage_per_token	p_prime_win_rate	p_prime_win_rate_per_token	p_prime_weighted_win_rate	p_prime_weighted_win_rate_per_token	p_prime_mean_advantage	p_prime_mean_advantage_per_token	p_prime_weighted_advantage	p_prime_weighted_advantage_per_token	p_prime_top1_win	p_prime_top1_win_per_token	p_prime_top1_advantage	p_prime_top1_advantage_per_token	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
just	discourse_particle	0	1157	just	h	50	50	0	0.0	0.82	0.82	0.8732220384898683	0.8732220384898683	0.0524430666296735	0.0524430666296735	0.0754692086256065	0.0754692086256065	1.0	1.0	0.0015237742456899	0.0015237742456899	0.48	0.48	0.5078659964855831	0.5078659964855831	-0.0006775388264798	-0.0006775388264798	-0.0003183152058939	-0.0003183152058939	1.0	1.0	0.0047433035714283	0.0047433035714283	False	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	1	5467	just	h	50	50	0	0.0	0.7	0.7	0.7086198045774971	0.7086198045774971	0.0304420765950832	0.0304420765950832	0.0239669285594237	0.0239669285594237	1.0	1.0	0.001413445723684	0.001413445723684	0.56	0.56	0.6064006417178723	0.6064006417178723	0.0169134388676824	0.0169134388676824	0.0367521051762684	0.0367521051762684	1.0	1.0	0.0243652343749998	0.0243652343749998	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	2	2485	just	h	50	50	3	0.0309278350515463	0.78	0.78	0.8153667283550295	0.8153667283550295	0.0454118262422156	0.0454118262422156	0.0469246922781183	0.0469246922781183	0.0	0.0	-0.0012872869318178	-0.0012872869318178	0.46	0.46	0.4137639467161574	0.4137639467161574	-0.0049509554700705	-0.0049509554700705	-0.0097937695071129	-0.0097937695071129	0.0	0.0	-0.042694091796875	-0.042694091796875	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.66	0.66	0.6875355325598544	0.6875355325598544	0.0363733156916384	0.0363733156916384	0.0505114590591585	0.0505114590591585	1.0	1.0	0.046966552734375	0.046966552734375	0.74	0.74	0.7326114272877452	0.7326114272877452	0.0485050491133688	0.0485050491133688	0.0365397783370867	0.0365397783370867	1.0	1.0	0.0306599934895832	0.0306599934895832	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	4	1627	just	h	50	50	1	0.0101010101010101	0.68	0.68	0.6515251316285325	0.6515251316285325	0.0296495971193409	0.0296495971193409	0.031110111204726	0.031110111204726	1.0	1.0	0.0454270839691162	0.0454270839691162	0.6	0.6	0.4456121674786166	0.4456121674786166	0.0135592676396485	0.0135592676396485	-0.0004446692398346	-0.0004446692398346	0.0	0.0	-0.0033203125	-0.0033203125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	5	4508	just	h	50	50	0	0.0	0.6	0.6	0.7124485503167436	0.7124485503167436	0.0130311798100607	0.0130311798100607	0.0298056290442871	0.0298056290442871	1.0	1.0	0.0036839076450894	0.0036839076450894	0.52	0.52	0.5163188617686483	0.5163188617686483	0.0222851874227043	0.0222851874227043	0.02550910602518	0.02550910602518	1.0	1.0	0.1754150390625	0.1754150390625	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.64	0.64	0.650309674083549	0.650309674083549	0.0220631233136596	0.0220631233136596	0.0200679171007214	0.0200679171007214	1.0	1.0	0.0383649553571427	0.0383649553571427	0.46	0.46	0.3785937443101339	0.3785937443101339	0.0008845217656754	0.0008845217656754	-0.0101596185656107	-0.0101596185656107	1.0	1.0	0.0197265624999998	0.0197265624999998	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.72	0.72	0.7194778125456398	0.7194778125456398	0.0126075513439426	0.0126075513439426	0.0127355048688418	0.0127355048688418	0.0	0.0	-0.003568475896662	-0.003568475896662	0.48	0.48	0.4649541665962159	0.4649541665962159	0.0043832040620005	0.0043832040620005	0.001395870532534	0.001395870532534	0.0	0.0	-0.0035226004464283	-0.0035226004464283	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	8	6078	just	h	50	50	1	0.0101010101010101	0.76	0.76	0.7808855768387353	0.7808855768387353	0.0219406738528546	0.0219406738528546	0.0251035923687522	0.0251035923687522	0.0	0.0	-0.0131191840538611	-0.0131191840538611	0.54	0.54	0.4439190951695202	0.4439190951695202	0.0029813277463865	0.0029813277463865	-0.0067556339451519	-0.0067556339451519	0.0	0.0	-0.0115740740740739	-0.0115740740740739	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	9	9954	just	h	50	50	0	0.0	0.62	0.62	0.6551042930595827	0.6551042930595827	0.0095013132923082	0.0095013132923082	0.0124283592379484	0.0124283592379484	1.0	1.0	0.0139857700892855	0.0139857700892855	0.36	0.36	0.2602796666320493	0.2602796666320493	-0.00408798642659	-0.00408798642659	-0.0077360111626925	-0.0077360111626925	0.0	0.0	-0.0095714222301137	-0.0095714222301137	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
