source_dataset	dataset_role	word	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_file	model_dir	model_label	model_order	condition	condition_label	generated_from_label
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.022517007675846	0.011793919972011	0.022517007675846	0.011793919972011	0.6635	0.6635	0.6773961338610339	0.6773961338610339	0.0272901332438942	0.0272901332438942	0.675	0.675	0.0238985418719203	0.0238985418719203	50.0	50	25.732	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.01157656548236	0.0037589819171698	0.01157656548236	0.0037589819171698	0.5425	0.5425	0.5287218294402234	0.5287218294402234	0.0115820043503434	0.0115820043503434	0.525	0.525	0.018656649800856	0.018656649800856	50.0	50	25.6785	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_condition_summary.tsv	llama3	Llama 3 8B	0	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0147269400273555	0.0079436125578703	0.0147269400273555	0.0079436125578703	0.6086666666666667	0.6086666666666667	0.6065077308725132	0.6065077308725132	0.0142308046888193	0.0142308046888193	0.4666666666666667	0.4666666666666667	-0.0008856923915628	-0.0008856923915628	50.0	50	26.042	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_condition_summary.tsv	llama3	Llama 3 8B	0	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0143153036821574	0.0059112972683377	0.0143153036821574	0.0059112972683377	0.5826666666666667	0.5826666666666667	0.588931616962169	0.588931616962169	0.0125612343163424	0.0125612343163424	0.6	0.6	0.0156890105889156	0.0156890105889156	50.0	50	26.028666666666663	generation/results/llama3/Meta-Llama-3-8B_context_only_generation_condition_summary.tsv	llama3	Llama 3 8B	0	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0620008315641156	0.0377893528016674	0.0620008315641156	0.0377893528016674	0.726	0.726	0.7573136552730659	0.7573136552730659	0.0711807271130935	0.0711807271130935	0.7666666666666667	0.7666666666666667	0.0351477714591182	0.0351477714591182	50.0	50	25.781333333333333	generation/results/llama3/Meta-Llama-3-8B_context_not_generation_condition_summary.tsv	llama3	Llama 3 8B	0	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0603102511092191	0.0217117865880329	0.0603102511092191	0.0217117865880329	0.6353333333333333	0.6353333333333333	0.6276796910715412	0.6276796910715412	0.0610749412236397	0.0610749412236397	0.6	0.6	0.03820339335794	0.03820339335794	50.0	50	25.578666666666667	generation/results/llama3/Meta-Llama-3-8B_context_not_generation_condition_summary.tsv	llama3	Llama 3 8B	0	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0201674695486973	0.0091197069379545	0.0201674695486973	0.0091197069379545	0.7185	0.7185	0.7161436189787755	0.7161436189787755	0.0200045236117469	0.0200045236117469	0.825	0.825	0.0247259659095545	0.0247259659095545	50.0	50	25.7065	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_just_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0204962584269062	0.0078782967405536	0.0204962584269062	0.0078782967405536	0.6735	0.6735	0.6725038439217765	0.6725038439217765	0.0201952740663538	0.0201952740663538	0.65	0.65	0.0154700949198376	0.0154700949198376	50.0	50	25.896	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_just_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0479313656456044	0.0163751608231266	0.0479313656456044	0.0163751608231266	0.762	0.762	0.7634441961281977	0.7634441961281977	0.0477685963435513	0.0477685963435513	0.7	0.7	0.0558786657934793	0.0558786657934793	50.0	50	26.700666666666667	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_only_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0415235421695667	0.014508559275896	0.0415235421695667	0.014508559275896	0.724	0.724	0.720527847662313	0.720527847662313	0.0411938066153808	0.0411938066153808	0.8333333333333334	0.8333333333333334	0.0520265167204807	0.0520265167204807	50.0	50	26.36466666666667	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_only_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.2100823203870948	0.069920168964892	0.2100823203870948	0.069920168964892	0.8786666666666667	0.8786666666666667	0.8799338572985611	0.8799338572985611	0.2094321893941123	0.2094321893941123	0.9	0.9	0.1985035906698029	0.1985035906698029	50.0	50	26.192	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_not_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.3027679247698123	0.0855760260891963	0.3027679247698123	0.0855760260891963	0.8646666666666667	0.8646666666666667	0.8629450410235731	0.8629450410235731	0.3030654573401494	0.3030654573401494	0.7333333333333333	0.7333333333333333	0.2735814856737015	0.2735814856737015	50.0	50	26.126	generation/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_not_generation_condition_summary.tsv	llama3_instruct	Llama 3 8B Inst.	1	not	not (control)	S' samples
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0119397291460372	0.006680049547335	0.0119397291460372	0.006680049547335	0.615	0.615	0.6238209717339112	0.6238209717339112	0.0123721097779184	0.0123721097779184	0.625	0.625	0.0177808473664628	0.0177808473664628	50.0	50	26.9185	generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	just	just	S samples
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0076298427119038	0.0045026225428426	0.0076298427119038	0.0045026225428426	0.5805	0.5805	0.5771463469559983	0.5771463469559983	0.0070763211192069	0.0070763211192069	0.55	0.55	0.0135733521560051	0.0135733521560051	50.0	50	26.475	generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	just	just	S' samples
only	discourse_particle	only	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0123221488244571	0.005857289054177	0.0123221488244571	0.005857289054177	0.5913333333333334	0.5913333333333334	0.591756705902955	0.591756705902955	0.0108352193510855	0.0108352193510855	0.7	0.7	0.0180499253346966	0.0180499253346966	50.0	50	26.314	generation/results/gemma2/gemma-2-9b_context_only_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	only	only	S samples
only	discourse_particle	only	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0158186781786039	0.0058660507202148	0.0158186781786039	0.0058660507202148	0.602	0.602	0.6067929389708907	0.6067929389708907	0.0166532500665413	0.0166532500665413	0.5333333333333333	0.5333333333333333	0.0052940983355771	0.0052940983355771	50.0	50	26.120666666666665	generation/results/gemma2/gemma-2-9b_context_only_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	only	only	S' samples
not	meaning_control	not	P	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0581689646975885	0.0298384087426321	0.0581689646975885	0.0298384087426321	0.7153333333333334	0.7153333333333334	0.7317401514328974	0.7317401514328974	0.0609743550791761	0.0609743550791761	0.6666666666666666	0.6666666666666666	0.0509341338074701	0.0509341338074701	50.0	50	26.491333333333333	generation/results/gemma2/gemma-2-9b_context_not_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	not	not (control)	S samples
not	meaning_control	not	P_prime	own_context_log_prob_advantage_per_token	1500	30	50.0	0.0792830389626119	0.0289001504580179	0.0792830389626119	0.0289001504580179	0.6853333333333333	0.6853333333333333	0.6791034306518788	0.6791034306518788	0.0798051884455565	0.0798051884455565	0.6333333333333333	0.6333333333333333	0.0140215086008889	0.0140215086008889	50.0	50	26.36466666666667	generation/results/gemma2/gemma-2-9b_context_not_generation_condition_summary.tsv	gemma2	Gemma 2 9B	2	not	not (control)	S' samples
