model_dir	condition	generated_from	mean_delta_from_items	mean_delta_from_condition_summary	abs_diff
gemma2	just	P	0.011939729146037196	0.0119397291460372	3.469446951953614e-18
gemma2	just	P_prime	0.0076298427119038045	0.0076298427119038	4.336808689942018e-18
gemma2	not	P	0.058168964697588546	0.0581689646975885	4.85722573273506e-17
gemma2	not	P_prime	0.07928303896261193	0.0792830389626119	4.163336342344337e-17
gemma2	only	P	0.012322148824457157	0.0123221488244571	5.724587470723463e-17
gemma2	only	P_prime	0.015818678178603895	0.0158186781786039	6.938893903907228e-18
gemma2_it	just	P	-0.0005763948060990273	-0.000576394806099	2.7321894746634712e-17
gemma2_it	just	P_prime	0.04406612932444031	0.0440661293244403	1.3877787807814457e-17
gemma2_it	not	P	0.23390371931184745	0.2339037193118474	5.551115123125783e-17
gemma2_it	not	P_prime	0.3869259368363766	0.3869259368363767	1.1102230246251565e-16
gemma2_it	only	P	0.03677505289613823	0.0367750528961382	2.7755575615628914e-17
gemma2_it	only	P_prime	0.06430057440612102	0.064300574406121	2.7755575615628914e-17
llama3	just	P	0.022517007675845996	0.022517007675846	3.469446951953614e-18
llama3	just	P_prime	0.01157656548236004	0.01157656548236	3.9898639947466563e-17
llama3	not	P	0.06200083156411562	0.0620008315641156	2.0816681711721685e-17
llama3	not	P_prime	0.060310251109219136	0.0603102511092191	3.469446951953614e-17
llama3	only	P	0.01472694002735551	0.0147269400273555	8.673617379884035e-18
llama3	only	P_prime	0.014315303682157426	0.0143153036821574	2.6020852139652106e-17
llama3_instruct	just	P	0.02016746954869733	0.0201674695486973	3.122502256758253e-17
llama3_instruct	just	P_prime	0.02049625842690616	0.0204962584269062	4.163336342344337e-17
llama3_instruct	not	P	0.21008232038709476	0.2100823203870948	2.7755575615628914e-17
llama3_instruct	not	P_prime	0.30276792476981224	0.3027679247698123	5.551115123125783e-17
llama3_instruct	only	P	0.04793136564560445	0.0479313656456044	4.85722573273506e-17
llama3_instruct	only	P_prime	0.04152354216956669	0.0415235421695667	6.938893903907228e-18
olmo2	just	P	0.013835011450641818	0.0138350114506418	1.9081958235744878e-17
olmo2	just	P_prime	0.013929173923068033	0.013929173923068	3.2959746043559335e-17
olmo2	not	P	0.045303665849376805	0.0453036658493768	6.938893903907228e-18
olmo2	not	P_prime	0.09167842833769636	0.0916784283376964	4.163336342344337e-17
olmo2	only	P	0.020113483599242605	0.0201134835992426	3.469446951953614e-18
olmo2	only	P_prime	0.0190826364651263	0.0190826364651263	0.0
olmo2_instruct	just	P	0.015308488434924957	0.0153084884349249	5.724587470723463e-17
olmo2_instruct	just	P_prime	0.027515544525577567	0.0275155445255775	6.591949208711867e-17
olmo2_instruct	not	P	0.24717941399939294	0.2471794139993929	5.551115123125783e-17
olmo2_instruct	not	P_prime	0.3151221483823216	0.3151221483823216	0.0
olmo2_instruct	only	P	0.02243086561185098	0.0224308656118509	7.979727989493313e-17
olmo2_instruct	only	P_prime	0.04628672873942584	0.0462867287394258	4.163336342344337e-17
qwen35_instruct	just	P	0.020380477589691644	0.0203804775896916	4.5102810375396984e-17
qwen35_instruct	just	P_prime	0.01841262543924405	0.018412625439244	4.85722573273506e-17
qwen35_instruct	not	P	0.2529948622016931	0.2529948622016931	0.0
qwen35_instruct	not	P_prime	0.32291265915107586	0.3229126591510759	5.551115123125783e-17
qwen35_instruct	only	P	0.034843319105492446	0.0348433191054924	4.85722573273506e-17
qwen35_instruct	only	P_prime	0.036844225647498126	0.0368442256474981	2.7755575615628914e-17
qwen3_5	just	P	0.014058660630701469	0.0140586606307015	3.122502256758253e-17
qwen3_5	just	P_prime	0.015619087955245626	0.0156190879552456	2.6020852139652106e-17
qwen3_5	not	P	0.08718031757722487	0.0871803175772249	2.7755575615628914e-17
qwen3_5	not	P_prime	0.13766806671394016	0.1376680667139402	2.7755575615628914e-17
qwen3_5	only	P	0.014401687106670604	0.0144016871066706	5.204170427930421e-18
qwen3_5	only	P_prime	0.018120647449848537	0.0181206474498485	3.8163916471489756e-17
