summary_path	source_dataset	dataset_role	word	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw	source_row_index	id	subset
generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0119397291460372	0.006680049547335	0.0119397291460372	0.006680049547335	0.615	0.615	0.6238209717339112	0.6238209717339112	0.0123721097779184	0.0123721097779184	0.625	0.625	0.0177808473664628	0.0177808473664628	50.0	50	26.9185			
generation/results/gemma2/gemma-2-9b_context_just_generation_condition_summary.tsv	just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.0076298427119038	0.0045026225428426	0.0076298427119038	0.0045026225428426	0.5805	0.5805	0.5771463469559983	0.5771463469559983	0.0070763211192069	0.0070763211192069	0.55	0.55	0.0135733521560051	0.0135733521560051	50.0	50	26.475			
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0100288564711983	0.0075551915296259	0.0100288564711983	0.0075551915296259	0.62	0.62	0.68983747154108	0.68983747154108	0.0142100631901076	0.0142100631901076	0.0	0.0	-0.0183454241071427	-0.0183454241071427	50.0	50	30.66	0.0	1157.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0002445971074272	-0.0010982962215648	0.0002445971074272	-0.0010982962215648	0.5	0.5	0.5041674425192071	0.5041674425192071	-0.0007401316496026	-0.0007401316496026	0.0	0.0	-0.0300798416137695	-0.0300798416137695	50.0	50	27.38	0.0	1157.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0152680413223997	0.0020036485460068	0.0152680413223997	0.0020036485460068	0.52	0.52	0.6425508098005661	0.6425508098005661	0.0324969851809209	0.0324969851809209	1.0	1.0	0.0188326502955236	0.0188326502955236	50.0	50	29.12	1.0	5467.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0166277666586601	0.0073929954977596	0.0166277666586601	0.0073929954977596	0.58	0.58	0.5121875307534856	0.5121875307534856	0.0051906104743067	0.0051906104743067	1.0	1.0	0.0081140854779413	0.0081140854779413	50.0	50	29.76	1.0	5467.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0319838586828754	0.0257318670099431	0.0319838586828754	0.0257318670099431	0.74	0.74	0.759145890927951	0.759145890927951	0.0285908982259744	0.0285908982259744	1.0	1.0	0.0887044270833334	0.0887044270833334	50.0	50	25.5	2.0	2485.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	-0.0037319200992265	-0.0123252868652343	-0.0037319200992265	-0.0123252868652343	0.4	0.4	0.4057381435503551	0.4057381435503551	-0.0070489021635199	-0.0070489021635199	0.0	0.0	-0.0426155271984283	-0.0426155271984283	50.0	50	25.5	2.0	2485.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	50	1	50.0	0.0594934702084016	0.0481852778682	0.0594934702084016	0.0481852778682	0.68	0.68	0.6574172996945556	0.6574172996945556	0.0583771627863985	0.0583771627863985	0.0	0.0	-0.0049722762334916	-0.0049722762334916	50.0	50	25.66	3.0	2798.0	h
generation/results/gemma2/gemma-2-9b_context_just_generation_item_condition_summary.tsv	just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	50	1	50.0	0.0204181715388125	0.01718697364309	0.0204181715388125	0.01718697364309	0.68	0.68	0.6458322917018261	0.6458322917018261	0.0106597478534345	0.0106597478534345	1.0	1.0	0.0066212245396204	0.0066212245396204	50.0	50	26.86	3.0	2798.0	h
