left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers	hypergeom_q_value_bh
nonexclusive_just	only	pooled	attn	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	8	7		1.0
nonexclusive_just	only	pooled	attn	3	all	all	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	8,7,9	7,12,4	7	0.45138248847926266
nonexclusive_just	only	pooled	attn	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	8,7,9,4,12	7,12,4,6,5	4,7,12	0.054316303829651996
nonexclusive_just	only	pooled	attn	10	all	all	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	8,7,9,4,12,6,3,10,11,5	7,12,4,6,5,3,9,10,13,8	3,4,5,6,7,8,9,10,12	2.0554239009527495e-05
nonexclusive_just	only	pooled	mlp	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	9		1.0
nonexclusive_just	only	pooled	mlp	3	all	all	0	0.0	0.0	3	3	32	0.28125	0.09375	0.04918032786885246	0.0	1.0	7,8,4	9,6,15		1.0
nonexclusive_just	only	pooled	mlp	5	all	all	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	7,8,4,12,5	9,6,15,5,7	5,7	0.32671221992690297
nonexclusive_just	only	pooled	mlp	10	all	all	6	0.6	0.42857142857142855	10	10	32	3.125	0.3125	0.18518518518518517	1.92	0.026840890968907606	7,8,4,12,5,9,6,28,3,21	9,6,15,5,7,4,3,19,16,26	3,4,5,6,7,9	0.06441813832537827
nonexclusive_just	only	pooled	resid	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	9	12		1.0
nonexclusive_just	only	pooled	resid	3	all	all	0	0.0	0.0	3	3	32	0.28125	0.09375	0.04918032786885246	0.0	1.0	9,11,10	12,7,8		1.0
nonexclusive_just	only	pooled	resid	5	all	all	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	9,11,10,8,12	12,7,8,10,11	8,10,11,12	0.0027014142698236127
nonexclusive_just	only	pooled	resid	10	all	all	10	1.0	1.0	10	10	32	3.125	0.3125	0.18518518518518517	3.2	1.5500934396325412e-08	9,11,10,8,12,7,6,13,5,14	12,7,8,10,11,9,6,13,5,14	5,6,7,8,9,10,11,12,13,14	1.8601121275590495e-07
