pair_id,excluded_question,just_sentence,no_just_sentence,just_questions,no_just_questions,avg_just_cosine,avg_just_euclidean,avg_no_just_cosine,avg_no_just_euclidean
pair_0,Does she eat other things?,"Betsy's picky, she just eats chicken nuggets.","Betsy's picky, she eats chicken nuggets.","[""2 questions. What is the relationship between Dave and Sally?"", ""\""What's Betsy's favorite food?"", ""3 questions:\n1. How many chickens does Betsy eat?\n2. How many chickens does it take"", ""\""What does Betsy eat?"", ""\""What about the other animals?""]","[""\""Does she eat fish?"", ""\""Betsy eats chicken nuggets?"", ""\""Betsy's picky, she eats chicken nuggets. How many chicken nuggets does Betsy eat"", ""\""What does Betsy eat?"", ""5 questions:\n1. How many times does Dave say \""Betsy\""?\n2. How many times does""]",0.622534600615823,0.2271912395954132,0.5676645233100052,0.22615272402763367
pair_1,Did she go anywhere else?,"Despite claiming she went on an extravagant European trip, Sarah just went to Spain.","Despite claiming she went on an extravagant European trip, Sarah went to Spain.","[""\""Do you think Sarah went on an extravagant European trip?"", ""\""Is that true?"", ""3 questions to try and work out what Dave's first sentence means.\nThis is a good"", ""\""Did Sarah go to Spain?"", ""2 questions.\n1) Do you think Sarah is telling the truth?\n2) Do you""]","[""\""Did Sarah go to Spain?"", ""\""What was the main point of Sarah's story?"", ""3 questions in a row. The first is \""Where did Sarah go on her trip?"", ""2 questions, the first of which is \""Did Sarah go on an extravagant European trip?"", ""2 questions:\n1. Did Sarah really go to Spain?\n2. Was it really an extravagant""]",0.6813609543719306,0.22806015014648437,0.6959399744716152,0.24095723927021026
pair_2,Does he drink anything else?,"He won't want any, John just drinks distilled water.","He won't want any, John drinks distilled water.","[""\""What does John drink?"", ""\""Does John drink distilled water?"", ""2 questions. What is distilled water?"", ""\""What's that?"", ""\""Why does he drink distilled water?""]","[""\""What is distilled water?"", ""\""Why does John drink distilled water?"", ""\""What is distilled water?"", ""\""John drinks distilled water?"", ""\""What do you mean by distilled water?""]",0.5165625223202598,0.1968266636133194,0.5813654998768099,0.21448079943656922
pair_3,Will she try to become an astronaut?,Yvonne just thinks about becoming an astronaut.,Yvonne thinks about becoming an astronaut.,"[""\""Does Yvonne want to become an astronaut?"", ""\""Who is Yvonne?"", ""\""Does Yvonne think about becoming an astronaut?"", ""\""Why did you say that?"", ""2 questions.\n1. What is Yvonne's hobby?\n2. What is Dave's hobby?\nDave says \""""]","[""1 question.\n1. Is Dave's statement true or false?\n2. Is Sally's question true or false?\n3."", ""\""Does Yvonne think about becoming an astronaut?"", ""2 questions. Can you work out what the questions are?"", ""1 question and 1 statement.\n1. Who does Yvonne think about becoming an astronaut?\n2. Why does Y"", ""2 questions. \""What does Dave say?""]",0.6253592543133306,0.22382667064666747,0.7174772089389927,0.24840989708900452
pair_4,Does he care about other things?,Ian just cares about playing tennis.,Ian cares about playing tennis.,"[""\""Does Ian care about playing tennis?"", ""\""Is Ian interested in playing tennis?"", ""2 questions:\n1. \""Do you think Ian just cares about playing tennis?\""\n2. \""Do you think Ian cares about playing tennis"", ""\""Does Ian care about playing tennis?"", ""\""Is Ian a tennis player?""]","[""2 questions:\n1. Is Ian interested in playing tennis?\n2. Is Ian interested in playing tennis?\nWhat is the answer to each question"", ""\""Does Ian care about playing tennis?"", ""\""Does Ian care about playing tennis?"", ""\""Who is Ian?"", ""\""Does Ian care about playing tennis?""]",0.6575776579309723,0.2386443167924881,0.6496800066968756,0.233431476354599
pair_5,Does she do other sports?,My mom just runs and skis.,My mom runs and skis.,"[""\""Is your mom a jogger?"", ""\""What's your mom's name?"", ""\""Runs what?"", ""\""What do you mean?"", ""2 questions.\n1. Who runs and skis?\n2. What does Dave's mom do?\nDave says \""My mom runs""]","[""3 questions.\n1. What does your mom do?\n2. What is running and skiing?\n3. Where does your mom go?"", ""2 questions which I'll write below.\nWhat is the difference between the two questions?\nWhat is the difference between \""runs\"" and \"""", ""\""What does your mom run for?"", ""\""What about your dad?"", ""2 questions. The first is \""What does your mom do?""]",0.6740847425830739,0.2354378342628479,0.7422348668713515,0.24489277005195617
pair_6,Did it eat more?,The dog ate just two times today.,The dog ate two times today.,"[""2 questions. What is the dog's name?"", ""2 times what?"", ""2 questions. What are they?"", ""4 questions. \""How many times did the dog eat today?"", ""\""The dog ate how many times today?""]","[""2 + 2 =?"", ""4 x 2 =?"", ""2x2 =?"", ""2 times what?"", ""2 times what?""]",0.6135398339669822,0.21876443028450013,0.6527028852553958,0.2414822280406952
pair_7,Did you order anything else?,"What is this, I just ordered a salad.","What is this, I ordered a salad.","[""\""Did you say you ordered a salad?"", ""\""What do you mean?"", ""\""Dave, what did you just order?"", ""\""Dave, how did you know I was going to order a salad?"", ""\""What do you mean?""]","[""\""What is this, I ordered a salad.\"""", ""\""Who are you?"", ""\""What is this, I ordered a salad.\"""", ""\""What is this, I ordered a salad.\""\nThen Dave says  \""What is this, I ordered a salad.\""\nThen"", ""20 questions. Dave answers yes or no. Sally is trying to figure out what Dave ordered. What is the minimum number of""]",0.5545552571729262,0.2143718868494034,0.6394394274444655,0.24221950769424438
pair_8,Did anyone else come?,Just Alice came to the party last night.,Alice came to the party last night.,"[""2 questions:\n1. Is \""just\"" used as an adverb?\n2. Is \""just\"" used as an adjective"", ""2 questions. The first is \""Did you say that 'Just Alice came to the party last night'?"", ""2 questions.\n1. Which one is correct? \""Just Alice came to the party last night.\"" or \""Just Alice came"", ""3 questions to Dave. Dave answers yes or no.\nThen Sally says \""I think I know who came to the party last"", ""\""Who is Alice?""]","[""4 questions. In each case, you'll find out what Sally is thinking.\nWhat is Sally thinking?\nA. She's thinking"", ""2 questions. The first one is \""Is Alice a girl?"", ""\""Who is Alice?"", ""2 questions: \""How many people came to the party last night?"", ""3 questions. What are they?""]",0.7613818975440305,0.275764936208725,0.7155619615247192,0.23881566822528838
pair_9,Were more expected to come?,Just five kids came to my niece's birthday party.,Five kids came to my niece's birthday party.,"[""5 x 5 =?"", ""6+5=?"", ""5 x 5 =?"", ""5 kids to go to her son's birthday party. How many kids are there in total?"", ""5 kids came to your niece's birthday party?""]","[""\""Did you bring the birthday cake?"", ""\""Did your niece have a birthday party?"", ""\""Did you invite them all?"", ""5 kids came to my niece's birthday party?"", ""5x5 =?""]",0.7260411119242463,0.24465931355953216,0.6775492954569937,0.22812319099903106
