particle	train_fold	layer_index	position_label	position_order	corruption_mode	patch_scope	onset_tokens	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	7	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.20952692414053	0.009231677469118831	0.1289357297308681	0.1515567801641379	279	15	restoration	0.1289357297308681
only	0	8	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.20916946065136	0.009589140958288948	0.12707938049291662	0.1544023350819687	279	15	restoration	0.12707938049291662
only	0	6	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2117561814334663	0.007002420176182338	0.09935463213211314	0.12261448464885488	279	15	restoration	0.09935463213211314
only	0	9	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2104240523025216	0.008334549307126916	0.0974586264586709	0.13616017354813031	279	15	restoration	0.0974586264586709
only	0	10	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.210725748284761	0.008032853324887724	0.09399509044198864	0.1239278929220125	279	15	restoration	0.09399509044198864
only	0	11	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2114505312861743	0.007308070323474479	0.08834819261822771	0.11740352512792321	279	15	restoration	0.08834819261822771
only	0	12	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.210927684078608	0.007830917531040675	0.08782685914019712	0.11463183344021492	279	15	restoration	0.08782685914019712
only	0	5	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.213568966426622	0.005189635183026699	0.07434402748035625	0.09732546972242383	279	15	restoration	0.07434402748035625
only	0	4	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2141144887608832	0.004644112848765327	0.06554554380439002	0.0898312797404515	279	15	restoration	0.06554554380439002
only	0	13	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.213017215545693	0.005741386063955443	0.06164170177923747	0.08316977758289044	279	15	restoration	0.06164170177923747
only	0	14	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.21539823429474	0.0033603673149087106	0.04476587124827535	0.062104396212319925	279	15	restoration	0.04476587124827535
only	0	3	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.215703413635538	0.0030551879741108163	0.0379137231455725	0.05649625705360079	279	15	restoration	0.0379137231455725
only	0	15	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.216610637527047	0.0021479640826019037	0.02962748756338544	0.04443842891118867	279	15	restoration	0.02962748756338544
only	0	16	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.216881669539526	0.001876932070122437	0.027006602200434483	0.041030318526433456	279	15	restoration	0.027006602200434483
only	0	19	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2175991149018164	0.001159486707832234	0.01756536543567117	0.029838102855525787	279	15	restoration	0.01756536543567117
only	0	18	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2176198552770496	0.0011387463325990025	0.0171647170102617	0.030914055996304222	279	15	restoration	0.0171647170102617
only	0	2	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2174695255988204	0.0012890760108282553	0.016405205830772554	0.03480058232128899	279	15	restoration	0.016405205830772554
only	0	22	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.2178125497747563	0.0009460518348925575	0.015041478391240787	0.025845339275178084	279	15	restoration	0.015041478391240787
only	0	17	utterance_final	0	prompt_without	utterance_final	1	-2.1447624632750726	-2.2187586016096486	-2.217556119746093	0.0012024818635553416	0.014718462368937653	0.030869808203045614	279	15	restoration	0.014718462368937653
