particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
just	0	1	4	resid	0	utterance_final	0	prompt_without	28	27	-1.1996256510416667	-2.1647135416666665	-2.1708984375	-0.006184895833333481	-0.006408634792141145	0.0
just	0	7	193	resid	0	utterance_final	0	prompt_without	34	33	-0.5195713539918264	-0.6509771082136366	-0.6497425900565253	0.0012345181571112862	0.009394703941407656	0.009394703941407656
just	0	22	3	resid	0	utterance_final	0	prompt_without	40	39	-0.8284759862082345	-1.4342937299183436	-1.4346599408558436	-0.0003662109375	-0.000604490279959902	0.0
just	0	25	51	resid	0	utterance_final	0	prompt_without	38	37	-0.5176895544642494	-0.7287058063915798	-0.7280501865205311	0.0006556198710486738	0.003106963871552678	0.003106963871552678
just	0	1	4	resid	1	utterance_final	0	prompt_without	28	27	-1.1996256510416667	-2.1647135416666665	-2.1712239583333335	-0.006510416666666963	-0.006745931360148719	0.0
just	0	7	193	resid	1	utterance_final	0	prompt_without	34	33	-0.5195713539918264	-0.6509771082136366	-0.6486255162292056	0.002351591984431023	0.017895654557574272	0.017895654557574272
just	0	22	3	resid	1	utterance_final	0	prompt_without	40	39	-0.8284759862082345	-1.4342937299183436	-1.4327067988259452	0.0015869310923983804	0.002619485990423129	0.002619485990423129
just	0	25	51	resid	1	utterance_final	0	prompt_without	38	37	-0.5176895544642494	-0.7287058063915798	-0.7263610022408622	0.002344804150717583	0.011111959999768571	0.011111959999768571
just	0	1	4	resid	2	utterance_final	0	prompt_without	28	27	-1.1996256510416667	-2.1647135416666665	-2.1648763020833335	-0.00016276041666696273	-0.00016864828400401708	0.0
just	0	7	193	resid	2	utterance_final	0	prompt_without	34	33	-0.5195713539918264	-0.6509771082136366	-0.6469624638557434	0.004014644357893227	0.030551511093772875	0.030551511093772875
just	0	22	3	resid	2	utterance_final	0	prompt_without	40	39	-0.8284759862082345	-1.4342937299183436	-1.412617462021964	0.021676267896379553	0.03578017996572894	0.03578017996572894
just	0	25	51	resid	2	utterance_final	0	prompt_without	38	37	-0.5176895544642494	-0.7287058063915798	-0.7231490384964716	0.005556767895108172	0.02633336458379427	0.02633336458379427
