id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-95.328125	-96.19189453125	-2.1665482954545454	-2.2370208030523258	44	43	-68.29550802707672	-67.80867874622345	-1.7511668724891467	-1.7386840704159858	39	39	-325.43604266643524	-325.79979932308197	-2.127032958604152	-2.143419732388697	153	152	True	0.07047250759778034	False
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-33.226722717285156	-35.840248107910156	-1.4446401181428328	-1.629102186723189	23	22	-23.172941207885742	-23.60953998565674	-1.9310784339904785	-1.9674616654713948	12	12	-136.17046356201172	-139.23645687103271	-2.2323026813444544	-2.320607614517212	61	60	True	0.1844620685803562	False
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-101.18475818634033	-102.86635303497314	-1.8068706818989344	-1.9049324636106137	56	54	-19.572516441345215	-19.814316749572754	-1.1513244965497185	-1.165548044092515	17	17	-265.05643606185913	-266.9851031303406	-1.778902255448719	-1.816225191362861	149	147	True	0.09806178171167934	False
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-35.318748474121094	-36.259178161621094	-1.6818451654343378	-1.8129589080810546	21	20	-61.693856716156006	-61.19741249084473	-2.682341596354609	-2.660757064819336	23	23	-136.76639127731323	-137.22111892700195	-2.5804979486285515	-2.6388676716731143	53	52	True	0.13111374264671682	False
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-18.436376571655273	-13.203252792358398	-1.8436376571655273	-1.467028088039822	10	9	-4.53447151184082	-9.19681453704834	-0.5038301679823134	-1.02186828189426	9	9	-68.98017120361328	-68.42544269561768	-2.463577542986189	-2.5342756553932473	28	27	True	-0.3766095691257052	False
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-18.618273735046387	-20.91727590560913	-0.8865844635736375	-1.0458637952804566	21	20	-13.086319923400879	-13.122366428375244	-1.00663999410776	-1.0094128021827111	13	13	-94.24531078338623	-96.5809178352356	-2.0052193783699197	-2.0995851703312085	47	46	True	0.15927933170681907	False
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-19.071060180664062	-13.688248634338379	-1.467004629281851	-1.140687386194865	13	12	-17.88058567047119	-16.601984977722168	-1.1175366044044495	-1.0376240611076355	16	16	-99.64027309417725	-92.97593021392822	-1.916159097964947	-1.8230574551750631	52	51	True	-0.32631724308698606	False
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-51.03521156311035	-54.45727252960205	-1.7598348814865639	-1.9449025903429304	29	28	-29.264833211898804	-29.583373069763184	-1.9509888807932536	-1.9722248713175456	15	15	-184.39312958717346	-188.09725904464722	-2.1194612596226836	-2.187177430751712	87	86	True	0.1850677088563666	False
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-25.72809600830078	-24.276968955993652	-1.1186128699261209	-1.1034985889088025	23	22	-10.38207721710205	-11.17404556274414	-0.9438252015547319	-1.015822323885831	11	11	-93.74084949493408	-93.08308029174805	-1.9944861594666825	-2.0235452237336533	47	46	True	-0.015114281017318376	False
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	-11.353335857391357	-14.160251140594482	-0.7095834910869598	-0.9440167427062989	16	15	-3.786105155944824	-3.7591123580932617	-0.473263144493103	-0.4698890447616577	8	8	-150.6358208656311	-153.41574335098267	-1.9067825426029255	-1.9668685044997778	79	78	True	0.23443325161933903	False
