left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers
exclusive_just	only	fold_pair	attn	1	0	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	2	7	
exclusive_just	only	fold_pair	attn	3	0	0	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	2,1,6	7,6,11	6
exclusive_just	only	fold_pair	attn	5	0	0	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	2,1,6,7,4	7,6,11,5,3	6,7
exclusive_just	only	fold_pair	attn	10	0	0	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	2,1,6,7,4,11,5,3,8,10	7,6,11,5,3,13,10,2,12,1	1,2,3,5,6,7,10,11
exclusive_just	only	fold_pair	attn	1	0	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	2	6	
exclusive_just	only	fold_pair	attn	3	0	1	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	2,1,6	6,3,5	6
exclusive_just	only	fold_pair	attn	5	0	1	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	2,1,6,7,4	6,3,5,2,7	2,6,7
exclusive_just	only	fold_pair	attn	10	0	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	2,1,6,7,4,11,5,3,8,10	6,3,5,2,7,1,11,4,9,10	1,2,3,4,5,6,7,10,11
exclusive_just	only	fold_pair	attn	1	1	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	2	7	
exclusive_just	only	fold_pair	attn	3	1	0	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	2,7,1	7,6,11	7
exclusive_just	only	fold_pair	attn	5	1	0	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	2,7,1,3,4	7,6,11,5,3	3,7
exclusive_just	only	fold_pair	attn	10	1	0	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	2,7,1,3,4,5,6,8,12,11	7,6,11,5,3,13,10,2,12,1	1,2,3,5,6,7,11,12
