left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers
exclusive_just	only	fold_pair	attn	1	0	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	12	
exclusive_just	only	fold_pair	attn	3	0	0	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	6,3,5	12,6,7	6
exclusive_just	only	fold_pair	attn	5	0	0	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	6,3,5,4,7	12,6,7,13,3	3,6,7
exclusive_just	only	fold_pair	attn	10	0	0	7	0.7	0.5384615384615384	10	10	32	3.125	0.3125	0.18518518518518517	2.24	0.0030291305959923268	6,3,5,4,7,12,10,13,2,8	12,6,7,13,3,5,4,11,9,1	3,4,5,6,7,12,13
exclusive_just	only	fold_pair	attn	1	0	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	6	7	
exclusive_just	only	fold_pair	attn	3	0	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,3,5	7,6,3	3,6
exclusive_just	only	fold_pair	attn	5	0	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	6,3,5,4,7	7,6,3,5,12	3,5,6,7
exclusive_just	only	fold_pair	attn	10	0	1	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	6,3,5,4,7,12,10,13,2,8	7,6,3,5,12,4,13,9,11,2	2,3,4,5,6,7,12,13
exclusive_just	only	fold_pair	attn	1	1	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	3	12	
exclusive_just	only	fold_pair	attn	3	1	0	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	3,4,7	12,6,7	7
exclusive_just	only	fold_pair	attn	5	1	0	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	3,4,7,5,8	12,6,7,13,3	3,7
exclusive_just	only	fold_pair	attn	10	1	0	7	0.7	0.5384615384615384	10	10	32	3.125	0.3125	0.18518518518518517	2.24	0.0030291305959923268	3,4,7,5,8,2,11,6,9,10	12,6,7,13,3,5,4,11,9,1	3,4,5,6,7,9,11
exclusive_just	only	fold_pair	attn	1	1	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	3	7	
exclusive_just	only	fold_pair	attn	3	1	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	3,4,7	7,6,3	3,7
exclusive_just	only	fold_pair	attn	5	1	1	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	3,4,7,5,8	7,6,3,5,12	3,5,7
exclusive_just	only	fold_pair	attn	10	1	1	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	3,4,7,5,8,2,11,6,9,10	7,6,3,5,12,4,13,9,11,2	2,3,4,5,6,7,9,11
exclusive_just	only	fold_pair	mlp	1	0	0	1	1.0	1.0	1	1	32	0.03125	0.03125	0.015873015873015872	32.0	0.03125	6	6	6
exclusive_just	only	fold_pair	mlp	3	0	0	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,7,8	6,15,7	6,7
exclusive_just	only	fold_pair	mlp	5	0	0	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	6,7,8,4,3	6,15,7,16,14	6,7
exclusive_just	only	fold_pair	mlp	10	0	0	5	0.5	0.3333333333333333	10	10	32	3.125	0.3125	0.18518518518518517	1.6	0.12970769577990163	6,7,8,4,3,12,13,11,15,17	6,15,7,16,14,3,8,18,20,24	3,6,7,8,15
exclusive_just	only	fold_pair	mlp	1	0	1	1	1.0	1.0	1	1	32	0.03125	0.03125	0.015873015873015872	32.0	0.03125	6	6	6
exclusive_just	only	fold_pair	mlp	3	0	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	6,7,8	6,9,7	6,7
