left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers	hypergeom_q_value_bh
exclusive_just	only	pooled	attn	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	3	6		1.0
exclusive_just	only	pooled	attn	3	all	all	0	0.0	0.0	3	3	32	0.28125	0.09375	0.04918032786885246	0.0	1.0	3,4,5	6,7,12		1.0
exclusive_just	only	pooled	attn	5	all	all	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	3,4,5,7,6	6,7,12,3,5	3,5,6,7	0.0027014142698236127
exclusive_just	only	pooled	attn	10	all	all	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	3,4,5,7,6,10,8,12,2,13	6,7,12,3,5,13,4,11,9,10	3,4,5,6,7,10,12,13	0.0009873475173083435
exclusive_just	only	pooled	mlp	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	6		1.0
exclusive_just	only	pooled	mlp	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,6,8	6,7,15	6,7	0.031037887902658285
exclusive_just	only	pooled	mlp	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	7,6,8,4,3	6,7,15,3,14	3,6,7	0.031037887902658285
exclusive_just	only	pooled	mlp	10	all	all	5	0.5	0.3333333333333333	10	10	32	3.125	0.3125	0.18518518518518517	1.6	0.12970769577990163	7,6,8,4,3,13,11,12,15,17	6,7,15,3,14,16,18,9,20,4	3,4,6,7,15	0.19456154366985245
exclusive_just	only	pooled	resid	1	all	all	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	8		1.0
exclusive_just	only	pooled	resid	3	all	all	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,8,6	8,7,9	7,8	0.031037887902658285
exclusive_just	only	pooled	resid	5	all	all	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	7,8,6,9,10	8,7,9,12,11	7,8,9	0.031037887902658285
exclusive_just	only	pooled	resid	10	all	all	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	7,8,6,9,10,11,5,12,4,13	8,7,9,12,11,6,10,13,5,14	5,6,7,8,9,10,11,12,13	4.110847801905499e-05
