id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode	removal_log_prob_delta_per_token	removal_upper_iqr_outlier
3	not	Would you mind waiting a while?__eou__Well, how long will it be?	I'm not sure. But I'll get a table ready as fast as I can.	I'm sure. But I'll get a table ready as fast as I can.	OK. We'll wait.	-95.34719467163086	-100.36804389953613	-3.972799777984619	-4.363827995632006	24	23	-37.6715087890625	-40.82360076904297	-3.1392923990885415	-3.4019667307535806	12	12	-240.92157173156738	-249.18027305603027	-3.8241519322471014	-4.019036662194036	63	62	True	False	0.3910282176473867	False
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-187.76627612113953	-192.42252612113953	-4.2674153663895344	-4.474942467933477	44	43	-139.99960494041443	-140.55178487300873	-3.4999901235103605	-3.5137946218252183	40	40	-608.6039811372757	-613.78555560112	-3.9778037982828476	-4.038062865796842	153	152	True	False	0.20752710154394283	False
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	-86.44214630126953	-85.88111114501953	-7.858376936479048	-8.588111114501952	11	10	-66.2734375	-67.13313293457031	-3.8984375	-3.9490078196806064	17	17	-191.35803985595703	-191.67574310302734	-4.667269264779439	-4.791893577575683	41	40	True	False	0.7297341780229045	False
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	-108.11767578125	-112.50830078125	-5.4058837890625	-5.921489514802632	20	19	-119.92995202541351	-127.79135036468506	-4.441850075015315	-4.733012976469817	27	27	-256.6314367055893	-268.85611629486084	-4.2771906117598215	-4.55688332703154	60	59	True	False	0.5156057257401319	False
35	not	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?	Not to high, maybe an inch or an inch in the half would be the best.	To high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	-117.27234983444214	-119.85479354858398	-4.886347909768422	-5.211077980373217	24	23	-188.05664539337158	-188.5908715724945	-3.1874007693791793	-3.1964554503812628	59	59	-510.5761750936508	-513.6327768564224	-3.7268333948441668	-3.776711594532518	137	136	True	False	0.32473007060479464	False
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	-60.9276123046875	-69.90301513671875	-5.077301025390625	-6.3548195578835225	12	11	-35.072235107421875	-34.80950927734375	-2.9226862589518228	-2.900792439778646	12	12	-275.02160453796387	-283.7085018157959	-4.824940430490594	-5.066223246710641	57	56	True	False	1.2775185324928975	False
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	-68.30928540229797	-78.99022674560547	-4.879234671592712	-6.076171288123498	14	13	-41.380271434783936	-43.16154098510742	-3.1830978026756873	-3.3201185373159556	13	13	-157.02853226661682	-169.5240421295166	-3.738774577776591	-4.134732734866258	42	41	True	False	1.1969366165307855	False
83	not	Can you connect me to Mary. Smith Hotel room?	Mrs. Smith has not checked in yet.	Mrs. Smith has checked in yet.	Can you leave a message for her to call her office?	-84.87787246704102	-95.20715713500977	-5.658524831136067	-6.800511223929269	15	14	-61.33490180969238	-63.92891311645508	-3.40749454498291	-3.5516062842475042	18	18	-223.05987358093262	-235.97254943847656	-4.373723011390836	-4.719450988769531	51	50	True	False	1.1419863927932017	False
95	not	Jessie, I’m afraid I can’t come back home for dinner tonight.	Not back home for dinner again? That’s the third time this week!	Back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	-84.76199340820312	-78.4478874206543	-4.036285400390625	-3.922394371032715	21	20	-131.5643768310547	-130.3250732421875	-4.536702649346713	-4.493968042834052	29	29	-278.70383644104004	-271.15406036376953	-3.817860773164932	-3.7660286161634655	73	72	True	False	-0.11389102935791007	False
149	not	May I speak to Marry?	Marry is not in right now, she went shopping with her mum.	Marry is in right now, she went shopping with her mum.	Will it be too late if I call around ten this evening?	-94.10688209533691	-111.58654308319092	-4.4812800997779485	-5.579327154159546	21	20	-84.23682641983032	-81.93068790435791	-4.433517179991069	-4.312141468650417	19	19	-213.3339581489563	-228.5032901763916	-3.9506288546103017	-4.311382833516823	54	53	True	False	1.0980470543815972	False
