source_row_index	id	particle	fold_id
5	just_e_4508	just	0
6	just_j_638	just	0
8	just_j_498	just	0
10	just_j_12718	just	0
12	just_j_8890	just	0
15	just_j_4012	just	0
17	just_j_788	just	0
18	just_e_5758	just	0
20	just_j_2141	just	0
21	just_j_5388	just	0
22	just_e_1001	just	0
25	just_j_12662	just	0
27	just_j_10555	just	0
30	just_e_3966	just	0
31	just_j_2438	just	0
39	just_e_1246	just	0
40	just_j_7614	just	0
42	just_e_4966	just	0
43	just_e_2762	just	0
44	just_e_472	just	0
49	just_e_9416	just	0
50	just_e_12686	just	0
51	just_j_2401	just	0
52	just_e_11908	just	0
53	just_e_4632	just	0
56	just_e_7244	just	0
57	just_j_11362	just	0
58	just_j_8648	just	0
0	just_e_1157	just	1
1	just_j_5467	just	1
2	just_j_2485	just	1
3	just_e_2798	just	1
4	just_j_1627	just	1
7	just_e_5138	just	1
9	just_j_7769	just	1
11	just_j_8242	just	1
13	just_j_10613	just	1
16	just_e_9268	just	1
19	just_j_7873	just	1
23	just_e_9687	just	1
26	just_j_1461	just	1
28	just_j_2164	just	1
32	just_e_1907	just	1
33	just_e_2717	just	1
34	just_j_4722	just	1
35	just_j_8362	just	1
36	just_j_8556	just	1
37	just_e_569	just	1
38	just_e_1043	just	1
41	just_e_2612	just	1
45	just_e_1267	just	1
46	just_e_9397	just	1
47	just_e_6664	just	1
48	just_e_976	just	1
54	just_j_2522	just	1
