particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_prompt_boundary_position	corrupted_prompt_boundary_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
only	0	1	5	resid	0	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2727706909179686	-0.00029449462890607236	-0.0007834477383523383	0.0
only	0	5	34	resid	0	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9919026692708333	0.006103515625	0.0374018202219175	0.0374018202219175
only	0	9	53	resid	0	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.696428934733073	-0.0018711090087890625	-0.014137347962261959	0.0
only	0	10	0	resid	0	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0622382164001465	0.0015530586242675781	0.0025177331280186515	0.0025177331280186515
only	0	1	5	resid	1	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.272723388671875	-0.00024719238281267764	-0.0006576089824520548	0.0
only	0	5	34	resid	1	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9931233723958333	0.0048828125	0.029921456177534	0.029921456177534
only	0	9	53	resid	1	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.698464075724284	-0.00390625	-0.029514055684722217	0.0
only	0	10	0	resid	1	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.0645108222961426	-0.0007195472717285156	-0.0011664904176174838	0.0
only	0	1	5	resid	2	prompt_boundary	0	prompt_without	66	65	-2.8965805053710936	-3.2724761962890625	-3.2675689697265624	0.004907226562500089	0.01305475609607609	0.01305475609607609
only	0	5	34	resid	2	prompt_boundary	0	prompt_without	68	67	-1.8348185221354167	-1.9980061848958333	-1.9976806640625	0.0003255208333332593	0.00199476374516848	0.00199476374516848
only	0	9	53	resid	2	prompt_boundary	0	prompt_without	68	67	-1.5622056325276692	-1.694557825724284	-1.6939067840576172	0.0006510416666667407	0.004919009280787595	0.004919009280787595
only	0	10	0	resid	2	prompt_boundary	0	prompt_without	29	28	-1.4469432830810547	-2.063791275024414	-2.063918113708496	-0.00012683868408203125	-0.00020562389071322116	0.0
