source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context	candidate_weight_unnormalized	candidate_weight
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	1	1	33.99 dollars!	33.99 dollars!	33.99 dollars!\n\nWhen we use ‘anyway’ to express gratitude at the end of a sentence, we’re not acknowledging what the other person has just said. We’re thanking them for being helpful, even if we don’t need their help.\n\nIf you would like to practice with	-21.142578125	-21.01416015625	-3.0203683035714284	-3.0020228794642856	7	7	-21.142578125	-21.01416015625	-3.0203683035714284	-3.0020228794642856	-0.12841796875	-0.0183454241071427	False	True	1.824175086627259e-07	1.5476465255880995e-07
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	2	2	<em>Is there anything else?</em>	<em>is there anything else?</em>	<em>Is there anything else?</em>\nSpeaker 2: <em>Um, just some pens and paper, please.</em>\nSpeaker 1: Sure.\nSpeaker 2: <em>Oh, and some stickers and sweets for my daughters.</em>\nSpeaker 1: Right.\nSpeaker 2: 	-12.4019775390625	-12.2828369140625	-1.7717110770089286	-1.7546909877232142	7	7	-12.4019775390625	-12.2828369140625	-1.7717110770089286	-1.7546909877232142	-0.119140625	-0.0170200892857144	False	True	0.0011404102789570577	0.0009675343221774223
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	3	3	<em>Oh.</em>	<em>oh.</em>	<em>Oh.</em>\n\n<em>...</em>\n\nSpeaker 1: Is there something I can help you with?\nSpeaker 2: No, I'm just browsing. Thanks anyway.\nSpeaker 1: <em>Oh.</em>\n\n<em>...</em>\n\nSpeaker 1: Is there something I can help you	-8.24365234375	-8.103515625	-2.0609130859375	-2.02587890625	4	4	-8.24365234375	-8.103515625	-2.0609130859375	-2.02587890625	-0.14013671875	-0.0350341796875	False	True	0.0729455510483633	0.06188766060051826
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	6	4	<strong>That's what I'm here for.</strong> Can I get you something?	<strong>that's what i'm here for.</strong> can i get you something?	<strong>That's what I'm here for.</strong> Can I get you something?\nSpeaker 2: No, I'm looking for a friend's present.\nSpeaker 1: Is this person special to you?\nSpeaker 2: Yes, she's my best friend.\nSpeaker	-22.28839111328125	-22.276123046875	-1.238243950737847	-1.2375623914930556	18	18	-22.28839111328125	-22.276123046875	-1.238243950737847	-1.2375623914930556	-0.01226806640625	-0.0006815592447917	False	True	5.8002439802826427e-08	4.9209790822463805e-08
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	7	5	<strong>[Not much to see here.]</strong> It's not much to look at, but I'll help you find what you're looking for.	<strong>[not much to see here.]</strong> it's not much to look at, but i'll help you find what you're looking for.	<strong>[Not much to see here.]</strong> It's not much to look at, but I'll help you find what you're looking for.\nSpeaker 2: Just browsing. Not much to see here.\nSpeaker 3: Oh no, your laptop is leaking.\nSpeaker 4:	-49.73443412780762	-50.29079532623291	-1.554201066493988	-1.5715873539447784	32	32	-49.73443412780762	-50.29079532623291	-1.554201066493988	-1.5715873539447784	0.556361198425293	0.0173862874507904	True	True	6.978807686539603e-20	5.920883114783759e-20
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	8	6	<em>(</em><em>after</em> <em>a minute)</em> Ok, anything you need?	<em>(</em><em>after</em> <em>a minute)</em> ok, anything you need?	<em>(</em><em>after</em> <em>a minute)</em> Ok, anything you need?\nSpeaker 2: No, really. I'm just browsing.\nSpeaker 1: I'm sure there's something I can do for you.\nSpeaker 2: No, I'm just browsing	-32.63834381103516	-32.46985626220703	-1.8132413228352864	-1.8038809034559464	18	18	-32.63834381103516	-32.46985626220703	-1.8132413228352864	-1.8038809034559464	-0.168487548828125	-0.0093604193793401	False	True	1.8557476421604562e-12	1.5744329652413423e-12
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	9	7	<b>You</b>re welcome. <b>Is</b> there anything I can help <b>you</b> with?	<b>you</b>re welcome. <b>is</b> there anything i can help <b>you</b> with?	<b>You</b>re welcome. <b>Is</b> there anything I can help <b>you</b> with?\nSpeaker 2: No, I'm just looking around. Thanks.\nSpeaker 1: I am sorry to disturb <b>you</b>. Is there anything I can help <b>you</b> with?	-24.667457580566406	-24.61124992370605	-1.174640837169829	-1.1719642820812406	21	21	-24.667457580566406	-24.61124992370605	-1.174640837169829	-1.1719642820812406	-0.0562076568603515	-0.0026765550885883	False	True	5.373172992944986e-09	4.558648221257235e-09
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	10	8	<b>Okay, if you need anything, just let me know.</b>	<b>okay, if you need anything, just let me know.</b>	"<b>Okay, if you need anything, just let me know.</b>\n\nHere, ""just let me know"" is used as a common way to express good manners. It means ""If you need anything, I'm here to help.""\n\nLet's listen to how ""just let me know"" is used"	-12.847640991210938	-13.178665161132812	-0.9176886422293526	-0.9413332257952008	14	14	-12.847640991210938	-13.178665161132812	-0.9176886422293526	-0.9413332257952008	0.331024169921875	0.0236445835658482	True	True	0.0007303178996457974	0.0006196082647150909
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	11	9	10% off everything in store today.	10% off everything in store today.	10% off everything in store today.\nSpeaker 2: Oh really? Thanks. What's it for?\nSpeaker 1: It's the store's birthday.\nSpeaker 2: Oh, cool. How old is it?\nSpeaker 1: It's 10	-11.9129638671875	-11.92919921875	-1.3236626519097223	-1.3254665798611112	9	9	-11.9129638671875	-11.92919921875	-1.3236626519097223	-1.3254665798611112	0.0162353515625	0.0018039279513888	True	True	0.0018596750410655196	0.0015777650057425957
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	base	0.9	1.0	20260416	353299243	50	50	200	12	10	<em>Browsing</em> means you are looking at something. You can use it to talk about clothes in a shop or the internet.	<em>browsing</em> means you are looking at something. you can use it to talk about clothes in a shop or the internet.	<em>Browsing</em> means you are looking at something. You can use it to talk about clothes in a shop or the internet.\n<em>I'm just browsing at the moment</em>.\n<em>Can I help you? No, I'm just browsing</em>.\n<em>I like to browse the internet on Saturday	-42.64152145385742	-42.028594970703125	-1.640058517456055	-1.6164844219501202	26	26	-42.64152145385742	-42.028594970703125	-1.640058517456055	-1.6164844219501202	-0.6129264831542969	-0.0235740955059344	False	True	8.398351852849505e-17	7.125237133766854e-17
