source_dataset	dataset_role	source_row_index	id	word	subset	context	w_word	wo_word	followup_metadata_only	with_without_diff	generated_from	generated_from_text	sampling_strategy	prompt_mode	top_p	temperature	base_seed	condition_seed	samples_requested	unique_samples_obtained	max_sample_draws	sample_draw	unique_rank	response	normalized_response	raw_generation	log_prob_given_P	log_prob_given_P_prime	log_prob_given_P_per_token	log_prob_given_P_prime_per_token	token_count_given_P	token_count_given_P_prime	own_log_prob	other_log_prob	own_log_prob_per_token	other_log_prob_per_token	own_context_log_prob_advantage	own_context_log_prob_advantage_per_token	own_context_win	include_context
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	1	1	You're welcome!  Let me know if you have any questions or need anything at all. I'm here to help. 😄  Happy browsing!	you're welcome! let me know if you have any questions or need anything at all. i'm here to help. 😄 happy browsing!	You're welcome!  Let me know if you have any questions or need anything at all. I'm here to help. 😄  Happy browsing!\n	-57.60388135910034	-50.97258150577545	-1.556861658354063	-1.377637337993931	37	37	-57.60388135910034	-50.97258150577545	-1.556861658354063	-1.377637337993931	-6.63129985332489	-0.1792243203601322	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	2	2	You're welcome! Feel free to ask if anything comes up.  Have a great day browsing! 😊	you're welcome! feel free to ask if anything comes up. have a great day browsing! 😊	You're welcome! Feel free to ask if anything comes up.  Have a great day browsing! 😊  \n	-55.88531720638275	-51.20943462848663	-2.0698265631993613	-1.8966457269809864	27	27	-55.88531720638275	-51.20943462848663	-2.0698265631993613	-1.8966457269809864	-4.675882577896118	-0.1731808362183748	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	3	3	No problem at all! If you have any questions or need anything in the future, feel free to ask. 😊	no problem at all! if you have any questions or need anything in the future, feel free to ask. 😊	No problem at all! If you have any questions or need anything in the future, feel free to ask. 😊 \n\nHave a great time browsing!\n	-50.12780976295471	-45.57459473609924	-1.7902789201055254	-1.62766409771783	28	28	-50.12780976295471	-45.57459473609924	-1.7902789201055254	-1.62766409771783	-4.553215026855469	-0.1626148223876953	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	4	4	No problem! If you have any questions or need anything at all, feel free to ask. Have a great day browsing!	no problem! if you have any questions or need anything at all, feel free to ask. have a great day browsing!	No problem! If you have any questions or need anything at all, feel free to ask. Have a great day browsing!\n	-52.60322964191437	-48.00387644767761	-1.7534409880638122	-1.600129214922587	30	30	-52.60322964191437	-48.00387644767761	-1.7534409880638122	-1.600129214922587	-4.599353194236755	-0.1533117731412252	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	5	5	No problem! Let me know if you have any questions or need anything at all. I'm here to help. 😊	no problem! let me know if you have any questions or need anything at all. i'm here to help. 😊	No problem! Let me know if you have any questions or need anything at all. I'm here to help. 😊\n	-49.35038769245148	-44.259294509887695	-1.645012923081716	-1.4753098169962564	30	30	-49.35038769245148	-44.259294509887695	-1.645012923081716	-1.4753098169962564	-5.091093182563782	-0.1697031060854594	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	6	6	No problem at all! Feel free to ask if anything comes up. I'm here to help. 😊	no problem at all! feel free to ask if anything comes up. i'm here to help. 😊	No problem at all! Feel free to ask if anything comes up. I'm here to help. 😊\n	-49.047892689704895	-44.97122299671173	-1.8165886181372184	-1.665600851730064	27	27	-49.047892689704895	-44.97122299671173	-1.8165886181372184	-1.665600851730064	-4.076669692993164	-0.1509877664071544	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	7	7	You're welcome!	you're welcome!	You're welcome! \n\nLet me know if you have any questions or need anything at all while you're browsing. I'm here to help. 😊  What are you interested in today?\n	-71.27313256263733	-64.98897659778595	-7.127313256263733	-6.498897659778595	10	10	-71.27313256263733	-64.98897659778595	-7.127313256263733	-6.498897659778595	-6.284155964851379	-0.6284155964851381	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	9	8	No problem! Let me know if anything catches your eye or if you have any questions. Happy browsing! 😊	no problem! let me know if anything catches your eye or if you have any questions. happy browsing! 😊	No problem! Let me know if anything catches your eye or if you have any questions. Happy browsing! 😊\n	-51.687190771102905	-45.29775965213776	-1.9143403989297367	-1.677694801931028	27	27	-51.687190771102905	-45.29775965213776	-1.9143403989297367	-1.677694801931028	-6.389431118965149	-0.2366455969987091	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	10	9	No problem at all! Happy browsing.	no problem at all! happy browsing.	No problem at all! Happy browsing. \n\nLet me know if you have any questions or need anything in the future. 😊\n	-65.9594498872757	-57.67194604873657	-5.073803837482746	-4.4363035422105055	13	13	-65.9594498872757	-57.67194604873657	-5.073803837482746	-4.4363035422105055	-8.287503838539124	-0.6375002952722406	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	11	10	No problem at all!	no problem at all!	No problem at all!  \n\nLet me know if you change your mind and have any questions or tasks for me. I'm here to help. 😊\n	-73.1731938123703	-67.11238360404968	-7.31731938123703	-6.711238360404968	10	10	-73.1731938123703	-67.11238360404968	-7.31731938123703	-6.711238360404968	-6.060810208320618	-0.606081020832062	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	14	11	No problem at all! Happy browsing! 😊	no problem at all! happy browsing! 😊	No problem at all! Happy browsing! 😊\n\nLet me know if you have any questions or need anything in the future.\n	-64.19170582294464	-54.42719125747681	-4.5851218444960455	-3.8876565183912	14	14	-64.19170582294464	-54.42719125747681	-4.5851218444960455	-3.8876565183912	-9.764514565467834	-0.6974653261048451	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	16	12	No problem! Feel free to ask if you have any questions or need anything. I'm here to help. 😄	no problem! feel free to ask if you have any questions or need anything. i'm here to help. 😄	No problem! Feel free to ask if you have any questions or need anything. I'm here to help. 😄\n	-51.94245970249176	-47.13300812244415	-1.791119300085923	-1.625276142153247	29	29	-51.94245970249176	-47.13300812244415	-1.791119300085923	-1.625276142153247	-4.809451580047607	-0.165843157932676	False	True
just	discourse_particle	0	1157	just	h	Is there something I can help you with?	No, I'm just browsing. Thanks anyway.	No, I'm browsing. Thanks anyway.	Ok.	0.2506633094	P	No, I'm just browsing. Thanks anyway.	nucleus	chat	0.9	1.0	20260416	353299243	50	50	500	18	13	No problem at all! Feel free to ask if you have any questions or need anything. I'm here to help.	no problem at all! feel free to ask if you have any questions or need anything. i'm here to help.	No problem at all! Feel free to ask if you have any questions or need anything. I'm here to help. \n\nHave a great time browsing!\n	-50.40179395675659	-46.94767642021179	-1.680059798558553	-1.5649225473403932	30	30	-50.40179395675659	-46.94767642021179	-1.680059798558553	-1.5649225473403932	-3.4541175365448	-0.1151372512181598	False	True
